image_uid,famous,identity,fictional_character,n_people,notes
img_0000,1,Jennifer Aniston,0,1,
img_0001,1,Halle Berry,0,1,
img_0002,1,Julia Roberts,0,1,
img_0003,1,Leonardo DiCaprio,0,1,
img_0004,1,Johnny Depp,0,1,
img_0005,1,Clint Eastwood,1,1,as the Man with No Name (western still)
img_0006,1,Brad Pitt,0,1,
img_0007,1,Jack Nicholson,0,1,smoking cigar
img_0008,1,Robert De Niro,0,1,film still
img_0009,1,Vladimir Putin,0,1,
img_0010,1,Barack Obama,0,1,
img_0011,1,George W. Bush,0,1,
img_0012,0,,0,1,man walking six German shepherds
img_0013,1,John F. Kennedy,0,1,
img_0014,1,Abraham Lincoln,0,1,historical photo
img_0015,1,Elvis Presley,0,1,
img_0016,1,Justin Bieber,0,1,
img_0017,1,Kanye West; Kim Kardashian,0,2,
img_0018,1,Steve Jobs,0,1,holding iPad
img_0019,1,Albert Einstein,0,1,at blackboard
img_0020,1,Bill Gates,0,1,
img_0021,1,Michael Jordan,0,1,Bulls jersey
img_0022,1,Tiger Woods,0,1,
img_0023,1,Oprah Winfrey,0,1,
img_0024,0,,0,0,
img_0025,0,,0,1,unknown man outdoors (lab member?)
img_0026,0,,0,0,
img_0027,1,Charlie Sheen,0,1,
img_0028,0,,0,1,baby
img_0029,1,Robin Williams,0,1,
img_0030,0,,0,0,
img_0031,0,,0,1,toddler painting
img_0032,0,,0,0,
img_0033,0,,0,1,unknown man indoors (lab/clinic member?)
img_0034,0,,0,0,oven-mitt hand only
img_0035,0,,0,0,
img_0036,0,,0,1,"motocross rider, helmet"
img_0037,0,,0,2,mother and daughter cooking
img_0038,1,Jimmy Kimmel,0,1,
img_0039,1,Donald Trump,0,1,
img_0040,0,,0,0,
img_0041,0,,0,0,
img_0042,1,Ryan Gosling; Rachel McAdams,1,2,The Notebook rowboat still
img_0043,0,,0,0,
img_0044,0,,0,0,
img_0045,0,,0,0,
img_0046,0,,0,0,hand holding sieve only
img_0047,1,Jack Nicholson,1,1,The Shining 'Here's Johnny'
