image_uid,famous,identity
img_0000,1,Jennifer Aniston
img_0001,1,Halle Berry
img_0002,1,Julia Roberts
img_0003,1,Leonardo DiCaprio
img_0005,1,Clint Eastwood
img_0007,1,Jack Nicholson
img_0008,1,Robert De Niro
img_0009,1,Vladimir Putin
img_0015,1,Elvis Presley
img_0017,1,Kim Kardashian; Kanye West
img_0019,1,Albert Einstein
img_0020,1,Bill Gates
img_0021,1,Michael Jordan
img_0022,1,Tiger Woods
img_0026,0,
img_0033,0,
img_0038,1,Jimmy Kimmel
img_0040,0,
img_0044,0,
img_0050,0,
img_0060,1,Michael Phelps
img_0068,1,Bill Mumy (Anthony Fremont; Twilight Zone)
img_0070,1,Hillary Clinton
img_0072,0,
img_0078,1,Rudy Giuliani
img_0079,1,Arnold Schwarzenegger
img_0084,1,Tom Cruise
img_0092,0,
img_0098,0,
img_0099,0,
img_0103,0,
img_0105,0,
img_0106,0,
img_0107,0,
img_0109,1,Jay Leno
img_0110,1,Jason Momoa (Khal Drogo)
img_0111,0,
img_0112,0,
img_0116,1,Anne Hathaway
img_0119,1,Tom Cruise
img_0122,1,Michael Jackson
img_0123,0,
img_0125,0,
img_0126,1,Tom Hanks
img_0127,0,
img_0130,0,
img_0131,0,
img_0135,1,Kevin Costner
img_0139,0,
img_0140,0,
img_0142,0,
img_0143,0,
img_0144,0,
img_0152,1,Kit Harington (Jon Snow)
img_0154,1,Lenny Kravitz
img_0156,0,
img_0160,1,Michael Fassbender (Magneto)
img_0165,1,Meryl Streep
img_0168,1,Chris Evans (Captain America)
img_0174,0,
img_0175,1,James McAvoy (Professor X)
img_0180,0,
img_0184,0,
img_0189,0,
img_0190,0,
img_0192,0,
img_0196,0,
img_0199,0,
img_0200,0,
img_0201,0,
img_0204,0,
img_0209,0,
img_0210,0,
img_0213,0,
img_0214,0,
img_0215,0,
img_0221,0,
img_0223,0,
img_0227,0,
img_0231,0,
img_0237,0,
img_0238,0,
img_0239,0,
img_0240,0,
img_0247,0,
img_0252,1,Mona Lisa
img_0256,0,
img_0259,0,
img_0262,0,
img_0266,1,Emilia Clarke (Daenerys Targaryen)
img_0267,0,
img_0269,0,
img_0270,0,
img_0271,0,
img_0273,0,
img_0276,0,
img_0279,0,
img_0280,1,Elon Musk
img_0281,1,Yoda
img_0282,1,Patricia Heaton
img_0288,0,
img_0289,1,Richard Rawlings; Aaron Kaufman (Gas Monkey Garage)
img_0296,0,
img_0297,0,
img_0302,0,
img_0304,0,
img_0305,1,Ruby Rose
img_0307,1,Daisy Ridley; John Boyega (Rey and Finn)
img_0308,0,
img_0314,0,
img_0317,1,Vault Boy (Fallout)
img_0325,0,
img_0329,0,
img_0331,1,Neymar
img_0332,0,
img_0333,1,Holley Mangold
img_0335,0,
img_0336,0,
img_0340,0,
img_0342,1,Tom Brady
