image_uid,category,reason
img_0127,vehicle,space shuttle
img_0012,animal,man with dogs — dogs dominate
img_0324,landmark_place,casino interior
img_0309,cartoon_art,Transformers CGI
img_0167,animal,reef fish
img_0304,landscape_nature,wildfire
img_0084,face_person,single actor close-up
img_0018,face_person,Steve Jobs holding iPad
img_0080,face_person,face profile with earring
img_0143,animal,jellyfish
img_0086,landscape_nature,flowers
img_0337,landmark_place,Neptune statue
img_0250,landscape_nature,earthrise
img_0094,cartoon_art,Pink Floyd prism artwork
img_0277,vehicle,Millennium Falcon
img_0096,animal,bald eagle
img_0238,landmark_place,Santa Monica pier
img_0320,vehicle,Titanic
img_0246,landscape_nature,Niagara Falls
img_0278,vehicle,Star Destroyers
img_0260,animal,horse in trailer
img_0312,face_person,woman portrait
img_0276,landmark_place,rollercoaster
img_0037,scene_with_people,mother and child cooking
img_0183,object,fork
img_0157,face_person,woman portrait
img_0263,face_person,Ned Stark on throne
img_0177,cartoon_art,Yoda
img_0281,cartoon_art,Yoda
img_0313,cartoon_art,cartoon fish
img_0092,animal,macaque
img_0259,animal,horse eye
img_0162,cartoon_art,Spider-Man
img_0317,cartoon_art,Vault Boy
img_0048,scene_with_people,astronaut on moon
img_0332,cartoon_art,abstract artwork
img_0316,cartoon_art,Dory
img_0179,cartoon_art,Iron Man
img_0056,scene_with_people,Chewbacca and Han
img_0031,scene_with_people,children painting
