subject,session,task,ttl,time
1,1,screening,61,72.12109525
1,1,screening,1,72.30362625
1,1,screening,3,73.50481325
1,1,screening,1,73.80718825
1,1,screening,3,75.00778125
1,1,screening,1,75.31581225
1,1,screening,3,76.51656224999999
1,1,screening,1,76.74171824999999
1,1,screening,3,77.94249925
1,1,screening,1,78.24456124999999
1,1,screening,3,79.44518624999999
1,1,screening,1,79.72274825
1,1,screening,3,80.92346624999999
1,1,screening,4,83.36921525
1,1,screening,1,83.67840325
1,1,screening,3,84.87902725
1,1,screening,1,85.12055825
1,1,screening,3,86.32121425
1,1,screening,1,86.58971425
1,1,screening,3,87.79033925
1,1,screening,1,88.10062024999999
1,1,screening,3,89.30152525
1,1,screening,1,89.60958825
1,1,screening,3,90.81021224999999
1,1,screening,1,91.04071225
1,1,screening,3,92.24158725
1,1,screening,1,92.55408725
1,1,screening,3,93.75502424999999
1,1,screening,1,94.06346124999999
1,1,screening,3,95.26399225
1,1,screening,1,95.52339825
1,1,screening,3,96.72399125
1,1,screening,1,97.01717925
1,1,screening,3,98.21777225
1,1,screening,1,98.44336525
1,1,screening,3,99.64392724999999
1,1,screening,1,99.89780225
1,1,screening,3,101.09842725
1,1,screening,1,101.40255225
1,1,screening,3,102.60320825
1,1,screening,1,102.89652025
1,1,screening,3,104.09714425
1,1,screening,1,104.40498824999999
1,1,screening,3,105.60564425
1,1,screening,1,105.88305025
1,1,screening,3,107.08364325
1,1,screening,1,107.29817424999999
1,1,screening,3,108.49879924999999
1,1,screening,1,108.79467425
1,1,screening,3,109.99523624999999
1,1,screening,1,110.30245425
1,1,screening,3,111.50304824999999
1,1,screening,1,111.78245425
1,1,screening,3,112.98320324999999
1,1,screening,1,113.27354725
1,1,screening,3,114.47429724999999
1,1,screening,1,114.76370324999999
1,1,screening,3,115.96426525
1,1,screening,1,116.21673324999999
1,1,screening,3,117.41732725
1,1,screening,1,117.69438925
1,1,screening,3,118.89495124999999
1,1,screening,1,119.12326325
1,1,screening,3,120.32385724999999
1,1,screening,1,120.60557525
1,1,screening,3,121.80629425
1,1,screening,4,123.96451125
1,1,screening,1,124.27385525
1,1,screening,3,125.47441724999999
1,1,screening,1,125.71438624999999
1,1,screening,3,126.91504225
1,1,screening,1,127.13416624999999
1,1,screening,3,128.33476025
1,1,screening,1,128.55851024999998
1,1,screening,3,129.75910324999998
1,1,screening,1,130.05322825
1,1,screening,3,131.25379024999998
1,1,screening,1,131.53444625
1,1,screening,3,132.73503925
1,1,screening,1,132.97760225
1,1,screening,3,134.17819525
1,1,screening,1,134.48750725
1,1,screening,3,135.68810125
1,1,screening,1,135.90353825
1,1,screening,3,137.10416225
1,1,screening,1,137.36163125
1,1,screening,3,138.56222424999999
1,1,screening,4,141.67353624999998
1,1,screening,1,141.98597325
1,1,screening,3,143.18666025
1,1,screening,1,143.47500424999998
1,1,screening,3,144.67559724999998
1,1,screening,1,144.96650325
1,1,screening,3,146.16712825
1,1,screening,1,146.39887725
1,1,screening,3,147.59950225
1,1,screening,1,147.85975224999999
1,1,screening,3,149.06034524999998
1,1,screening,1,149.32212625
1,1,screening,3,150.52272025
1,1,screening,1,150.80221925
1,1,screening,3,152.00300024999999
1,1,screening,1,152.28743824999998
1,1,screening,3,153.48806224999998
1,1,screening,1,153.77734325
1,1,screening,3,154.97793725
1,1,screening,1,155.21893624999998
1,1,screening,3,156.41949825
1,1,screening,1,156.69937324999998
1,1,screening,3,157.89996725
1,1,screening,1,158.18146625
1,1,screening,3,159.38240424999998
1,1,screening,1,159.61202824999998
1,1,screening,3,160.81265324999998
1,1,screening,1,161.03662225
1,1,screening,3,162.23724625
1,1,screening,1,162.49799625
1,1,screening,3,163.69871425
1,1,screening,1,164.01055825
1,1,screening,3,165.21121424999998
1,1,screening,1,165.45808925
1,1,screening,3,166.65865125
1,1,screening,1,166.92805725
1,1,screening,3,168.12865025
1,1,screening,1,168.36408724999998
1,1,screening,3,169.56474325
1,1,screening,1,169.85555625
1,1,screening,3,171.05614925
1,1,screening,1,171.29655524999998
1,1,screening,3,172.49717925
1,1,screening,4,176.32314725
1,1,screening,1,176.63230324999998
1,1,screening,3,177.83289625
1,1,screening,1,178.12058324999998
1,1,screening,3,179.32120824999998
1,1,screening,1,179.62186425
1,1,screening,3,180.82242624999998
1,1,screening,1,181.13130124999998
1,1,screening,3,182.33208224999998
1,1,screening,1,182.60139425
1,1,screening,3,183.80214425
1,1,screening,1,184.02814425
1,1,screening,3,185.22873725
1,1,screening,1,185.45814324999998
1,1,screening,3,186.65895525
1,1,screening,1,186.89920525
1,1,screening,3,188.09986125
1,1,screening,1,188.39629825
1,1,screening,3,189.59689125
1,1,screening,1,189.83539125
1,1,screening,3,191.03598524999998
1,1,screening,1,191.32901625
1,1,screening,3,192.52957825
1,1,screening,4,197.69248224999998
1,1,screening,1,198.00176324999998
1,1,screening,3,199.20235624999998
1,1,screening,1,199.51160625
1,1,screening,3,200.71219925
1,1,screening,1,200.95882425
1,1,screening,3,202.15938624999998
1,1,screening,1,202.38979225
1,1,screening,3,203.59044824999998
1,1,screening,1,203.83129225
1,1,screening,3,205.03201024999998
1,1,screening,1,205.30441625
1,1,screening,3,206.50501025
1,1,screening,1,206.76941624999998
1,1,screening,3,207.97007125
1,1,screening,1,208.22475924999998
1,1,screening,3,209.42535225
1,1,screening,1,209.72441525
1,1,screening,3,210.92500825
1,1,screening,1,211.19838324999998
1,1,screening,3,212.39897625
1,1,screening,1,212.66744525
1,1,screening,3,213.86806925
1,1,screening,1,214.17410024999998
1,1,screening,3,215.37494425
1,1,screening,1,215.61475625
1,1,screening,3,216.81534925
1,1,screening,4,219.55656725
1,1,screening,1,219.86537925
1,1,screening,3,221.06600425
1,1,screening,1,221.35594125
1,1,screening,3,222.55647224999998
1,1,screening,1,222.80778425
1,1,screening,3,224.00834625
1,1,screening,1,224.27769024999998
1,1,screening,3,225.47828324999998
1,1,screening,1,225.70078325
1,1,screening,3,226.90140825
1,1,screening,1,227.12022025
1,1,screening,3,228.32087625
1,1,screening,1,228.58603225
1,1,screening,3,229.78668825
1,1,screening,1,230.07912524999998
1,1,screening,3,231.27975024999998
1,1,screening,1,231.58487524999998
1,1,screening,3,232.78546824999998
1,1,screening,1,233.01012425
1,1,screening,3,234.21078025
1,1,screening,1,234.48024825
1,1,screening,3,235.68081024999998
1,1,screening,1,235.94171724999998
1,1,screening,3,237.14249725
1,1,screening,1,237.35765325
1,1,screening,3,238.55824725
1,1,screening,1,238.80309025
1,1,screening,3,240.00368425
1,1,screening,1,240.23143424999998
1,1,screening,3,241.43212125
1,1,screening,1,241.72480825
1,1,screening,3,242.92540125
1,1,screening,1,243.17096425
1,1,screening,3,244.37174424999998
1,1,screening,1,244.63749424999997
1,1,screening,3,245.83821325
1,1,screening,4,250.19477325
1,1,screening,1,250.50667925
1,1,screening,3,251.70758525
1,1,screening,1,251.97989825
1,1,screening,3,253.18052225
1,1,screening,1,253.41914724999998
1,1,screening,3,254.61986524999998
1,1,screening,1,254.89874024999997
1,1,screening,3,256.09939625
1,1,screening,1,256.37974025
1,1,screening,3,257.58036425
1,1,screening,1,257.86920825
1,1,screening,3,259.06998825
1,1,screening,1,259.33083225
1,1,screening,3,260.53142525
1,1,screening,1,260.75526924999997
1,1,screening,3,261.95586225
1,1,screening,1,262.19001825
1,1,screening,3,263.39061225
1,1,screening,1,263.69826825
1,1,screening,3,264.89889224999996
1,1,screening,1,265.12683025
1,1,screening,3,266.32745424999996
1,1,screening,1,266.62482925
1,1,screening,3,267.82548525
1,1,screening,1,268.09286025
1,1,screening,3,269.29351625
1,1,screening,1,269.60729725
1,1,screening,3,270.80792125
1,1,screening,1,271.02951525
1,1,screening,3,272.23017125
1,1,screening,1,272.48801425
1,1,screening,3,273.68863925
1,1,screening,1,273.91170124999996
1,1,screening,3,275.11229525
1,1,screening,1,275.42376325
1,1,screening,3,276.62454425
1,1,screening,1,276.83945024999997
1,1,screening,3,278.04007525
1,1,screening,1,278.33048125
1,1,screening,3,279.53135525
1,1,screening,1,279.82710525
1,1,screening,3,281.02776124999997
1,1,screening,1,281.32582325
1,1,screening,3,282.52641725
1,1,screening,1,282.74919825
1,1,screening,3,283.94985325
1,1,screening,1,284.20351024999997
1,1,screening,3,285.40413424999997
1,1,screening,1,285.64416525
1,1,screening,3,286.84475925
1,1,screening,1,287.14038325
1,1,screening,3,288.34097725
1,1,screening,1,288.59819525
1,1,screening,3,289.79891425
1,1,screening,4,292.59769424999996
1,1,screening,1,292.90706925
1,1,screening,3,294.10772425
1,1,screening,1,294.33834924999996
1,1,screening,3,295.53894325
1,1,screening,1,295.77950525
1,1,screening,3,296.98013025
1,1,screening,1,297.20541125
1,1,screening,3,298.40594125
1,1,screening,1,298.63525425
1,1,screening,3,299.83587825
1,1,screening,1,300.13375325
1,1,screening,3,301.33444025
