image_uid,n_faces,face_found,largest_face_area,face_cx,face_cy
img_0000,1,1,0.11539098869082517,0.4833599853515625,0.3856468454996745
img_0001,1,1,0.34200635249150024,0.5361468124389649,0.5816885248819987
img_0002,1,1,0.24717155191018053,0.5472735595703125,0.42920938491821287
img_0003,1,1,0.3327036996811374,0.4651564311981201,0.45562706629435223
img_0004,1,1,0.27213063552,0.4946910285949707,0.41997135162353516
img_0005,2,1,0.100105238766619,0.5171305847167968,0.47996283213297525
img_0006,1,1,0.12543017145845806,0.4609768676757813,0.45612689971923825
img_0007,1,1,0.26816403169420666,0.42776315689086913,0.5630585479736329
img_0008,1,1,0.17211226041935151,0.5975570678710938,0.4071668879191081
img_0009,1,1,0.18195000072168088,0.3916633605957031,0.3986318143208822
img_0010,1,1,0.13635615142986934,0.48260931015014646,0.5318907038370768
img_0011,1,1,0.1792452839628968,0.7652422714233399,0.4796615727742513
img_0012,1,1,0.003658703314585728,0.4399871826171875,0.08163873990376791
img_0013,1,1,0.1722964871706053,0.5942824935913086,0.5175719706217448
img_0014,1,1,0.07368103534341693,0.4955117988586426,0.3252959060668945
img_0015,1,1,0.2846815599815141,0.36271990299224854,0.6036978530883789
img_0016,1,1,0.2457754531674087,0.40514598846435546,0.5053493754069011
img_0017,2,1,0.045695290392095925,0.3785629653930664,0.22600030263264975
img_0018,1,1,0.06922818609929333,0.6992507934570312,0.25718851725260417
img_0019,0,0,0.0,,
img_0020,1,1,0.2618168762122659,0.4902104568481445,0.48716779708862307
img_0021,1,1,0.035496879778754376,0.49689043045043946,0.17542092005411783
img_0022,1,1,0.05700208161854971,0.41966638565063474,0.2851425870259603
img_0023,1,1,0.32414615839348987,0.488565673828125,0.3696280511220296
img_0024,0,0,0.0,,
img_0025,1,1,0.045735762649663954,0.4556565284729004,0.36717140197753906
img_0026,0,0,0.0,,
img_0027,1,1,0.19737302888726116,0.4767047882080078,0.4748045094807943
img_0028,0,0,0.0,,
img_0029,1,1,0.19428824111867773,0.3315566349029541,0.44200424194335936
img_0030,0,0,0.0,,
img_0031,1,1,0.10901291992663027,0.5444368171691895,0.30437353134155276
img_0032,0,0,0.0,,
img_0033,1,1,0.24861235914479862,0.41347726821899417,0.4538340759277344
img_0034,0,0,0.0,,
img_0035,1,1,0.003226968774116055,0.7058540725708008,0.378284060160319
img_0036,0,0,0.0,,
img_0037,2,1,0.029468424703370934,0.5548906517028809,0.4219510904947917
img_0038,1,1,0.19034987051737748,0.49719005584716797,0.48925766626993816
img_0039,1,1,0.1279006173400337,0.5090727043151856,0.34409582455952964
img_0040,0,0,0.0,,
img_0041,0,0,0.0,,
img_0042,2,1,0.011770834215110517,0.34003305435180664,0.2610966873168945
img_0043,0,0,0.0,,
img_0044,0,0,0.0,,
img_0045,0,0,0.0,,
img_0046,0,0,0.0,,
img_0047,1,1,0.29703332639813923,0.46841630935668943,0.40460998376210533
img_0048,0,0,0.0,,
img_0049,0,0,0.0,,
img_0050,0,0,0.0,,
img_0051,1,1,0.03277246734644965,0.6974360847473144,0.375436642964681
img_0052,0,0,0.0,,
img_0053,1,1,0.7954645308380066,0.5973650074005127,0.3903237469991048
img_0054,1,1,0.13009589985823064,0.4768606948852539,0.4366598892211914
img_0055,1,1,0.14588567896056145,0.5320578002929688,0.5296153132120768
