model,layer,view,n_images,dim
alexnet,conv1,gap,342,64
alexnet,conv1,rp,342,2048
alexnet,conv2,gap,342,192
alexnet,conv2,rp,342,2048
alexnet,conv3,gap,342,384
alexnet,conv3,rp,342,2048
alexnet,conv4,gap,342,256
alexnet,conv4,rp,342,2048
alexnet,conv5,gap,342,256
alexnet,conv5,rp,342,2048
alexnet,fc6,gap,342,4096
alexnet,fc6,rp,342,2048
alexnet,fc7,gap,342,4096
alexnet,fc7,rp,342,2048
alexnet,logits,gap,342,1000
alexnet,logits,rp,342,1000
clip_rn50,layer1,gap,342,256
clip_rn50,layer1,rp,342,2048
clip_rn50,layer2,gap,342,512
clip_rn50,layer2,rp,342,2048
clip_rn50,layer3,gap,342,1024
clip_rn50,layer3,rp,342,2048
clip_rn50,layer4,gap,342,2048
clip_rn50,layer4,rp,342,2048
clip_rn50,attnpool,gap,342,1024
clip_rn50,attnpool,rp,342,1024
clip_vitb32,block2,cls,342,768
clip_vitb32,block2,gap,342,768
clip_vitb32,block2,rp,342,2048
clip_vitb32,block5,cls,342,768
clip_vitb32,block5,gap,342,768
clip_vitb32,block5,rp,342,2048
clip_vitb32,block8,cls,342,768
clip_vitb32,block8,gap,342,768
clip_vitb32,block8,rp,342,2048
clip_vitb32,block11,cls,342,768
clip_vitb32,block11,gap,342,768
clip_vitb32,block11,rp,342,2048
clip_vitb32,ln_post,cls,342,768
clip_vitb32,ln_post,gap,342,768
clip_vitb32,ln_post,rp,342,2048
clip_vitb32,embed,gap,342,512
clip_vitb32,embed,rp,342,512
clip_vitl14,block5,cls,342,1024
clip_vitl14,block5,gap,342,1024
clip_vitl14,block5,rp,342,2048
clip_vitl14,block11,cls,342,1024
clip_vitl14,block11,gap,342,1024
clip_vitl14,block11,rp,342,2048
clip_vitl14,block17,cls,342,1024
clip_vitl14,block17,gap,342,1024
clip_vitl14,block17,rp,342,2048
clip_vitl14,block23,cls,342,1024
clip_vitl14,block23,gap,342,1024
clip_vitl14,block23,rp,342,2048
clip_vitl14,ln_post,cls,342,1024
clip_vitl14,ln_post,gap,342,1024
clip_vitl14,ln_post,rp,342,2048
convnext_tiny,stage1,gap,342,96
convnext_tiny,stage1,rp,342,2048
convnext_tiny,stage2,gap,342,192
convnext_tiny,stage2,rp,342,2048
convnext_tiny,stage3,gap,342,384
convnext_tiny,stage3,rp,342,2048
convnext_tiny,stage4,gap,342,768
convnext_tiny,stage4,rp,342,2048
convnext_tiny,avgpool,gap,342,768
convnext_tiny,avgpool,rp,342,768
convnext_tiny,logits,gap,342,1000
convnext_tiny,logits,rp,342,1000
dinov2_base,block2,cls,342,768
dinov2_base,block2,gap,342,768
dinov2_base,block2,rp,342,2048
dinov2_base,block5,cls,342,768
dinov2_base,block5,gap,342,768
dinov2_base,block5,rp,342,2048
dinov2_base,block8,cls,342,768
dinov2_base,block8,gap,342,768
dinov2_base,block8,rp,342,2048
dinov2_base,block11,cls,342,768
dinov2_base,block11,gap,342,768
dinov2_base,block11,rp,342,2048
dinov2_base,norm,cls,342,768
dinov2_base,norm,gap,342,768
dinov2_base,norm,rp,342,2048
dinov2_small,block2,cls,342,384
dinov2_small,block2,gap,342,384
dinov2_small,block2,rp,342,2048
dinov2_small,block5,cls,342,384
dinov2_small,block5,gap,342,384
dinov2_small,block5,rp,342,2048
dinov2_small,block8,cls,342,384
dinov2_small,block8,gap,342,384
dinov2_small,block8,rp,342,2048
dinov2_small,block11,cls,342,384
dinov2_small,block11,gap,342,384
dinov2_small,block11,rp,342,2048
dinov2_small,norm,cls,342,384
dinov2_small,norm,gap,342,384
dinov2_small,norm,rp,342,2048
facenet_vggface2,embed,gap,342,512
resnet18,stem,gap,342,64
resnet18,stem,rp,342,2048
resnet18,layer1,gap,342,64
resnet18,layer1,rp,342,2048
resnet18,layer2,gap,342,128
resnet18,layer2,rp,342,2048
resnet18,layer3,gap,342,256
resnet18,layer3,rp,342,2048
resnet18,layer4,gap,342,512
resnet18,layer4,rp,342,2048
resnet18,avgpool,gap,342,512
resnet18,avgpool,rp,342,512
resnet18,logits,gap,342,1000
resnet18,logits,rp,342,1000
resnet50,stem,gap,342,64
resnet50,stem,rp,342,2048
resnet50,layer1,gap,342,256
resnet50,layer1,rp,342,2048
resnet50,layer2,gap,342,512
resnet50,layer2,rp,342,2048
resnet50,layer3,gap,342,1024
resnet50,layer3,rp,342,2048
resnet50,layer4,gap,342,2048
resnet50,layer4,rp,342,2048
resnet50,avgpool,gap,342,2048
resnet50,avgpool,rp,342,2048
resnet50,logits,gap,342,1000
resnet50,logits,rp,342,1000
vgg16,conv1_2,gap,342,64
vgg16,conv1_2,rp,342,2048
vgg16,conv2_2,gap,342,128
vgg16,conv2_2,rp,342,2048
vgg16,conv3_3,gap,342,256
vgg16,conv3_3,rp,342,2048
vgg16,conv4_3,gap,342,512
vgg16,conv4_3,rp,342,2048
vgg16,conv5_3,gap,342,512
vgg16,conv5_3,rp,342,2048
vgg16,fc6,gap,342,4096
vgg16,fc6,rp,342,2048
vgg16,fc7,gap,342,4096
vgg16,fc7,rp,342,2048
vgg16,logits,gap,342,1000
vgg16,logits,rp,342,1000
vit_b_16,block2,cls,342,768
vit_b_16,block2,gap,342,768
vit_b_16,block2,rp,342,2048
vit_b_16,block5,cls,342,768
vit_b_16,block5,gap,342,768
vit_b_16,block5,rp,342,2048
vit_b_16,block8,cls,342,768
vit_b_16,block8,gap,342,768
vit_b_16,block8,rp,342,2048
vit_b_16,block11,cls,342,768
vit_b_16,block11,gap,342,768
vit_b_16,block11,rp,342,2048
vit_b_16,ln,cls,342,768
vit_b_16,ln,gap,342,768
vit_b_16,ln,rp,342,2048
vit_b_16,logits,gap,342,1000
vit_b_16,logits,rp,342,1000
