image_uid,category,category_p,p_cat_face_person,p_cat_animal,p_cat_landmark_place,p_cat_landscape_nature,p_cat_object,p_cat_vehicle,p_cat_food,p_cat_scene_with_people,p_cat_cartoon_art,attr_famous,attr_face_visible,attr_single_object,attr_indoor,attr_natural,attr_text_present,attr_colorful,attr_emotional,attr_child,attr_smiling,fine,fine_p
img_0000,face_person,0.9332768,0.9332768,0.02544413,0.0013797439,0.0013372299,0.01805946,0.0017979953,0.0047558355,0.008091075,0.0058576935,0.8448273,0.9951037,0.98342705,0.6900131,0.8425484,0.19436303,0.40504003,0.086727336,0.022786446,0.43338138,tv host,0.41418618
img_0001,face_person,0.9440684,0.9440684,0.010433402,0.0013577925,0.001713068,0.017671915,0.0011209573,0.006494206,0.013336661,0.0038036678,0.9486815,0.99914527,0.94870263,0.7424848,0.8000105,0.83799994,0.34160134,0.19961315,0.090370744,0.1325334,tv host,0.41964057
img_0002,face_person,0.97670335,0.97670335,0.0067282286,0.000409655,0.0010040163,0.0040783323,0.0010259006,0.0008734216,0.007834593,0.001342431,0.70883256,0.9989157,0.9907273,0.34441328,0.85838926,0.31500086,0.6871993,0.5246392,0.035740476,0.2578012,actor,0.1933618
img_0003,face_person,0.9549042,0.9549042,0.010571004,0.0010146948,0.0024374714,0.009280304,0.0027881912,0.0010654903,0.01564825,0.0022904433,0.93661076,0.994638,0.96039385,0.36721754,0.52751714,0.19185054,0.51430833,0.4269034,0.24107665,0.25726655,actor,0.69308853
img_0004,face_person,0.89846426,0.89846426,0.04204851,0.0033386594,0.010771282,0.013098571,0.006115265,0.0018872549,0.011297986,0.012978306,0.83276165,0.9158148,0.97049487,0.4815443,0.4215695,0.08902286,0.6009671,0.70831114,0.05149042,0.12266642,musician,0.5504354
img_0005,face_person,0.7343644,0.7343644,0.0258793,0.011623582,0.002948874,0.041315183,0.0035063927,0.0050844983,0.12635154,0.04892628,0.21395944,0.9872097,0.855416,0.39543825,0.23103358,0.24633956,0.8419033,0.42262888,0.023702046,0.052079897,fictional movie character,0.5312599
img_0006,face_person,0.9132805,0.9132805,0.020383626,0.0018284795,0.0018600567,0.017164046,0.0046609645,0.005621274,0.02997997,0.005221128,0.8025528,0.9850697,0.98062736,0.21199995,0.41214326,0.5799009,0.53006834,0.54303795,0.055469826,0.37583888,actor,0.67058396
img_0007,face_person,0.7167802,0.7167802,0.02467307,0.002370939,0.000747606,0.050740507,0.011970484,0.0045264084,0.09485073,0.093340136,0.18674015,0.92465645,0.73814446,0.8652138,0.15959463,0.18438053,0.32697576,0.89371467,0.024490573,0.0429871,politician,0.23829177
img_0008,face_person,0.57629603,0.57629603,0.03135011,0.002828439,0.0016617294,0.029395198,0.004004892,0.003786588,0.2907431,0.05993384,0.50162935,0.9861829,0.9482176,0.76703167,0.27971548,0.27818477,0.6296879,0.6581288,0.041978206,0.04547727,fictional movie character,0.81569976
img_0009,face_person,0.70451444,0.70451444,0.027352285,0.0059786625,0.002777898,0.07924344,0.008971082,0.005159191,0.11980439,0.046198666,0.25387508,0.9719425,0.98035,0.5863702,0.09667996,0.78772616,0.66142845,0.35700864,0.24441828,0.088976465,politician,0.4776158
img_0010,face_person,0.85739404,0.85739404,0.015315182,0.0056700176,0.0013150781,0.06256479,0.007148637,0.004552903,0.033862922,0.012176533,0.19344419,0.93269473,0.6737713,0.54524744,0.117085606,0.7569529,0.5042209,0.46466953,0.060434867,0.027268974,politician,0.6571682
img_0011,face_person,0.90755254,0.90755254,0.023411008,0.0046985634,0.0017552127,0.026775198,0.0060379216,0.0023110637,0.023870835,0.003587627,0.46993405,0.9458858,0.847136,0.57829237,0.19293316,0.752062,0.20106398,0.5643048,0.12526588,0.08784036,politician,0.7502555
img_0012,scene_with_people,0.50802714,0.04780241,0.4136917,0.011351839,0.003680801,0.005816061,0.00249471,0.002922174,0.50802714,0.0042131827,0.8566445,0.3354469,0.44594845,0.19110347,0.47047812,0.01850997,0.4740933,0.68792003,0.010768413,0.29160574,dog,0.6228585
img_0013,face_person,0.94128376,0.94128376,0.009130031,0.0015705709,0.0005240844,0.015240748,0.003577104,0.0014121725,0.02353116,0.0037303069,0.29919675,0.9824326,0.9748198,0.31633586,0.11072142,0.9099217,0.49085194,0.53288335,0.2477961,0.7919075,politician,0.44165793
img_0014,face_person,0.93325144,0.93325144,0.014249273,0.00694221,0.0006173172,0.014653105,0.0013795698,0.0012647527,0.01091378,0.016728597,0.42255536,0.9322625,0.93805087,0.6563968,0.2973157,0.24372645,0.013271464,0.4101415,0.10123782,0.03826416,politician,0.23962805
img_0015,face_person,0.8826027,0.8826027,0.041414965,0.0026966548,0.0029639788,0.01851768,0.0050134268,0.005067002,0.025282828,0.016440839,0.95882034,0.98460126,0.9485796,0.5526161,0.43129504,0.37468162,0.8069885,0.7477498,0.15472765,0.08937477,musician,0.32451788
img_0016,face_person,0.8873823,0.8873823,0.047837798,0.0013989703,0.0025091833,0.014542279,0.002074239,0.0022841885,0.0024626467,0.039508384,0.8411785,0.9429703,0.96519643,0.5996472,0.36510777,0.3520212,0.10086512,0.72776914,0.37666792,0.9741943,musician,0.47713783
