subject,session,task,stim_index,stim_name,stim_num,is_null,height,width,sha1,dhash,path,image_uid,dup_kind
1,1,screening,0,image_1,1,False,300,400,e99ec556399a7c061db8e1a5566cc6f055324b71,1100110011100100111101101111011011110010110100101111011010010110,images/sub-01/ses-1/image_1.png,img_0000,unique
1,1,screening,1,image_2,2,False,300,400,08764350c7b28119caa7fd7c0b2831a1093b0c64,0110111101110001001100011001000001100010001110010001001110010011,images/sub-01/ses-1/image_2.png,img_0001,unique
1,1,screening,2,image_3,3,False,300,400,3a189bc508c82a6f527925a342a24861e3a3c5ae,1100011011010010101100000011100110111001000110100001001001010010,images/sub-01/ses-1/image_3.png,img_0002,unique
1,1,screening,3,image_4,4,False,300,400,4ef9dc36f6b102da9aa2939a235601730c02f38d,1011001000110010001000000011000001110000111100001101000001110011,images/sub-01/ses-1/image_4.png,img_0003,unique
1,1,screening,4,image_5,5,False,300,400,e5e3f6743aa72e57adf1c8dd7ea293c99d82043b,0001111000111011011100110111001100100110001111000001110000111110,images/sub-01/ses-1/image_5.png,img_0004,unique
1,1,screening,5,image_6,6,False,300,400,d1ac4a70f845690df3df1da3c843126a40912eab,1000010110000101100001010010001100110011000000110000011100001011,images/sub-01/ses-1/image_6.png,img_0005,unique
1,1,screening,6,image_7,7,False,300,400,fb36b1698b927dcd89f0dc05b1afa1319b8e1272,1100110011001101100001001000110010001101010011001100111100110011,images/sub-01/ses-1/image_7.png,img_0006,unique
1,1,screening,7,image_8,8,False,300,400,a83f981626e6f4c93295800681041eba7b05b712,1000110000100110011001100010011000000110000001010000110101101110,images/sub-01/ses-1/image_8.png,img_0007,unique
1,1,screening,8,image_9,9,False,300,400,3adf7e0eea827d97174b1a04c6f8f8ab7c012dc1,0101001001011000110101001001010000010101000100001001100110011001,images/sub-01/ses-1/image_9.png,img_0008,unique
1,1,screening,9,image_11,11,False,300,400,aaf9067a8394e96d07d90ce4e7c4b5694aec83f3,1110110011100100111110001110000011011011111101110111010011110100,images/sub-01/ses-1/image_11.png,img_0009,unique
1,1,screening,10,image_12,12,False,300,400,977b575e9116890964c35896ff98e1434f31529b,1110100011001100100101001000010010110000111000101011000100110011,images/sub-01/ses-1/image_12.png,img_0010,unique
1,1,screening,11,image_13,13,False,300,400,3da81b34dbea49871669a4d93be870966a810c6c,1010001110100101011001010110011101110011111000101010011010101110,images/sub-01/ses-1/image_13.png,img_0011,unique
1,1,screening,12,image_14,14,False,300,400,8a74e1c2a1ba1b2705cd3c66b1db934417fc439c,0111001111011010110110001001101010010101110101001001011011010100,images/sub-01/ses-1/image_14.png,img_0012,unique
1,1,screening,13,image_15,15,False,300,400,1ddcae863a6008712418ce6783adf15a4218cc65,1100001111001011110010011100100111001001100110010011001100110011,images/sub-01/ses-1/image_15.png,img_0013,unique
