subject,session,task,unit,electrode,location,area,region,hemisphere,n_spikes,fr_hz,isolation_distance,mean_proj_dist,mean_snr,peak_snr,cluster_id_orig
1,1,screening,0,0,hippocampus_left,hippocampus,MTL,L,716,1.105148969620378,,0.0,0.8902121365034873,4.813635359529011,440
1,1,screening,1,1,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,2600,4.013110783537686,,9.285785608646776,1.2951570609050482,5.043108180442904,647
1,1,screening,2,1,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,302,0.4661382525493773,22.3149571489275,10.866820002724662,2.923340408303117,10.915610869148097,662
1,1,screening,3,1,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,606,0.9353635133937835,10.550598968653478,6.870164785000291,2.0470827340633315,7.231901950131226,687
1,1,screening,4,2,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,4200,6.482717419560876,277.2600376785226,6.82867992811914,1.7822337090605476,6.843393701956056,1170
1,1,screening,5,2,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,2463,3.8016507153281993,15.511132232474802,8.294348401710415,0.8102468998369726,4.389620704623458,1177
1,1,screening,6,2,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,1243,1.9185756553605164,7.496475552120237,5.975736496717527,1.265020947942656,5.202693902413357,1258
1,1,screening,7,3,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,87,0.134284860833761,24.013014159748575,16.632453337655985,3.122441306610296,12.88838544562455,1442
1,1,screening,8,3,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,300,0.4630512442543483,5.626072946558035,10.205529668453128,1.484770330610351,5.879949996102162,1514
1,1,screening,9,3,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,10389,16.035464588528082,,8.6890090198854,1.5683799441747226,6.219760348120689,1603
1,1,screening,10,3,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,220,0.33957091245318877,4.565206090467631,9.293068242455044,2.213861230545073,7.454917253006697,1604
1,1,screening,11,3,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,317,0.4892908147620947,4.922722378232263,8.68559417483218,2.437818572416451,8.427588165884746,1634
1,1,screening,12,4,dorsal_anterior_cingulate_cortex_right,dACC,MFC,R,1255,1.9370977051306904,19.006576900514013,9.660386746172703,2.4111048823400054,8.626029773325778,1116
