subject,unit,area,region,n_match,n_lure,probe_pref_match_hz,probe_pref_lure_hz,probe_nonpref_hz,baseline_hz,p_match_vs_lure,rho_sim_nonpref_probe
1,15,preSMA,MFC,10,12,1.0,0.625,0.4783950617283951,0.9320388349514563,0.5740705379245257,-0.19999999999999998
1,17,preSMA,MFC,10,12,0.625,0.20833333333333334,0.8179012345679012,0.6796116504854369,0.2188949036194311,0.0
1,34,amygdala,MTL,10,10,1.75,2.625,1.5662650602409638,1.6504854368932038,0.3050642383236699,0.39999999999999997
1,35,amygdala,MTL,9,11,4.444444444444445,6.590909090909091,6.039156626506024,7.242718446601942,0.22725195698074974,-0.7999999999999999
2,0,amygdala,MTL,11,12,4.886363636363637,4.166666666666667,2.0375,0.6341463414634146,0.5970464484424718,0.19999999999999998
2,1,amygdala,MTL,11,13,2.272727272727273,1.3461538461538463,0.31565656565656564,0.11382113821138211,0.11187473435429424,0.39999999999999997
2,16,hippocampus,MTL,12,12,4.479166666666667,4.166666666666667,3.851010101010101,4.373983739837398,0.9298683383218098,0.0
2,20,vmPFC,MFC,11,13,0.3409090909090909,0.8653846153846154,0.6439393939393939,0.8130081300813008,0.4636745306196922,-0.39999999999999997
3,10,preSMA,MFC,11,13,4.886363636363637,6.153846153846154,7.55,7.354838709677419,0.33496452324318315,-0.7999999999999999
3,14,preSMA,MFC,12,13,4.583333333333333,4.8076923076923075,4.671717171717172,8.32258064516129,0.6374889759811853,-0.7999999999999999
3,22,preSMA,MFC,11,14,21.59090909090909,28.125,25.47979797979798,5.774193548387097,0.04826833472927787,0.7999999999999999
3,27,hippocampus,MTL,12,13,7.395833333333333,9.51923076923077,10.454545454545455,6.032258064516129,0.1889161919982475,1.0
4,12,amygdala,MTL,11,14,3.409090909090909,2.857142857142857,4.522058823529412,4.9921259842519685,1.0,-0.19999999999999998
4,22,amygdala,MTL,11,14,1.0227272727272727,1.4285714285714286,0.6985294117647058,0.8661417322834646,0.6011710743073932,-0.39999999999999997
4,52,amygdala,MTL,15,14,10.916666666666666,10.625,6.594387755102041,4.299212598425197,0.8259891984722325,0.39999999999999997
4,53,amygdala,MTL,15,14,2.0,1.5178571428571428,1.0841836734693877,0.4094488188976378,0.14098311361868324,-0.19999999999999998
4,55,amygdala,MTL,12,11,2.3958333333333335,3.75,1.9591346153846154,1.669291338582677,0.21215146829527942,1.0
4,57,amygdala,MTL,12,11,18.4375,17.5,13.389423076923077,7.590551181102362,0.5768968907095311,0.39999999999999997
4,59,amygdala,MTL,14,13,1.1607142857142858,1.7307692307692308,0.9,0.5826771653543307,0.7407763602040296,-0.39999999999999997
4,61,vmPFC,MFC,11,14,1.3636363636363635,2.767857142857143,1.7401960784313726,1.1811023622047243,0.03715139857468033,-0.7999999999999999
4,62,vmPFC,MFC,12,11,6.145833333333333,5.568181818181818,3.9783653846153846,4.283464566929134,0.5960247430961256,0.316227766016838
