subject,animal,cartoon_art,face_person,food,landmark_place,landscape_nature,object,scene_with_people,vehicle
1,6,0,39,3,3,2,1,6,3
2,3,1,39,2,2,2,5,6,3
3,11,2,36,1,3,3,0,5,2
4,20,0,29,0,12,0,0,0,2
5,21,4,24,0,2,1,5,2,4
6,9,0,9,9,0,9,9,0,9
7,9,0,9,9,0,9,9,0,9
8,9,0,9,9,0,9,9,0,9
9,1,0,24,0,17,6,1,3,2
10,1,0,32,0,17,6,1,4,2
11,1,0,32,0,17,6,1,4,2
12,1,0,32,0,17,6,1,4,2
13,8,0,31,0,11,0,2,3,8
14,8,1,31,0,8,0,2,2,11
15,11,0,35,0,4,0,1,6,6
16,1,0,24,0,17,6,1,3,2
17,1,0,33,0,14,7,2,4,2
18,1,2,35,0,3,1,3,8,10
20,23,6,19,1,5,1,1,2,5
21,20,1,23,3,6,2,2,2,4
