feature,mean_sternberg,mean_rest,auc,auc_within_subject_mean,auc_within_subject_sem,p_mannwhitney,q,block
attr_famous,0.5080971719,0.514314523006278,0.4909865470852018,0.49827586206896546,0.03178126278681925,0.7650574964760073,0.8738893711408715,clip_attributes
attr_face_visible,0.7599748310500002,0.7061501786538117,0.55952466367713,0.5637473610133709,0.032444123735393536,0.04833546907666382,0.531690159843302,clip_attributes
attr_single_object,0.8712077703500001,0.8681400512645739,0.5311479820627802,0.5319176636171711,0.03058714278753058,0.30155988316004134,0.8738893711408715,clip_attributes
attr_indoor,0.40973189034,0.4026539310956951,0.5128699551569507,0.5136453201970443,0.024727272056999823,0.6695437960488002,0.8738893711408715,clip_attributes
attr_natural,0.39520865152000006,0.3991564851623319,0.49448430493273543,0.5026178747361014,0.028328463530354887,0.8549406451511394,0.8738893711408715,clip_attributes
attr_text_present,0.5784480775899999,0.5803935100457399,0.5047892376681614,0.5059676284306825,0.03505198557280852,0.8738893711408715,0.8738893711408715,clip_attributes
attr_colorful,0.49871763362000004,0.5479659317036771,0.4513452914798206,0.45108374384236455,0.029829590320770892,0.10656467719249488,0.5861057245587218,clip_attributes
attr_emotional,0.41600111785000005,0.39679989432286994,0.5178206278026906,0.5157600281491905,0.034631250983946385,0.5545216078232443,0.8738893711408715,clip_attributes
attr_child,0.11212875667899999,0.11467410161112107,0.5298565022421524,0.5310274454609429,0.031880628007914406,0.3220504681879015,0.8738893711408715,clip_attributes
attr_smiling,0.352831988023,0.35867951728349773,0.49213452914798206,0.493951442646024,0.027804126442987874,0.7942736300558212,0.8738893711408715,clip_attributes
category_p,0.7929271280000001,0.7783081468878924,0.5111121076233184,0.5038318085855031,0.037706772643780716,0.7125281955578276,0.8738893711408715,clip_attributes
luminance,0.43989664733409883,0.45555651134439645,0.46626008968609867,0.4627163969035889,0.03334408825555368,0.2631087133670913,0.6087054066262276,low_level
rms_contrast,0.247352759540081,0.2368453074196529,0.5494618834080718,0.5490570021111892,0.03143260820038527,0.10087965606994286,0.467513174227137,low_level
michelson_contrast,0.91773788823958,0.8956078057731798,0.5472735426008969,0.542100633356791,0.02966563586573431,0.11687829355678425,0.467513174227137,low_level
colorfulness,44.83274291276932,47.60351289092425,0.46382062780269057,0.4659764250527797,0.030038768968569503,0.2301346381576005,0.6087054066262276,low_level
saturation,0.3301229843776673,0.3356652011480151,0.49611659192825114,0.4949102744546094,0.026121083272458125,0.8976158727007955,0.9569365079036526,low_level
hue_entropy,2.5195652163028717,2.4511628471682423,0.5016322869955157,0.5063634764250529,0.02493297103938404,0.9569365079036525,0.9569365079036526,low_level
gray_entropy,5.26111015020684,5.185934881452562,0.5073811659192825,0.5073047149894441,0.026381772439302197,0.8066889256513816,0.9569365079036526,low_level
edge_density,0.045611416666666654,0.04220413303437964,0.5239955156950673,0.5272941590429275,0.029715753901825025,0.42612936557550674,0.7305074838437259,low_level
spectral_slope,-2.6312491880168225,-2.646946386170858,0.49518385650224217,0.4971498944405349,0.026182763467642,0.8731862053789429,0.9569365079036526,low_level
high_freq_energy,0.05607214159332211,0.0576213005295382,0.47997309417040357,0.4816326530612246,0.023578190981267927,0.506571898873091,0.7598578483096364,low_level
edge_com_x,0.49466799779088233,0.4991446704161809,0.46903139013452916,0.47167839549612955,0.034567472839400835,0.3043527033131138,0.6087054066262276,low_level
edge_com_y,0.523414995760901,0.5330297091940024,0.44688789237668164,0.4476530612244898,0.02131408473121971,0.07812178825184161,0.467513174227137,low_level
clip_centroid_dist,0.2951850106877023,0.2911436490129174,0.5251838565022422,0.5308550316678395,0.03066766581487562,0.40357599895736285,0.4641123988009673,dnn_geometry
clip_nn1_dist,0.22305634161040203,0.21465864319790584,0.5314215246636771,0.5315482054890921,0.028905489733902313,0.29732653236892614,0.42740689028033135,dnn_geometry
clip_nn5_dist,0.27521976330695447,0.27026761759855283,0.5287533632286996,0.5338634764250528,0.025309763929818922,0.340255969615757,0.46034631183308294,dnn_geometry
