feature,mean_sternberg,mean_rest,auc,auc_within_subject_mean,auc_within_subject_sem,p_mannwhitney,q,block,q_familywide,t_within_subject,p_within_subject
attr_famous,0.5080971719,0.514314523006278,0.4909865470852018,0.4982758620689654,0.0317812627868192,0.7650574964760073,0.8738893711408715,clip_attributes,0.9088449459865063,-0.05425013922825173,0.9573022524877366
attr_face_visible,0.7599748310500002,0.7061501786538117,0.55952466367713,0.5637473610133709,0.0324441237353935,0.0483354690766638,0.531690159843302,clip_attributes,0.29001933259873713,1.9648353437830242,0.0642276328288526
attr_single_object,0.8712077703500001,0.8681400512645739,0.5311479820627802,0.5319176636171711,0.0305871427875305,0.3015598831600413,0.8738893711408715,clip_attributes,0.5457358818028247,1.0434993500008438,0.30981295947422827
attr_indoor,0.40973189034,0.4026539310956951,0.5128699551569507,0.5136453201970443,0.0247272720569998,0.6695437960488002,0.8738893711408715,clip_attributes,0.8704069348634402,0.5518328170446777,0.5874954965149288
attr_natural,0.39520865152,0.3991564851623319,0.4944843049327354,0.5026178747361014,0.0283284635303548,0.8549406451511394,0.8738893711408715,clip_attributes,0.9088449459865063,0.0924114621781831,0.9273385703263004
attr_text_present,0.5784480775899999,0.5803935100457399,0.5047892376681614,0.5059676284306825,0.0350519855728085,0.8738893711408715,0.8738893711408715,clip_attributes,0.9088449459865063,0.17025079558722409,0.8666127002386204
attr_colorful,0.49871763362,0.5479659317036771,0.4513452914798206,0.4510837438423645,0.0298295903207708,0.1065646771924948,0.5861057245587218,clip_attributes,0.37985445405954865,-1.6398567875595118,0.1174868187273954
attr_emotional,0.41600111785,0.3967998943228699,0.5178206278026906,0.5157600281491905,0.0346312509839463,0.5545216078232443,0.8738893711408715,clip_attributes,0.7393621437643257,0.45508111030976806,0.6542081273006299
attr_child,0.1121287566789999,0.114674101611121,0.5298565022421524,0.5310274454609429,0.0318806280079144,0.3220504681879015,0.8738893711408715,clip_attributes,0.558220811525696,0.9732382139159975,0.342663445155293
attr_smiling,0.352831988023,0.3586795172834977,0.492134529147982,0.493951442646024,0.0278041264429878,0.7942736300558212,0.8738893711408715,clip_attributes,0.9088449459865063,-0.21754171512557882,0.8301053440222328
category_p,0.7929271280000001,0.7783081468878924,0.5111121076233184,0.5038318085855031,0.0377067726437807,0.7125281955578276,0.8738893711408715,clip_attributes,0.882177765928739,0.10162122920735171,0.9201221059365701
luminance,0.4398966473340988,0.4555565113443964,0.4662600896860986,0.4627163969035889,0.0333440882555536,0.2631087133670913,0.6087054066262276,low_level,0.5457358818028247,-1.1181473252669116,0.27744294884423687
rms_contrast,0.247352759540081,0.2368453074196529,0.5494618834080718,0.5490570021111892,0.0314326082003852,0.1008796560699428,0.467513174227137,low_level,0.37985445405954865,1.5607041515119338,0.13509566385441374
michelson_contrast,0.91773788823958,0.8956078057731798,0.5472735426008969,0.542100633356791,0.0296656358657343,0.1168782935567842,0.467513174227137,low_level,0.37985445405954865,1.4191717833838835,0.1720467839058762
colorfulness,44.83274291276932,47.60351289092425,0.4638206278026905,0.4659764250527797,0.0300387689685695,0.2301346381576005,0.6087054066262276,low_level,0.5439545992816012,-1.1326554354747436,0.2714507948399117
saturation,0.3301229843776673,0.3356652011480151,0.4961165919282511,0.4949102744546094,0.0261210832724581,0.8976158727007955,0.9569365079036526,low_level,0.9152161839302229,-0.19485124304768725,0.847577842430828
hue_entropy,2.5195652163028717,2.4511628471682423,0.5016322869955157,0.5063634764250529,0.024932971039384,0.9569365079036524,0.9569365079036526,low_level,0.9569365079036524,0.25522335124045764,0.8012929408700158
gray_entropy,5.26111015020684,5.185934881452562,0.5073811659192825,0.5073047149894441,0.0263817724393021,0.8066889256513816,0.9569365079036526,low_level,0.9088449459865063,0.2768849214453049,0.7848582930839829
edge_density,0.0456114166666666,0.0422041330343796,0.5239955156950673,0.5272941590429275,0.029715753901825,0.4261293655755067,0.7305074838437259,low_level,0.6297290472616962,0.9185080457020226,0.3698667579317405
spectral_slope,-2.6312491880168225,-2.646946386170858,0.4951838565022421,0.4971498944405349,0.026182763467642,0.8731862053789429,0.9569365079036526,low_level,0.9088449459865063,-0.10885426830469531,0.9144594864267378
high_freq_energy,0.0560721415933221,0.0576213005295382,0.4799730941704035,0.4816326530612246,0.0235781909812679,0.506571898873091,0.7598578483096364,low_level,0.7119388849027224,-0.7789972925983869,0.4455759605253776
edge_com_x,0.4946679977908823,0.4991446704161809,0.4690313901345291,0.4716783954961295,0.0345674728394008,0.3043527033131138,0.6087054066262276,low_level,0.5457358818028247,-0.8193137125022598,0.4227661572607686
edge_com_y,0.523414995760901,0.5330297091940024,0.4468878923766816,0.4476530612244898,0.0213140847312197,0.0781217882518416,0.467513174227137,low_level,0.37985445405954865,-2.455978731230026,0.023848173337956562
clip_centroid_dist,0.2951850106877023,0.2911436490129174,0.5251838565022422,0.5308550316678395,0.0306676658148756,0.4035759989573628,0.4641123988009673,dnn_geometry,0.6172338807583195,1.0061095570199234,0.32700505746259856
clip_nn1_dist,0.223056341610402,0.2146586431979058,0.5314215246636771,0.5315482054890921,0.0289054897339023,0.2973265323689261,0.4274068902803313,dnn_geometry,0.5457358818028247,1.091426084785903,0.28873296794123043
clip_nn5_dist,0.2752197633069544,0.2702676175985528,0.5287533632286996,0.5338634764250528,0.0253097639298189,0.340255969615757,0.4603463118330829,dnn_geometry,0.5707519490328827,1.337960975019459,0.1967035966029633
clip_mean_dist,0.5032854272258964,0.5004204842708677,0.5251838565022422,0.5308550316678395,0.0306676658148756,0.4035759989573628,0.4641123988009673,dnn_geometry,0.6172338807583195,1.0061095570199234,0.32700505746259856
clip_cat_typicality,0.7533330328065041,0.7581875081973977,0.4731838565022421,0.4662315270935961,0.0283039243322068,0.373789198492546,0.4641123988009673,dnn_geometry,0.6074074475503872,-1.1930668168151872,0.24752923010250083
resnet50_centroid_dist,0.5706408765142305,0.6069525153387352,0.4316322869955157,0.4393455313159747,0.0279032184745999,0.0233444907468296,0.2072762433505535,dnn_geometry,0.29001933259873713,-2.1737445355717164,0.04257118802688297
resnet50_nn1_dist,0.3921085598492999,0.4031211172400145,0.4885515695067264,0.4894968332160451,0.0299221049454018,0.7042239706534483,0.7362341511376959,dnn_geometry,0.882177765928739,-0.3510169756813501,0.7294377711048525
resnet50_nn5_dist,0.473856349028412,0.4899261024950982,0.4765112107623318,0.4743420126671358,0.03039484892974,0.4359662634888666,0.4774868600116158,dnn_geometry,0.6297290472616962,-0.8441557775850296,0.4090857484709782
resnet50_mean_dist,0.8439623208013098,0.8574067063486953,0.4316322869955157,0.4393455313159747,0.0279032184745999,0.0233444907468296,0.2072762433505535,dnn_geometry,0.29001933259873713,-2.1737445355717164,0.04257118802688297
resnet50_cat_typicality,0.5241053076898907,0.5024817648322308,0.5379551569506726,0.5386206896551724,0.0265569855494087,0.2080656983556369,0.3987925885149708,dnn_geometry,0.5396551368626427,1.4542572832040535,0.1621958523401044
dinov2_centroid_dist,0.7304400771058985,0.7602059762483934,0.4519013452914798,0.4559781843771991,0.0299956479976529,0.1106266521522394,0.3180516249376884,dnn_geometry,0.37985445405954865,-1.4676067550281129,0.1585705115622389
dinov2_nn1_dist,0.4669253670176527,0.4869371011242758,0.4649461883408072,0.458515130190007,0.0288096481263483,0.2449640641296064,0.426057730829229,dnn_geometry,0.5457358818028247,-1.43996447398649,0.16615197625301975
dinov2_nn5_dist,0.5796209487565881,0.6023808535470556,0.4586188340807174,0.4534271639690358,0.0307641384388756,0.1698923235689075,0.3790231277265529,dnn_geometry,0.4908000458657328,-1.513867717228566,0.14651730639193017
dinov2_mean_dist,0.9485973280860578,0.9545972436420932,0.4519013452914798,0.4559781843771991,0.0299956479976529,0.1106266521522394,0.3180516249376884,dnn_geometry,0.37985445405954865,-1.4676067550281129,0.1585705115622389
dinov2_cat_typicality,0.3394288651096458,0.3121470751755547,0.5498834080717488,0.5395390570021111,0.029615667877839,0.0980083459299608,0.3180516249376884,dnn_geometry,0.37985445405954865,1.3350722720556192,0.19762978700740666
alexnet_fc7_centroid_dist,0.6036810164507966,0.6424116547017483,0.4367982062780269,0.4378114004222378,0.026096988977912,0.0360480423218353,0.2072762433505535,dnn_geometry,0.29001933259873713,-2.3829798767358734,0.027769768296374654
alexnet_fc7_nn1_dist,0.4442471961693633,0.4612140563347408,0.4664170403587444,0.4679046446164673,0.0334208275111193,0.2653321747791246,0.426057730829229,dnn_geometry,0.5457358818028247,-0.9603399369107299,0.3489469675227205
alexnet_fc7_nn5_dist,0.5112923491223311,0.5334703459254215,0.4572914798206278,0.4639232934553131,0.0313058647365127,0.1566054801646081,0.3790231277265529,dnn_geometry,0.47902852756233066,-1.152394506535061,0.26345270564974516
alexnet_fc7_mean_dist,0.8730977691202015,0.8857859929764618,0.4367982062780269,0.4378114004222378,0.026096988977912,0.0360480423218353,0.2072762433505535,dnn_geometry,0.29001933259873713,-2.3829798767358734,0.027769768296374654
alexnet_fc7_cat_typicality,0.491570481813152,0.4656900090837202,0.540304932735426,0.5300070372976776,0.0307009333509169,0.1812719306518296,0.3790231277265529,dnn_geometry,0.49611265231027046,0.9773982098424198,0.3406536255942546
clip_ws_centroid_dist,0.2795813908863838,0.2744296104513722,0.5327174887892376,0.53945109078114,0.0284603398107108,0.2778637374973233,0.426057730829229,dnn_geometry,0.5457358818028247,1.3861777843668923,0.18174637558634046
resnet50_ws_nn1_dist,0.4900930499593636,0.4980535239534091,0.4916547085201794,0.5039707952146377,0.0290596434570758,0.7820239489735163,0.7820239489735163,dnn_geometry,0.9088449459865063,0.13664294334866883,0.8927505249250824
resnet50_ws_centroid_dist,0.5452733784208446,0.5775110489243761,0.4409596412556054,0.4521393384940183,0.0306638535017159,0.0501956537190122,0.2309000071074565,dnn_geometry,0.29001933259873713,-1.5608169241776322,0.1350690850133523
n_subjects_screening,7.34,7.25829596412556,0.4944932735426009,0.5117065446868403,0.0291924416335264,0.8544091390460361,0.8544091390460361,reuse,0.9088449459865063,0.4010128660631036,0.6928846101703972
sternberg_rate_loso,0.0927018079959256,0.084705051371718,0.5357769534240122,0.5288706110462406,0.034909970965065,0.217937651425298,0.6538129542758943,reuse,0.5396551368626427,0.8270018635974195,0.41850166678457434
n_sternberg_other,0.55,0.5327354260089686,0.5158609865470852,0.5221692470091484,0.0333847241119953,0.5379863588783644,0.8069795383175467,reuse,0.7361918595177619,0.6640536232912235,0.5146343897223312
face_found,0.62,0.4905829596412556,0.5647085201793722,0.5686030964109782,0.0248271687004419,0.0131990444613505,0.0197985666920258,faces,0.29001933259873713,2.763226739171314,0.01237472708495766
n_faces,0.66,0.5632286995515695,0.5543632286995516,0.556954609429979,0.025508997917929,0.0421066829470304,0.0421066829470304,faces,0.29001933259873713,2.232726256563314,0.03779580470865634
largest_face_area,0.1012122043778352,0.0798017813151526,0.5705605381165919,0.5763247712878254,0.0267551989165103,0.0123927751065333,0.0197985666920258,faces,0.29001933259873713,2.852708048480491,0.01018174459997666
