subject,sternberg_slot,image_uid,category,fine,n_concept_pref,n_concept_pref_mtl,n_cc_sternberg,n_cc_sternberg_mtl,z_max_mtl,n_subjects_screening,n_sternberg_other
1,0.0,img_0019,face_person,scientist,0.0,0.0,1,1,0.1939434616175124,16,0
1,1.0,img_0055,face_person,actor,0.0,0.0,1,1,0.4754024489398799,9,1
1,2.0,img_0047,face_person,fictional movie character,0.0,0.0,0,0,0.3597192496747861,1,0
1,3.0,img_0039,face_person,politician,1.0,1.0,2,0,0.827229846618417,4,1
1,4.0,img_0054,face_person,actor,0.0,0.0,0,0,0.1352009708391312,12,1
2,0.0,img_0071,object,watch or jewelry,1.0,1.0,2,1,1.867116697052302,1,0
2,1.0,img_0023,face_person,tv host,0.0,0.0,1,1,0.4837986905541119,13,1
2,2.0,img_0030,landmark_place,politician,0.0,0.0,1,1,0.34563900481438,13,1
2,3.0,img_0069,face_person,tv host,0.0,0.0,0,0,0.5383343125314521,2,0
2,4.0,img_0085,scene_with_people,couple,0.0,0.0,0,0,0.5014425744866652,1,0
3,0.0,img_0087,animal,big cat,0.0,0.0,1,0,0.1600149214068344,1,0
3,1.0,img_0020,face_person,scientist,1.0,1.0,1,0,1.0547729138888375,13,3
3,2.0,img_0018,object,phone or computer,0.0,0.0,1,1,0.338966519903235,15,1
3,3.0,img_0039,face_person,politician,0.0,0.0,0,0,0.8161707825603035,4,1
3,4.0,img_0059,face_person,politician,0.0,0.0,1,0,0.4631303930618108,11,1
4,0.0,img_0110,face_person,fictional movie character,1.0,1.0,4,2,5.172212791624404,2,0
4,1.0,img_0154,face_person,musician,1.0,1.0,4,2,2.377390661299383,1,0
4,2.0,img_0122,face_person,fictional movie character,2.0,1.0,2,0,4.209337645283068,4,0
4,3.0,img_0147,face_person,fictional movie character,1.0,1.0,3,1,3.901694638725257,1,0
4,4.0,img_0146,face_person,scientist,1.0,1.0,2,2,1.6057977812879378,1,0
5,0.0,img_0168,cartoon_art,fictional movie character,1.0,1.0,2,0,1.025694024727435,1,0
5,1.0,img_0054,face_person,actor,0.0,0.0,0,0,0.930319235152634,12,1
5,2.0,img_0138,animal,bird,0.0,0.0,1,0,0.3556479652998719,5,0
5,3.0,img_0065,face_person,scientist,1.0,1.0,0,0,1.10243465864352,5,0
5,4.0,img_0173,object,painting or artwork,0.0,0.0,1,1,0.3099540274441403,1,0
