subject,metric,n_images,n_memoranda,mean_rank_memoranda,mean_pct_rank,n_memoranda_in_top5,n_memoranda_in_top10,auc
1,n_concept_pref,63,5,27.2,0.4317460317460317,1,1,0.5827586206896552
1,n_concept_pref_mtl,63,5,27.2,0.4317460317460317,1,1,0.5827586206896552
1,z_max,63,5,32.4,0.5142857142857142,0,1,0.49310344827586206
1,z_max_mtl,63,5,35.9,0.5698412698412698,1,1,0.43275862068965515
1,n_units_pref,63,5,36.8,0.584126984126984,0,0,0.41724137931034483
2,n_concept_pref,63,5,26.2,0.4158730158730159,1,1,0.6
2,n_concept_pref_mtl,63,5,26.2,0.4158730158730159,1,1,0.6
2,z_max,63,5,31.1,0.4936507936507937,1,1,0.5155172413793103
2,z_max_mtl,63,5,26.1,0.4142857142857143,1,1,0.6017241379310345
2,n_units_pref,63,5,19.7,0.3126984126984127,2,2,0.7120689655172414
3,n_concept_pref,63,5,27.2,0.4317460317460317,1,1,0.5827586206896552
3,n_concept_pref_mtl,63,5,26.2,0.4158730158730159,1,1,0.6
3,z_max,63,5,30.2,0.4793650793650793,1,2,0.5310344827586206
3,z_max_mtl,63,5,23.9,0.37936507936507935,2,2,0.6396551724137931
3,n_units_pref,63,5,26.5,0.42063492063492064,0,1,0.5948275862068966
4,n_concept_pref,63,5,7.0,0.11111111111111109,1,5,0.9310344827586207
4,n_concept_pref_mtl,63,5,6.5,0.10317460317460317,0,5,0.9396551724137931
4,z_max,63,5,4.8,0.07619047619047618,3,4,0.9689655172413794
4,z_max_mtl,63,5,4.6,0.073015873015873,3,4,0.9724137931034482
4,n_units_pref,63,5,11.8,0.1873015873015873,1,2,0.8482758620689655
5,n_concept_pref,63,5,20.9,0.33174603174603173,2,2,0.6913793103448276
5,n_concept_pref_mtl,63,5,20.4,0.3238095238095238,2,2,0.7
5,z_max,63,5,22.5,0.3571428571428571,2,3,0.6637931034482759
5,z_max_mtl,63,5,19.2,0.30476190476190473,2,3,0.7206896551724138
5,n_units_pref,63,5,25.9,0.4111111111111111,0,1,0.6051724137931035
6,n_concept_pref,54,5,27.5,0.5092592592592593,0,0,0.5
6,n_concept_pref_mtl,54,5,27.5,0.5092592592592593,0,0,0.5
6,z_max,54,5,13.5,0.25,2,2,0.7857142857142857
6,z_max_mtl,54,5,,,0,0,
6,n_units_pref,54,5,25.8,0.47777777777777775,1,1,0.5346938775510204
7,n_concept_pref,54,5,20.1,0.3722222222222221,2,2,0.6510204081632653
7,n_concept_pref_mtl,54,5,20.1,0.3722222222222221,2,2,0.6510204081632653
7,z_max,54,5,21.2,0.39259259259259266,1,3,0.6285714285714286
7,z_max_mtl,54,5,20.3,0.37592592592592594,1,3,0.6469387755102041
7,n_units_pref,54,5,24.9,0.4611111111111111,0,2,0.5530612244897959
8,n_concept_pref,54,5,24.2,0.4481481481481482,1,1,0.5673469387755102
8,n_concept_pref_mtl,54,5,29.0,0.5370370370370371,0,0,0.46938775510204084
8,z_max,54,5,14.6,0.2703703703703703,1,1,0.763265306122449
8,z_max_mtl,54,5,10.4,0.1925925925925926,1,3,0.8489795918367347
8,n_units_pref,54,5,18.9,0.35,1,2,0.6755102040816326
9,n_concept_pref,54,5,18.7,0.34629629629629627,2,2,0.6795918367346939
9,n_concept_pref_mtl,54,5,27.5,0.5092592592592593,0,0,0.5
9,z_max,54,5,16.3,0.30185185185185187,1,3,0.7285714285714285
9,z_max_mtl,54,5,38.5,0.712962962962963,0,0,0.2755102040816326
9,n_units_pref,54,5,25.0,0.46296296296296297,0,1,0.5510204081632653
10,n_concept_pref,63,5,27.7,0.4396825396825396,1,1,0.5741379310344827
10,n_concept_pref_mtl,63,5,27.7,0.4396825396825396,1,1,0.5741379310344827
10,z_max,63,5,30.2,0.4793650793650793,1,1,0.5310344827586206
10,z_max_mtl,63,5,27.0,0.42857142857142855,1,2,0.5862068965517241
10,n_units_pref,63,5,30.2,0.4793650793650793,0,0,0.5310344827586206
11,n_concept_pref,63,5,12.8,0.20317460317460317,1,4,0.8310344827586207
11,n_concept_pref_mtl,63,5,11.6,0.18412698412698414,1,4,0.8517241379310345
11,z_max,63,5,9.7,0.15396825396825392,3,3,0.8844827586206897
11,z_max_mtl,63,5,17.4,0.2761904761904762,2,3,0.7517241379310344
11,n_units_pref,63,5,28.6,0.45396825396825397,1,2,0.5586206896551724
12,n_concept_pref,63,5,14.6,0.23174603174603173,3,3,0.8
12,n_concept_pref_mtl,63,5,20.4,0.3238095238095238,2,2,0.7
12,z_max,63,5,10.0,0.15873015873015872,4,4,0.8793103448275862
12,z_max_mtl,63,5,7.7,0.12222222222222223,4,4,0.9189655172413793
12,n_units_pref,63,5,20.0,0.31746031746031744,1,3,0.7068965517241379
13,n_concept_pref,63,5,15.6,0.24761904761904763,1,2,0.7827586206896552
13,n_concept_pref_mtl,63,5,15.3,0.24285714285714283,1,2,0.7879310344827586
13,z_max,63,5,17.5,0.2777777777777778,1,2,0.75
13,z_max_mtl,63,5,16.9,0.2682539682539683,1,2,0.7603448275862069
13,n_units_pref,63,5,20.8,0.33015873015873015,1,2,0.6931034482758621
14,n_concept_pref,63,5,6.4,0.10158730158730159,3,3,0.9413793103448276
14,n_concept_pref_mtl,63,5,6.4,0.10158730158730159,3,3,0.9413793103448276
14,z_max,63,5,12.8,0.20317460317460317,2,3,0.8310344827586207
14,z_max_mtl,63,5,12.6,0.2,2,3,0.8344827586206897
14,n_units_pref,63,5,11.6,0.18412698412698414,2,2,0.8517241379310345
15,n_concept_pref,63,5,33.0,0.5238095238095238,0,0,0.4827586206896552
15,n_concept_pref_mtl,63,5,33.0,0.5238095238095238,0,0,0.4827586206896552
15,z_max,63,5,27.6,0.43809523809523804,0,0,0.5758620689655173
15,z_max_mtl,63,5,25.4,0.4031746031746032,1,2,0.6137931034482759
15,n_units_pref,63,5,33.7,0.534920634920635,0,0,0.4706896551724138
16,n_concept_pref,54,5,9.4,0.17407407407407408,4,4,0.8693877551020408
16,n_concept_pref_mtl,54,5,9.4,0.17407407407407408,4,4,0.8693877551020408
16,z_max,54,5,8.2,0.15185185185185185,3,4,0.8938775510204081
16,z_max_mtl,54,5,8.2,0.15185185185185185,3,4,0.8938775510204081
16,n_units_pref,54,5,9.4,0.17407407407407408,3,3,0.8693877551020408
17,n_concept_pref,63,5,32.5,0.5158730158730159,0,0,0.49137931034482757
17,n_concept_pref_mtl,63,5,32.0,0.5079365079365079,0,0,0.5
17,z_max,63,5,26.3,0.4174603174603174,0,0,0.5982758620689655
17,z_max_mtl,63,5,17.5,0.2777777777777778,0,2,0.75
17,n_units_pref,63,5,23.1,0.36666666666666664,2,2,0.653448275862069
18,n_concept_pref,63,5,29.0,0.4603174603174603,1,1,0.5517241379310345
18,n_concept_pref_mtl,63,5,29.0,0.4603174603174603,1,1,0.5517241379310345
18,z_max,63,5,25.8,0.4095238095238095,2,2,0.6068965517241379
18,z_max_mtl,63,5,21.2,0.3365079365079365,2,2,0.6862068965517242
18,n_units_pref,63,5,23.4,0.37142857142857144,2,2,0.6482758620689655
20,n_concept_pref,63,5,32.0,0.5079365079365079,0,0,0.5
20,n_concept_pref_mtl,63,5,32.0,0.5079365079365079,0,0,0.5
20,z_max,63,5,24.1,0.38253968253968257,1,2,0.6362068965517241
20,z_max_mtl,63,5,33.4,0.5301587301587302,1,2,0.47586206896551725
20,n_units_pref,63,5,35.5,0.5634920634920635,0,0,0.4396551724137931
21,n_concept_pref,63,5,14.6,0.23174603174603176,3,3,0.8
21,n_concept_pref_mtl,63,5,14.6,0.23174603174603176,3,3,0.8
21,z_max,63,5,7.8,0.12380952380952381,3,3,0.9172413793103448
21,z_max_mtl,63,5,14.8,0.23492063492063492,3,3,0.7965517241379311
21,n_units_pref,63,5,18.0,0.2857142857142857,2,3,0.7413793103448276
