region,space,count,mean,sem,p
MTL,alexnet conv1,19,-0.01118237625038595,0.013177793137548495,0.40726036233322627
MTL,clip ln_post,19,0.012461089337052113,0.009802378999071012,0.21982895153914628
MTL,dinov2 norm,19,0.03623937727633607,0.017113326755232403,0.0483890472728319
MTL,resnet50 avgpool,19,0.012053677881049754,0.00880182048336978,0.187702504974143
MTL,vggface2 identity,19,0.016755754549528053,0.014314065420471232,0.257032689096723
MTL_concept,alexnet conv1,14,-0.019214402623193887,0.025282307117853356,0.46081945134233104
MTL_concept,clip ln_post,14,0.0012043088482959297,0.020834989336196805,0.9547851950971551
MTL_concept,dinov2 norm,14,0.02297192820424142,0.012846074947236292,0.09705455602757398
MTL_concept,resnet50 avgpool,14,0.0023337238903534388,0.012786117958525352,0.8579901173648388
MTL_concept,vggface2 identity,14,0.04560668140051039,0.017564187684406023,0.02214956006686934
