subject,region,n_face_images,space,rho
1,MTL,45,vggface2 identity,0.011530158657132564
1,MTL,45,clip ln_post,0.04122729469475054
1,MTL,45,resnet50 avgpool,0.02981356830774083
1,MTL,45,dinov2 norm,0.0417255003954919
1,MTL,45,alexnet conv1,0.04168864573884883
1,MTL_concept,45,vggface2 identity,0.0001985884728342378
1,MTL_concept,45,clip ln_post,0.050652972069890154
1,MTL_concept,45,resnet50 avgpool,0.020135053147228448
1,MTL_concept,45,dinov2 norm,0.06238931274320556
1,MTL_concept,45,alexnet conv1,-0.006107107238115432
2,MTL,46,vggface2 identity,0.011793622616934367
2,MTL,46,clip ln_post,0.010130997920082103
2,MTL,46,resnet50 avgpool,0.0041804866966754116
2,MTL,46,dinov2 norm,-0.007390424411701009
2,MTL,46,alexnet conv1,0.04581499456615091
3,MTL,43,vggface2 identity,0.03852066670999605
3,MTL,43,clip ln_post,-1.0022905680448384e-05
3,MTL,43,resnet50 avgpool,0.04399990404086399
3,MTL,43,dinov2 norm,0.061479688573489864
3,MTL,43,alexnet conv1,-0.0014732367557650288
4,MTL,28,vggface2 identity,0.0461004335992963
4,MTL,28,clip ln_post,0.05387347112394878
4,MTL,28,resnet50 avgpool,0.008851842260995205
4,MTL,28,dinov2 norm,0.059024538780702906
4,MTL,28,alexnet conv1,0.08204659401092847
4,MTL_concept,28,vggface2 identity,0.02932302586565165
4,MTL_concept,28,clip ln_post,-0.023525186385708628
4,MTL_concept,28,resnet50 avgpool,0.03910481091811271
4,MTL_concept,28,dinov2 norm,0.008889391020225339
4,MTL_concept,28,alexnet conv1,0.11910633064304249
5,MTL,25,vggface2 identity,0.00715696841076012
5,MTL,25,clip ln_post,-0.03506883409815664
5,MTL,25,resnet50 avgpool,0.012548139423771375
5,MTL,25,dinov2 norm,-0.018327759197324413
5,MTL,25,alexnet conv1,-0.04667651862798475
5,MTL_concept,25,vggface2 identity,0.08879177771869326
5,MTL_concept,25,clip ln_post,0.016549317663158432
5,MTL_concept,25,resnet50 avgpool,-0.015982977036186556
5,MTL_concept,25,dinov2 norm,-0.016750766017752376
5,MTL_concept,25,alexnet conv1,-0.08037814187799529
7,MTL,9,vggface2 identity,0.24504504504504507
7,MTL,9,clip ln_post,0.031145431145431144
7,MTL,9,resnet50 avgpool,-0.025482625482625483
7,MTL,9,dinov2 norm,0.09472329472329473
7,MTL,9,alexnet conv1,-0.14671814671814673
7,MTL_concept,9,vggface2 identity,0.055083655083655085
7,MTL_concept,9,clip ln_post,-0.061003861003861015
7,MTL_concept,9,resnet50 avgpool,-0.03783783783783784
7,MTL_concept,9,dinov2 norm,0.023166023166023165
7,MTL_concept,9,alexnet conv1,-0.2918918918918919
8,MTL,9,vggface2 identity,0.007464607464607464
8,MTL,9,clip ln_post,0.029858429858429857
8,MTL,9,resnet50 avgpool,0.0833976833976834
8,MTL,9,dinov2 norm,0.2839124839124839
8,MTL,9,alexnet conv1,-0.06357786357786357
8,MTL_concept,9,vggface2 identity,0.24916344916344915
8,MTL_concept,9,clip ln_post,-0.15032175032175035
8,MTL_concept,9,resnet50 avgpool,-0.07027027027027027
8,MTL_concept,9,dinov2 norm,-0.010553410553410554
