reference,region,mean_rho,null_mean,null_sd,z,p_perm
alexnet conv1,MTL,0.014066363716379876,0.0002750589874222003,0.005188211557566037,2.6582001477649144,0.002997002997002997
alexnet conv1,MFC,0.006102745931305131,-0.0001797343941092064,0.004568032709557501,1.375314216176642,0.08791208791208792
alexnet conv1,MTL_concept,0.030790322996258956,0.00010088333402243785,0.005496836207050151,5.583109720983636,0.000999000999000999
alexnet conv1,amygdala,0.0123219535174339,2.4555714872941047e-05,0.0050563571458166826,2.4320666930608463,0.008991008991008992
alexnet conv1,hippocampus,0.005112061403521388,0.0001474000606548312,0.005154742644466086,0.9631249676831893,0.17082917082917082
alexnet conv1,MTL-MFC,0.007963617785074744,0.0004547933815314067,0.006829331524807516,1.0994962502944199,0.14585414585414586
alexnet conv4,MTL,0.04645053297612793,-0.000137209004841647,0.005028150586856661,9.265383201280338,0.000999000999000999
alexnet conv4,MFC,0.016509800325240007,1.418927230357317e-06,0.004992001371960661,3.306966518626137,0.000999000999000999
alexnet conv4,MTL_concept,0.06776006772879263,0.0003138095702039539,0.006154002809676854,10.959737953406991,0.000999000999000999
alexnet conv4,amygdala,0.047137110018532505,-9.089328092583282e-05,0.0051515916635950345,9.167652714636997,0.000999000999000999
alexnet conv4,hippocampus,0.007462783504577201,-4.949645733212188e-06,0.005669052888699836,1.3172805576035285,0.0989010989010989
alexnet conv4,MTL-MFC,0.029940732650887925,-0.00013862793207200435,0.006997011307206231,4.298886947914627,0.000999000999000999
resnet50 avgpool,MTL,0.05371047669186539,-0.00012779108168979735,0.005094076262476668,10.568798934191806,0.000999000999000999
resnet50 avgpool,MFC,0.012987290617709282,-4.4019610113669547e-05,0.004699340285250575,2.7730084302946163,0.006993006993006993
resnet50 avgpool,MTL_concept,0.0765734807720427,0.00017467798103469972,0.005835509665084998,13.092053166858255,0.000999000999000999
resnet50 avgpool,amygdala,0.04909222524556094,-0.00014404816751213697,0.0050306870301355545,9.78718674370534,0.000999000999000999
resnet50 avgpool,hippocampus,0.01417617488116981,-0.00018006311917023827,0.00547354919813636,2.6228389442864746,0.01098901098901099
resnet50 avgpool,MTL-MFC,0.040723186074156106,-8.377147157612783e-05,0.0069892394704728,5.838540476131628,0.000999000999000999
vit ln,MTL,0.05576700752980355,-0.00014456012727255324,0.005230532618582719,10.689459704053249,0.000999000999000999
vit ln,MFC,0.015220367293790303,-1.9062843357676932e-05,0.004451052350630065,3.423781374979958,0.000999000999000999
vit ln,MTL_concept,0.072216663470111,-0.0001231903656647277,0.005658925989217331,12.78331859678215,0.000999000999000999
vit ln,amygdala,0.050083316634567915,0.0002945788854110003,0.005045560498130024,9.867830891654062,0.000999000999000999
vit ln,hippocampus,0.01338590174795931,7.539286759748315e-05,0.004889544866123182,2.722238826886039,0.006993006993006993
vit ln,MTL-MFC,0.040546640236013246,-0.0001254972839148763,0.00671207351008801,6.05954887991011,0.000999000999000999
dinov2 norm,MTL,0.049010818780277694,7.714904258151614e-05,0.005202833787202283,9.40519565665565,0.000999000999000999
dinov2 norm,MFC,0.013946725944805304,-6.513410057450126e-05,0.004538830200362801,3.087108225432139,0.002997002997002997
dinov2 norm,MTL_concept,0.07118341635993565,-1.0996446567730571e-05,0.005567107536741856,12.788402655532291,0.000999000999000999
dinov2 norm,amygdala,0.04293629964365233,-3.116257007131904e-05,0.004983838168124202,8.621359836388022,0.000999000999000999
dinov2 norm,hippocampus,0.011795324369063725,0.0002605842258979548,0.005388356066843684,2.14067890096254,0.025974025974025976
dinov2 norm,MTL-MFC,0.03506409283547239,0.00014228314315601736,0.007045822667021238,4.956384987628459,0.000999000999000999
clip ln_post,MTL,0.05977226484566619,0.00010700378304997108,0.005282502631701075,11.294885250895327,0.000999000999000999
clip ln_post,MFC,0.016139278372440724,2.8181452858863006e-05,0.00479190335558556,3.3621498022914778,0.002997002997002997
clip ln_post,MTL_concept,0.08382475305341588,0.0004132261829391209,0.005925324339335137,14.077124237191734,0.000999000999000999
clip ln_post,amygdala,0.05611066291920284,-0.0003153464585637105,0.0050378031695276675,11.200518852954097,0.000999000999000999
clip ln_post,hippocampus,0.013300125117367176,-0.00021581467672150524,0.00556405131613514,2.4291544103653275,0.014985014985014986
clip ln_post,MTL-MFC,0.043632986473225464,7.882233019110802e-05,0.007081864842651946,6.1500981889290935,0.000999000999000999
category,MTL,0.051819966724659945,0.00033756953112855966,0.004985546545739434,10.326329665405972,0.000999000999000999
category,MFC,0.007034033921667737,-0.00012802685584576424,0.004810395051198234,1.4888716417853216,0.07492507492507493
category,MTL_concept,0.07360845304171283,-0.00031273991952731717,0.005818362351801829,12.704810819894753,0.000999000999000999
category,amygdala,0.048643575557318734,-0.00012812162083766196,0.00499241930763924,9.7691508210313,0.000999000999000999
category,hippocampus,0.007824725713321871,0.000263439186803331,0.005336792373858992,1.4168223151336565,0.08191808191808192
category,MTL-MFC,0.04478593280299221,0.00046559638697432393,0.006932485609574938,6.393137889071704,0.000999000999000999
low-level,MTL,0.010362582788595249,-0.0002721309306801971,0.005041430128347403,2.1094636737059247,0.02097902097902098
low-level,MFC,0.0020933794687039366,-0.00010541763284809173,0.00353587992078152,0.6218528770247486,0.2647352647352647
low-level,MTL_concept,0.011111090332262702,-0.0002466068451074974,0.004533376291229937,2.505350636641896,0.00999000999000999
low-level,amygdala,0.008057217308309453,-0.00010913483703893594,0.003938556651850806,2.073437776123103,0.02197802197802198
low-level,hippocampus,0.0019106426856017413,-0.00026618727737831414,0.0041070065402250885,0.5300283653458103,0.27972027972027974
low-level,MTL-MFC,0.008269203319891312,-0.00016671329783210541,0.006254457680786388,1.3487846665968246,0.08791208791208792
