subject,hemisphere,n_units,reference,rho
1,R,8,clip ln_post,0.0342209573946585
1,R,8,resnet50 avgpool,0.07156371493353708
1,R,8,alexnet conv1,0.02353847000051318
1,R,8,category,0.016092326633368865
2,L,3,clip ln_post,-0.0011361707343466667
2,L,3,resnet50 avgpool,0.0043257843477727724
2,L,3,alexnet conv1,-0.0015966988351601222
2,L,3,category,-0.0009616005667028372
2,R,8,clip ln_post,0.0011034657591477133
2,R,8,resnet50 avgpool,-0.006398253675023128
2,R,8,alexnet conv1,0.0005000899281340439
2,R,8,category,-0.0056656464430096054
3,R,5,clip ln_post,0.027283895270762172
3,R,5,resnet50 avgpool,0.014725789942879782
3,R,5,alexnet conv1,0.012320608644127313
3,R,5,category,-0.003182597806469119
4,L,33,clip ln_post,0.01054366454233681
4,L,33,resnet50 avgpool,-0.0048570422969207395
4,L,33,alexnet conv1,-0.009847122623183826
4,L,33,category,0.022879201114996535
4,R,10,clip ln_post,0.10743571961980067
4,R,10,resnet50 avgpool,0.09427720255818607
4,R,10,alexnet conv1,0.03060287715386452
4,R,10,category,0.12122773617868943
5,R,12,clip ln_post,-0.0021943115519350957
5,R,12,resnet50 avgpool,-0.043002917161445386
5,R,12,alexnet conv1,0.009605701732375679
5,R,12,category,0.021602466832085474
7,L,3,clip ln_post,0.0026743994910960233
7,L,3,resnet50 avgpool,-0.0023521493322273333
7,L,3,alexnet conv1,-0.005348872693660298
7,L,3,category,-0.03544502167186345
7,R,18,clip ln_post,0.06588460846392752
7,R,18,resnet50 avgpool,0.06222195112782231
7,R,18,alexnet conv1,0.043232341250682135
7,R,18,category,0.13650657059815907
8,R,25,clip ln_post,0.003059435440588597
8,R,25,resnet50 avgpool,0.049583018319183596
8,R,25,alexnet conv1,0.0028884248342454307
8,R,25,category,0.016340339280269803
9,L,14,clip ln_post,-0.028616642952049298
9,L,14,resnet50 avgpool,-0.005388672791434465
9,L,14,alexnet conv1,-0.04479789093470974
9,L,14,category,-0.020302460176158388
10,L,24,clip ln_post,0.004239145611072755
10,L,24,resnet50 avgpool,0.021391682271350118
10,L,24,alexnet conv1,-0.007278381147702077
10,L,24,category,0.013522747551278039
10,R,12,clip ln_post,-0.027101409977259707
10,R,12,resnet50 avgpool,-0.017926773368498353
10,R,12,alexnet conv1,-0.009496213778119073
10,R,12,category,-0.025138416288934824
11,L,36,clip ln_post,0.03737445565964349
11,L,36,resnet50 avgpool,0.04835283889767852
11,L,36,alexnet conv1,0.02576311522191024
11,L,36,category,0.027124395436923857
11,R,11,clip ln_post,0.03293952336851769
11,R,11,resnet50 avgpool,0.0354040864900905
11,R,11,alexnet conv1,-0.012972536066426916
11,R,11,category,0.04972260583889596
12,R,4,clip ln_post,0.02274070738104298
12,R,4,resnet50 avgpool,0.02024509534044681
12,R,4,alexnet conv1,0.00634441503630362
12,R,4,category,0.02784219603983075
13,L,31,clip ln_post,0.07706867345589283
13,L,31,resnet50 avgpool,0.08128396452753953
13,L,31,alexnet conv1,0.037717406547876475
13,L,31,category,0.030711127695949678
13,R,28,clip ln_post,0.3326887017787445
13,R,28,resnet50 avgpool,0.25652526041076673
13,R,28,alexnet conv1,0.08712216168676416
13,R,28,category,0.2749312784223519
14,L,13,clip ln_post,0.03603074015029829
14,L,13,resnet50 avgpool,0.026485647763638865
14,L,13,alexnet conv1,-0.00804706661721006
14,L,13,category,0.0013668784779839417
14,R,28,clip ln_post,0.16182927601253758
14,R,28,resnet50 avgpool,0.13020639821275762
14,R,28,alexnet conv1,0.02089183075973654
14,R,28,category,0.14195241905421008
15,L,15,clip ln_post,-0.011520883921130579
15,L,15,resnet50 avgpool,-0.005488108273679588
15,L,15,alexnet conv1,-0.007176582126230491
15,L,15,category,-0.01281373303196317
16,L,17,clip ln_post,0.024180068435365156
16,L,17,resnet50 avgpool,0.02888626312258651
16,L,17,alexnet conv1,0.018475939225385835
16,L,17,category,0.0034587191509692274
16,R,17,clip ln_post,0.10791173854312887
16,R,17,resnet50 avgpool,0.09905738593416469
16,R,17,alexnet conv1,0.017601299418522984
16,R,17,category,0.08926666516611305
18,L,24,clip ln_post,0.05648778455559431
18,L,24,resnet50 avgpool,0.03318978016888499
18,L,24,alexnet conv1,-0.01106760739897448
18,L,24,category,0.0382078935799227
18,R,3,clip ln_post,0.0048117705437136435
18,R,3,resnet50 avgpool,0.003801731842139809
18,R,3,alexnet conv1,0.04807660597303749
18,R,3,category,0.03559729776227116
21,L,5,clip ln_post,0.018953702591809243
21,L,5,resnet50 avgpool,0.019171075632499056
21,L,5,alexnet conv1,-0.025648622131646287
21,L,5,category,0.00868944903172588
21,R,5,clip ln_post,0.017028427973995435
21,R,5,resnet50 avgpool,-0.009425321914496517
21,R,5,alexnet conv1,0.03583349719636349
21,R,5,category,-0.0038794459491274967
