subset,model,last_layer,n,rho_last_mean,rho_last_median,p_last_vs0,rho_first_mean,last_minus_first,p_depth_paired
all sessions,alexnet,logits,18,0.04936143201088634,0.034543173557099155,0.009118963047646499,0.01523902649145234,0.034122405519434,0.0024161093037319836
all sessions,vgg16,logits,18,0.05319791473454497,0.03568012365710075,0.006167950781750498,0.013362037514373294,0.03983587722017167,0.0005679445862474898
all sessions,resnet18,logits,18,0.05389764878762629,0.0385178167183695,0.010560377593143043,0.010725478748781145,0.043172170038845145,0.005890562568386374
all sessions,resnet50,logits,18,0.04740172077711381,0.031058785923280298,0.011991451377578746,0.008851615636367528,0.03855010514074628,0.016972023341487574
all sessions,convnext_tiny,logits,18,0.04926957290436615,0.04371450617388935,0.0074828729376099365,0.019089487723744095,0.030180085180622054,0.0017601460311349674
all sessions,vit_b_16,ln,18,0.044538922863833014,0.0298266718984272,0.008696276186487446,0.02459469579611823,0.01994422706771479,0.0039433441252654244
all sessions,dinov2_small,norm,18,0.0326876046474005,0.022861205990146752,0.01352697428475193,0.022101131278485203,0.010586473368915293,0.07396503460222582
all sessions,clip_vitb32,ln_post,18,0.060156574297556324,0.03402373135540925,0.01767434413728265,0.02696749981971506,0.03318907447784126,0.004664061051078504
without sub-13,alexnet,logits,17,0.03637852175873332,0.0344057237543297,0.005277238343829503,0.008087757256337634,0.028290764502395687,0.002936211272616259
without sub-13,vgg16,logits,17,0.040688705893799276,0.0322806721404803,0.004314921701219798,0.004888188442582346,0.03580051745121692,0.0011157304291350672
without sub-13,resnet18,logits,17,0.040582793810031305,0.0352172420404773,0.01056913897561941,0.004968887169007695,0.0356139066410236,0.009773187708365463
without sub-13,resnet50,logits,17,0.03501464004149605,0.0299514330082955,0.010703774651601928,0.006196685521873837,0.028817954519622203,0.02336909447559505
without sub-13,convnext_tiny,logits,17,0.03672934833775226,0.0427807602256848,0.004001994263077194,0.011790379718130574,0.024938968619621672,0.0016756768744631266
without sub-13,vit_b_16,ln,17,0.03307458369539782,0.0269768582873079,0.005461235689791056,0.014288393492709705,0.018786190202688118,0.008192660881307125
without sub-13,dinov2_small,norm,17,0.024154470171920288,0.0166797711984956,0.013877241726691247,0.01156136481160359,0.012593105360316699,0.035958744398258226
without sub-13,clip_vitb32,ln_post,17,0.04198763233800286,0.0312182801317822,0.011838875443788983,0.01507407801439704,0.026913554323605822,0.006104604883366687
without sub-14,alexnet,logits,17,0.04190564685808308,0.0344057237543297,0.018261604845853294,0.013915330192579334,0.027990316665503747,0.0025026804368564535
without sub-14,vgg16,logits,17,0.044821149498827546,0.0322806721404803,0.011552307427146025,0.011435192610583752,0.03338595688824379,0.0003079785615164624
without sub-14,resnet18,logits,17,0.04421566809915265,0.0352172420404773,0.0195909394344044,0.009630368788817081,0.03458529931033556,0.007694311497207773
without sub-14,resnet50,logits,17,0.03899119212390939,0.0299514330082955,0.022891833584587528,0.007772410628878089,0.0312187814950313,0.032695673209169517
without sub-14,convnext_tiny,logits,17,0.0418292340647519,0.0427807602256848,0.01474801476314445,0.016627789513808625,0.025201444550943277,0.0020061501515491317
without sub-14,vit_b_16,ln,17,0.03845501071171237,0.0269768582873079,0.017875208434357547,0.019657813834103095,0.018797196877609283,0.008181425359835046
without sub-14,dinov2_small,norm,17,0.028953101463688485,0.0166797711984956,0.02757789668060614,0.018418032714230603,0.010535068749457881,0.09297001600030151
without sub-14,clip_vitb32,ln_post,17,0.049622858390424504,0.0312182801317822,0.03520018597357407,0.02151125005930148,0.02811160833112303,0.008530988588515245
without sub-13/14,alexnet,logits,16,0.0276453181431203,0.0263585419561655,0.0024138887028522724,0.0062343756115904,0.0214109425315299,0.00025220909980930734
without sub-13/14,vgg16,logits,16,0.031006567278302893,0.0263796723951982,0.001473177945305575,0.0023113001653190255,0.02869526711298387,0.00021995489995269517
without sub-13/14,resnet18,logits,16,0.029463510892428373,0.0277352564061423,0.005501151191900709,0.0034455458628100378,0.02601796502961833,0.005049284936192821
without sub-13/14,resnet50,logits,16,0.025304260801490244,0.028608038072515,0.005123241918380912,0.004884097069260452,0.020420163732229792,0.027440399419568155
without sub-13/14,convnext_tiny,logits,16,0.02804022428524874,0.03712501184192635,0.0012484000667462916,0.008718631119723295,0.019321593165525452,0.00010880316125859709
without sub-13/14,vit_b_16,ln,16,0.025893905835742446,0.025205157772999802,0.004941999390093884,0.008398812514105593,0.01749509332163685,0.016545976744740485
without sub-13/14,dinov2_small,norm,16,0.019653239634508754,0.0134326630362403,0.026381626372580243,0.006989337182902969,0.012663902451605787,0.047083972205687205
without sub-13/14,clip_vitb32,ln_post,16,0.029660000314203225,0.02697949375641255,0.003867872227130953,0.008533473781125237,0.021126526533077984,0.0063390522764488425
