neural,reference,n_subjects,n_pairs,rho_pooled,p_perm,null_sd
enc,alexnet conv1,19,190,-0.09218500797448166,0.9260369815092454,0.06381050531503406
enc,resnet50 avgpool,19,190,-0.025199362041467308,0.6401799100449775,0.0648159420530781
enc,clip ln_post,19,190,-0.060925039872408306,0.8015992003998001,0.07458854673729075
enc,dinov2 norm,19,190,0.030940988835725682,0.29985007496251875,0.06386777604443138
enc,category,19,190,-0.06187610915069984,0.8710644677661169,0.053694219030225074
maint,alexnet conv1,19,190,0.01754385964912281,0.40429785107446276,0.06652520962989343
maint,resnet50 avgpool,19,190,0.01626794258373206,0.41379310344827586,0.07156846633471584
maint,clip ln_post,19,190,-0.011802232854864435,0.5572213893053474,0.07551305548144129
maint,dinov2 norm,19,190,0.01754385964912281,0.3938030984507746,0.06842565999142605
maint,category,19,190,0.060437926204197676,0.15442278860569716,0.05887338486057291
maint,encoding RDM,19,190,0.1885167464114833,0.022988505747126436,0.08966451543064075
