region,model,layer,view,rho_mean,rho_sem,rho_p,rho_partial_cat_low_mean,rho_partial_cat_low_sem,rho_partial_cat_low_p,rho_partial_cat_mean,rho_partial_cat_sem,rho_partial_cat_p,rho_cat_mean,rho_cat_sem,rho_cat_p,rho_cat_partial_model_mean,rho_cat_partial_model_sem,rho_cat_partial_model_p,beta_model_mean,beta_model_sem,beta_model_p,beta_category_mean,beta_category_sem,beta_category_p,beta_lowlevel_mean,beta_lowlevel_sem,beta_lowlevel_p,r2_mean,r2_sem,r2_p,n_sessions
MFC,alexnet,conv1,gap,0.006102745931305132,0.006440287413892358,0.3558877705875966,0.003491210906534256,0.0073150886710515554,0.6389193812771514,0.0029296110151556796,0.006940623479079574,0.6779533866572668,0.0070340339216677355,0.006676815627027405,0.3060484998849086,0.005809246307677486,0.007109431520550762,0.4245446256837889,0.004205979075594807,0.008812802264769217,0.6389219971017228,0.006497782444440841,0.007513473813521494,0.3985183477102162,-0.0022358466564898387,0.004341897619542327,0.6128558733846197,0.0019849043129223495,0.00041753396444179903,0.00015860051311610378,19
MFC,alexnet,conv4,gap,0.016509800325240007,0.008203733515128842,0.05937830848841182,0.014877708880098744,0.006734819429327157,0.04037146022623178,0.014351719449290649,0.006732764847830327,0.047073190358957476,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.005050607033533392,0.004493740779441239,0.2758129875174656,0.02058433959356472,0.009163596140111368,0.03747130922547142,-0.006029955791600742,0.005597253807465561,0.2955704900152827,-0.003209583969525844,0.0031794973196345804,0.3261309150064403,0.0020464276876067957,0.0006193113946370982,0.003943172870664823,19
MFC,alexnet,fc7,gap,0.012791347436872715,0.007121255278858545,0.08926340316920679,0.009876381716955679,0.005530776309106546,0.09100455907682842,0.009671102437182078,0.00547413802263845,0.09423238280838807,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.002560489452954212,0.004723288981921859,0.5943985961919256,0.014162662140537737,0.007420528303488808,0.07239382992256942,-0.0026692489613772408,0.005951751156828014,0.6591578036883226,-0.0015839763141565193,0.00321224657692,0.6278998884531414,0.0016577786782272274,0.00042771534120008013,0.0011073366325281791,19
MFC,clip_vitb32,block5,cls,0.006766730454550061,0.0059294606139200234,0.26874056323231815,0.004772370164468275,0.005056820521199858,0.3577940172392575,0.004257961271759831,0.0048722185036713574,0.3936688995916846,0.0070340339216677355,0.006676815627027405,0.3060484998849086,0.004853026575723762,0.0057516380359707705,0.4098749064165105,0.005689211920809059,0.005852696501089605,0.343899851008173,0.005413642480845944,0.006127674967379388,0.3886278893380998,-0.0021274718856109554,0.003750154814765078,0.5775161543083183,0.0014927064734172836,0.0004158484659778698,0.0020953684370252634,19
MFC,clip_vitb32,embed,gap,0.013788026246126522,0.00822665042976566,0.1110169308044252,0.012270054844000719,0.006891360566783218,0.09187971925312113,0.011920307997673822,0.00694495342037545,0.10324845398038326,0.0070340339216677355,0.006676815627027405,0.3060484998849086,0.0017991541597990974,0.004994717585891427,0.7228811202949833,0.013360021564864705,0.00761493831079508,0.09636148769045666,0.0019207093686380429,0.005381037323744838,0.7252867560030896,-0.0006302832238460641,0.002997371682259859,0.8358121388403029,0.0020129802704317128,0.0006992804535184418,0.009995587971919784,19
MFC,clip_vitb32,ln_post,cls,0.016139278372440724,0.008102201566988546,0.06176801537088591,0.014921910711050175,0.006259073339681493,0.0283389251191702,0.014607104732060412,0.0062552662761630184,0.03131202001942649,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.0028311468041217285,0.004199133129301208,0.5087373707327714,0.018457728383577107,0.0076997412105943045,0.02758558472578426,-0.003424062481612566,0.004942965123257997,0.4973296297135462,-0.001196072340234228,0.0031355911683165405,0.7073344628370444,0.0019357437643259022,0.0006408738424193889,0.0073505083746371784,19
MFC,convnext_tiny,logits,gap,0.00473579053002677,0.005841738831883377,0.42813763114210623,0.00016022360689349607,0.005017787539125654,0.9748783808907321,6.847071385981075e-07,0.005022411871493326,0.9998927236929824,0.0070340339216677355,0.006676815627027405,0.3060484998849086,0.004624148071765835,0.0059996462546650165,0.45086184119287076,0.0006578523759527534,0.006177930769445802,0.9163759462581732,0.006186912348915749,0.0074017045854999994,0.4141829341760833,-0.00027630810025915266,0.003042616750014621,0.9286444092508925,0.0014633442950273338,0.000346917578844337,0.0005169734029098405,19
MFC,dinov2_small,norm,gap,0.013946725944805304,0.007666283669568188,0.08555212705398861,0.01247635623463739,0.006710682860944927,0.07942890008878012,0.012337832254704592,0.006700033577256465,0.08209566116678012,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.004846025557312744,0.005459450461644018,0.3864418918125142,0.018765202934142182,0.009871386901249325,0.0734401586806656,-0.006559929436951866,0.007709704037170279,0.406020586780654,-0.0016782746167356298,0.0030919901234112692,0.5939381969653046,0.0019759547105118705,0.00039706882556195835,9.771917342227886e-05,19
MFC,resnet50,avgpool,gap,0.01298729061770928,0.007370474890175259,0.09503110440531148,0.010532999434217061,0.0059725544654836114,0.09477161311223324,0.010449702267574662,0.005856916069655691,0.09126370772449964,0.0070340339216677355,0.006676815627027405,0.3060484998849086,-0.0031659923860706744,0.004839869467194854,0.5212870832116382,0.015454977867878618,0.008422788541083115,0.08310237182429511,-0.0036433677315257543,0.006521463141580432,0.5832686485320739,-0.002231036886184496,0.0032767342389788934,0.5046178040224116,0.0017625536086311017,0.00042129352528822497,0.0005581028612530364,19
MFC,resnet50,layer2,gap,0.004781510828073075,0.0046266719788002385,0.31507200456812107,0.00019910260559667897,0.004141236371920662,0.9621834733570209,0.0001619927829930445,0.004092962036898658,0.9688649498820758,0.0070340339216677355,0.006676815627027405,0.3060484998849086,0.006145179826691172,0.00627141141703981,0.34013676873968046,0.00015531153243158986,0.005749549934244133,0.9787467479750771,0.007745913211943962,0.007050005921804072,0.2863738830892379,-0.0005720775483359454,0.003816292828421008,0.882507277345024,0.0013190085455122276,0.0003271432597483657,0.0007822412776704189,19
