region,model,layer,view,n_pairs,rho,p_perm,null_sd
MTL,alexnet,conv1,gap,6886,0.02419003286967289,0.03980099502487562,0.012427760784508104
MFC,alexnet,conv1,gap,6886,0.015337511421306653,0.08955223880597014,0.010394943015756676
amygdala,alexnet,conv1,gap,5987,0.02604404635661758,0.004975124378109453,0.009252849900108709
hippocampus,alexnet,conv1,gap,6200,0.005386876377818314,0.35323383084577115,0.011672130915448529
MTL_concept,alexnet,conv1,gap,5681,0.03685416294801316,0.004975124378109453,0.012435565862877248
MTL,alexnet,conv2,gap,6886,0.06787912419168805,0.004975124378109453,0.012009617135479326
MFC,alexnet,conv2,gap,6886,0.02539137368547069,0.014925373134328358,0.011224729984207264
amygdala,alexnet,conv2,gap,5987,0.06817105265642653,0.004975124378109453,0.012045615099452582
hippocampus,alexnet,conv2,gap,6200,0.015132596070984812,0.13432835820895522,0.012625385148957391
MTL_concept,alexnet,conv2,gap,5681,0.08629313364150534,0.004975124378109453,0.012474510915828574
MTL,alexnet,conv3,gap,6886,0.07904991980621554,0.004975124378109453,0.01227012322693763
MFC,alexnet,conv3,gap,6886,0.025707304195112628,0.01990049751243781,0.01099558340676897
amygdala,alexnet,conv3,gap,5987,0.06974971568638329,0.004975124378109453,0.01291943637042047
hippocampus,alexnet,conv3,gap,6200,0.024062590287943896,0.009950248756218905,0.010782713159295182
MTL_concept,alexnet,conv3,gap,5681,0.09043399361491321,0.004975124378109453,0.013041936336236827
MTL,alexnet,conv4,gap,6886,0.10196970562845001,0.004975124378109453,0.011759365785548506
MFC,alexnet,conv4,gap,6886,0.031001367159973016,0.009950248756218905,0.011768780072870183
amygdala,alexnet,conv4,gap,5987,0.10974345983286084,0.004975124378109453,0.011833508344144102
hippocampus,alexnet,conv4,gap,6200,0.015227543039371785,0.12437810945273632,0.011633288528255762
MTL_concept,alexnet,conv4,gap,5681,0.11546048447648011,0.004975124378109453,0.013635673852074148
