bank,n_predictors,n_sessions,rho_reweighted,sem_reweighted,rho_best_single_cv,rho_clip_ln_post,p_reweighted_vs_best,p_reweighted_vs_clip
last layer of each model,8,19,0.0606122808515843,0.021496791735655524,0.059772264845666175,0.059772264845666175,0.312408447265625,0.312408447265625
"all layers, all models",51,19,0.060244573326248274,0.02147425583945953,0.059772264845666175,0.059772264845666175,0.37359619140625,0.37359619140625
all layers of clip_vitb32,5,19,0.057944188801491464,0.021731947631439968,0.059772264845666175,0.059772264845666175,0.8905677795410156,0.8905677795410156
all layers of resnet50,7,19,0.053019534443534945,0.01935629334338899,0.053710476691865405,0.059772264845666175,0.2753410339355469,0.3320655822753906
all layers of resnet18,7,19,0.049151235147448055,0.01961760455007173,0.04612527205902224,0.059772264845666175,0.2934989929199219,0.156402587890625
all layers of convnext_tiny,6,19,0.04707750698516701,0.014666533750318933,0.03586533232201641,0.059772264845666175,0.0289306640625,0.3524589538574219
all layers of vgg16,8,19,0.04654916077722756,0.017621867865477064,0.048039801429641295,0.059772264845666175,0.4180412292480469,0.1336212158203125
all layers of alexnet,8,19,0.044876903611674006,0.018275858139560276,0.04057421961158427,0.059772264845666175,0.1956329345703125,0.014068603515625
all layers of dinov2_small,5,19,0.041154284337798955,0.014079695205643263,0.042175033617664004,0.059772264845666175,0.8287849426269531,0.06628799438476562
all layers of vit_b_16,5,19,0.04003633321510854,0.01505864786251763,0.041273862547902974,0.059772264845666175,0.6225624084472656,0.060207366943359375
