subject,model,layer,view,metric,rho
1,alexnet,conv1,gap,correlation,0.020407154137466122
1,alexnet,conv1,gap,euclidean,0.022722397636640183
1,alexnet,conv1,rp,correlation,0.030766129644408592
1,alexnet,conv1,rp,euclidean,0.01683696017699218
1,alexnet,conv2,gap,correlation,0.03506974920412055
1,alexnet,conv2,gap,euclidean,0.020686489698718072
1,alexnet,conv2,rp,correlation,0.020010991259341068
1,alexnet,conv2,rp,euclidean,-0.0022612260480642035
1,alexnet,conv3,gap,correlation,0.03852635219089447
1,alexnet,conv3,gap,euclidean,0.03749944390957524
1,alexnet,conv3,rp,correlation,0.04133156258161739
1,alexnet,conv3,rp,euclidean,0.014678067976648175
1,alexnet,conv4,gap,correlation,0.039844679562654924
1,alexnet,conv4,gap,euclidean,0.03617455041796736
1,alexnet,conv4,rp,correlation,0.03336631632583286
1,alexnet,conv4,rp,euclidean,0.02420860245725727
1,alexnet,conv5,gap,correlation,0.038655438627502335
1,alexnet,conv5,gap,euclidean,0.02856168861219858
1,alexnet,conv5,rp,correlation,0.03810040980062529
1,alexnet,conv5,rp,euclidean,0.02692281345051673
1,alexnet,fc6,gap,correlation,0.03900176278731544
1,alexnet,fc6,gap,euclidean,0.029769240902676398
1,alexnet,fc6,rp,correlation,0.027296242991230887
1,alexnet,fc6,rp,euclidean,0.02883668273748664
1,alexnet,fc7,gap,correlation,0.03156911165257007
1,alexnet,fc7,gap,euclidean,0.026850929258673863
1,alexnet,fc7,rp,correlation,0.0314421983503278
1,alexnet,fc7,rp,euclidean,0.02710442240221424
1,alexnet,logits,gap,correlation,0.06684743503903728
1,alexnet,logits,gap,euclidean,0.05785062171424984
1,alexnet,logits,rp,correlation,0.06684743503903728
1,alexnet,logits,rp,euclidean,0.05785062171424984
1,vgg16,conv1_2,gap,correlation,0.015742273945118377
1,vgg16,conv1_2,gap,euclidean,0.014749890953438495
1,vgg16,conv1_2,rp,correlation,0.03813687947364437
1,vgg16,conv1_2,rp,euclidean,0.024811699598689584
1,vgg16,conv2_2,gap,correlation,0.046090812221163825
1,vgg16,conv2_2,gap,euclidean,0.025609808566483427
1,vgg16,conv2_2,rp,correlation,0.04801530231975151
1,vgg16,conv2_2,rp,euclidean,0.01258252852292821
1,vgg16,conv3_3,gap,correlation,0.04521411923511754
1,vgg16,conv3_3,gap,euclidean,0.03458927225663969
1,vgg16,conv3_3,rp,correlation,0.03354941054801597
1,vgg16,conv3_3,rp,euclidean,0.014538172250497562
1,vgg16,conv4_3,gap,correlation,0.04131076879481893
1,vgg16,conv4_3,gap,euclidean,0.03385363969366493
1,vgg16,conv4_3,rp,correlation,0.028580048295196874
1,vgg16,conv4_3,rp,euclidean,0.020927823599714696
1,vgg16,conv5_3,gap,correlation,0.02020924103979811
1,vgg16,conv5_3,gap,euclidean,0.013057529945050536
1,vgg16,conv5_3,rp,correlation,0.039103200962161445
1,vgg16,conv5_3,rp,euclidean,0.015212328791485734
1,vgg16,fc6,gap,correlation,0.031660742531628275
1,vgg16,fc6,gap,euclidean,0.018329220455044606
1,vgg16,fc6,rp,correlation,0.027121725320094804
1,vgg16,fc6,rp,euclidean,0.020022696221757987
1,vgg16,fc7,gap,correlation,0.05384007244047559
1,vgg16,fc7,gap,euclidean,0.02676936503391559
