region,model,best_layer,view,rho_mean,rho_sem,p,rho_norm_mean,n_sessions
MTL,alexnet,conv4,gap,0.0515135010214873,0.0210888680199303,0.0300167444444009,0.2027009009446505,18.0
MTL,vgg16,logits,gap,0.0536911389483989,0.0170245160895961,0.0065774674032659,0.2112697064221138,18.0
MTL,resnet18,logits,gap,0.054512592048484,0.0187634689640404,0.0111721298677623,0.2145020490152052,18.0
MTL,resnet50,avgpool,gap,0.0583447541717909,0.0205090113866488,0.0134612133043254,0.2295812554282245,18.0
MTL,convnext_tiny,logits,gap,0.0497051261950936,0.0162364317260096,0.0079704726220177,0.1955851118934905,18.0
MTL,vit_b_16,ln,gap,0.0579503275486328,0.0209370475350331,0.016289271563627,0.2280292228487001,18.0
MTL,dinov2_small,norm,gap,0.0520512370752942,0.0183450705394382,0.0131301140421153,0.2048168429873321,18.0
MTL,clip_vitb32,ln_post,cls,0.0613984490659455,0.0229017542697345,0.0194944513345984,0.2415972647069768,18.0
MTL,baseline:category,-,-,0.0554383969615365,0.0179393505933581,0.0075224698194308,0.2181450064196428,18.0
MTL,baseline:lowlevel,-,-,0.0139515539950249,0.0064927630342529,0.0467308451703443,0.0548980851289814,18.0
MFC,alexnet,conv5,gap,0.0169583022819249,0.0072465468222965,0.0312116311275502,0.114726616124935,19.0
MFC,vgg16,fc6,gap,0.0155159842656856,0.0058154362493194,0.015742851415426,0.1049690199559169,19.0
MFC,resnet18,logits,gap,0.0150121735753999,0.0068191481963211,0.0411281257984009,0.1015606306783148,19.0
MFC,resnet50,layer3,gap,0.0139329010285502,0.006915673082293,0.0593116732183851,0.0942591163452091,19.0
MFC,convnext_tiny,stage3,gap,0.0127605938903321,0.0054403517910549,0.0307295523853827,0.0863282026964877,19.0
MFC,vit_b_16,ln,gap,0.015248022666164,0.0085266499695499,0.0910398626403864,0.1031562012519295,19.0
MFC,dinov2_small,block8,cls,0.0143082765748552,0.0071376980644769,0.0605503965319067,0.0967986138425224,19.0
MFC,clip_vitb32,ln_post,cls,0.0161727078120817,0.0081022015669885,0.0617802061493297,0.1094118980786814,19.0
MFC,baseline:category,-,-,0.0070445059375798,0.0066768156270274,0.3058289060379432,0.0476576201470336,19.0
MFC,baseline:lowlevel,-,-,0.0020933858356243,0.0031105629447635,0.5095892054415465,0.0141622120641775,19.0
MTL_concept,alexnet,conv4,gap,0.0689165133701067,0.0265548973790986,0.0256674877684132,0.2031621775090377,14.0
MTL_concept,vgg16,fc7,gap,0.070613396665316,0.023592004057849,0.0116152813628889,0.2081644982646169,14.0
MTL_concept,resnet18,logits,gap,0.0722495512132586,0.0235831371924833,0.0103251622249111,0.2129877939371096,14.0
MTL_concept,resnet50,avgpool,gap,0.0778919764678368,0.027366034026931,0.0163808586645498,0.2296213603364413,14.0
MTL_concept,convnext_tiny,logits,gap,0.059937167885773,0.0217451103319705,0.0177836104916986,0.1766915496145849,14.0
MTL_concept,vit_b_16,ln,gap,0.0734591795486595,0.0275144189394682,0.0222771114240367,0.2165537132586069,14.0
MTL_concept,dinov2_small,norm,gap,0.0719809902782986,0.0230796786050132,0.0093337523043037,0.2121960907346083,14.0
MTL_concept,clip_vitb32,ln_post,cls,0.0855728074931693,0.0303287195501739,0.0175951808964617,0.2522640373941927,14.0
MTL_concept,baseline:category,-,-,0.0744801939315876,0.0248885048827017,0.0115694990739164,0.2195636087852381,14.0
MTL_concept,baseline:lowlevel,-,-,0.0111339881927663,0.0088465631564755,0.231119266920932,0.0328223987980142,14.0
amygdala,alexnet,conv4,gap,0.048331354557938,0.0237352762449858,0.0679812866021612,0.2032976329373399,17.0
amygdala,vgg16,conv4_3,gap,0.0444969239212072,0.0227783894305899,0.0773902385246293,0.1871687518157625,17.0
amygdala,resnet18,logits,gap,0.0464028927872767,0.0212541517380434,0.0487642613249371,0.1951858860853946,17.0
amygdala,resnet50,avgpool,gap,0.0502441503568246,0.0236362507478502,0.057415443002825,0.2113434835401813,17.0
amygdala,convnext_tiny,logits,gap,0.0385597580983277,0.0192654374022834,0.0678062444050632,0.1621950723236854,17.0
amygdala,vit_b_16,ln,gap,0.0513339324034172,0.0238110961365996,0.0552017337049933,0.2159274665987213,17.0
amygdala,dinov2_small,norm,gap,0.0436732072310192,0.0207958651331084,0.0575789096098698,0.1837039274826175,17.0
amygdala,clip_vitb32,ln_post,cls,0.05754236586043,0.025046549813162,0.0428786097731285,0.2420421873137521,17.0
amygdala,baseline:category,-,-,0.0492956783388064,0.0203151551710381,0.0304322387285458,0.2073538971126115,17.0
amygdala,baseline:lowlevel,-,-,0.0080787355178344,0.0073652518579175,0.2900395276910593,0.0339818286270814,17.0
hippocampus,alexnet,logits,gap,0.0127778954109124,0.0064719037354539,0.0689240978246762,0.0731452033153143,15.0
hippocampus,vgg16,logits,gap,0.0152539348612391,0.0078634604262854,0.0736574149253984,0.0873189309274701,15.0
hippocampus,resnet18,avgpool,gap,0.0142486357817304,0.0076069310739265,0.0825738013889359,0.0815642426005829,15.0
hippocampus,resnet50,logits,gap,0.0162899374213223,0.0076923233165182,0.0529167679872137,0.0932493768620768,15.0
hippocampus,convnext_tiny,logits,gap,0.0179454471582923,0.0077518394765881,0.0366830913076081,0.1027261015031108,15.0
hippocampus,vit_b_16,ln,cls,0.0170428333286599,0.007165526078596,0.0323231850592474,0.0975592199501997,15.0
hippocampus,dinov2_small,block8,cls,0.014754439664513,0.0065147562365737,0.0401579797982519,0.0844596433417893,15.0
hippocampus,clip_vitb32,block11,cls,0.0138910785340066,0.0058048828469727,0.0314204680193654,0.0795174581544304,15.0
hippocampus,baseline:category,-,-,0.0078317242307368,0.0053944334053284,0.1689460637627437,0.0448315659774063,15.0
hippocampus,baseline:lowlevel,-,-,0.0019109458574612,0.0027666461246691,0.501071703922005,0.0109389315512152,15.0
