model,layer,view,n,mtl_minus_mfc,t,p
convnext_tiny,stage4,gap,17,0.03183142642510882,2.793321844129409,0.013019452544057503
convnext_tiny,avgpool,gap,17,0.03183142642510882,2.793321844129409,0.013019452544057503
convnext_tiny,logits,gap,17,0.04158274252279075,2.380615990246571,0.03005541790112812
baseline,category,-,17,0.046116810417294485,2.2649928899449696,0.03775069487716295
clip_vitb32,block11,gap,17,0.02454275230217618,1.909684581980142,0.0742702725986043
resnet50,logits,gap,17,0.03559616612026944,1.8979826901668941,0.07589072507804986
vit_b_16,logits,gap,17,0.03176059983072081,1.8823329723551638,0.07810720510417488
vit_b_16,ln,cls,17,0.03134125238522329,1.8577232453593522,0.08170951494147959
clip_vitb32,ln_post,gap,17,0.025378542002531344,1.8510227664821948,0.0827155538481315
vgg16,logits,gap,17,0.036135591695222125,1.8348147637583136,0.08519467432914331
resnet18,layer1,gap,17,0.020758750056696786,1.8259638029513827,0.08657608085095439
resnet50,avgpool,gap,17,0.041438694389285394,1.7713208215160459,0.09555061965964932
resnet50,layer4,gap,17,0.041438694389285394,1.7713208215160459,0.09555061965964932
convnext_tiny,stage1,gap,17,0.017962532647382533,1.7650071433150154,0.09663849470850246
clip_vitb32,block8,gap,17,0.03110538028294801,1.760568653279202,0.09740974745034486
vit_b_16,block11,gap,17,0.037124029002475724,1.6911119637591678,0.1101981598531437
baseline,lowlevel,-,17,0.011870856094906707,1.6808101351453342,0.11221385794269287
resnet50,stem,gap,17,0.013126190646491733,1.6788030699086791,0.11261025463515346
alexnet,logits,gap,17,0.03166294356847415,1.5960171052819698,0.1300446486440356
resnet18,logits,gap,17,0.03452238366431587,1.590243366781236,0.13134209455172902
vit_b_16,ln,gap,17,0.0390563312832339,1.5805768487005154,0.1335389093479535
dinov2_small,block2,gap,17,0.01853667672358939,1.5783637494827816,0.13404621794663976
dinov2_small,block11,gap,17,0.03258297064913729,1.5726004560850415,0.13537500413097994
resnet50,layer1,gap,17,0.01701382264179515,1.550024947413799,0.1406877869814014
clip_vitb32,ln_post,cls,17,0.04045776487111903,1.5317579326562443,0.14511421102837085
clip_vitb32,block11,cls,17,0.037587519446508746,1.5238372416535566,0.1470695555058938
resnet50,layer2,gap,17,0.022100020591497765,1.508314846532815,0.15096550978730822
clip_vitb32,block8,cls,17,0.03678476639177472,1.5071153226556324,0.15127013248581397
dinov2_small,norm,gap,17,0.03266412868528627,1.4827317360741683,0.1575743555641375
convnext_tiny,stage2,gap,17,0.013117062548313017,1.4689118242440198,0.1612432555847594
dinov2_small,block5,gap,17,0.022705811688381344,1.453264837167921,0.16548222247508299
vit_b_16,block8,gap,17,0.026477030115896555,1.4338644526183644,0.17086514217733115
dinov2_small,norm,cls,17,0.021811296780201606,1.4276300034967873,0.17262520008765952
resnet18,avgpool,gap,17,0.03461884093405175,1.4249636109222297,0.17338247593166692
resnet18,layer4,gap,17,0.03461884093405175,1.4249636109222297,0.17338247593166692
alexnet,fc7,gap,17,0.029638949529111242,1.4209495404960137,0.17452762964819743
resnet18,layer2,gap,17,0.022206740163316724,1.4047769220742379,0.17920423201928762
alexnet,fc6,gap,17,0.029261626649129593,1.3960834210149986,0.18176001008633635
clip_vitb32,block2,gap,17,0.017340504767601735,1.3923789270549347,0.18285805083098913
clip_vitb32,block5,gap,17,0.027931621988461552,1.3859904811880142,0.18476428433048173
vgg16,fc7,gap,17,0.030881225611724322,1.385844205474534,0.18480811919480894
vit_b_16,block8,cls,17,0.025143088165591417,1.3774514488296377,0.18733734805970528
vgg16,conv5_3,gap,17,0.028111254027718885,1.372464613238214,0.18885338888910383
clip_vitb32,block5,cls,17,0.020034452507125544,1.368538830196261,0.1900538201954734
clip_vitb32,embed,gap,17,0.031695560866797756,1.3637199409312495,0.19153575654259014
dinov2_small,block11,cls,17,0.018410665616311897,1.330873205664742,0.20188635513732317
vgg16,conv4_3,gap,17,0.03048532326006779,1.3208983208813057,0.20511666384676414
vgg16,conv2_2,gap,17,0.021517400810391895,1.3202599332020566,0.20532479624626773
vgg16,conv3_3,gap,17,0.025519450686001848,1.314535545055675,0.20719863040123426
vit_b_16,block11,cls,17,0.01703701098480275,1.3111199810418546,0.20832314970174734
resnet18,stem,gap,17,0.011342528650074728,1.3048556667000304,0.21039816523284555
vit_b_16,block2,cls,17,0.01769256080262284,1.3001193221523586,0.2119779023650425
dinov2_small,block8,cls,17,0.023423301047162698,1.2969413295621544,0.21304312877866194
alexnet,conv4,gap,17,0.030724117777991562,1.2778543151004533,0.2195301518985424
resnet18,layer3,gap,17,0.029389057349473585,1.2612302880992579,0.22530578367924142
convnext_tiny,stage3,gap,17,0.02025293214493646,1.2453571628755247,0.2309308474954311
dinov2_small,block8,gap,17,0.02400105217605144,1.243533320743147,0.23158412162536895
vgg16,fc6,gap,17,0.02483868311482273,1.2420541952764435,0.23211497843574472
resnet50,layer3,gap,17,0.02488930486087334,1.2063488253315864,0.24521835869158579
alexnet,conv3,gap,17,0.02500151440588221,1.1883064615952206,0.25205253765873203
dinov2_small,block2,cls,17,0.018172124365332575,1.1843207828009281,0.25358170636640365
clip_vitb32,block2,cls,17,0.019334308714436685,1.1158171844978346,0.2809788777954567
alexnet,conv2,gap,17,0.02146306874688596,1.1013088153139547,0.2870547224460208
vit_b_16,block5,gap,17,0.017626045972634723,1.0999868750925157,0.28761312461631344
alexnet,conv5,gap,17,0.023575143292011092,1.0970861517763812,0.2888412356546599
vit_b_16,block2,gap,17,0.01640837654481777,1.053216139949597,0.3078883996222028
dinov2_small,block5,cls,17,0.01574238874642489,0.9076443912390649,0.3775341171823634
vit_b_16,block5,cls,17,0.0136448987461482,0.9059919877779505,0.37838186104959115
alexnet,conv1,gap,17,0.009268252897959111,0.8077700500422278,0.43106908951858847
vgg16,conv1_2,gap,17,0.009164536376005242,0.8063161208683778,0.4318826846754147
