subject,region,n_units,n_images,model,layer,view,rho,reliability,rho_norm
1,MTL,9,63,alexnet,conv1,gap,0.020407154137466122,0.054391801070871854,0.08750154570685759
1,MTL,9,63,alexnet,conv2,gap,0.03506974920412055,0.054391801070871854,0.15037164134897893
1,MTL,9,63,alexnet,conv3,gap,0.03852635219089447,0.054391801070871854,0.16519282132342553
1,MTL,9,63,alexnet,conv4,gap,0.039844679562654924,0.054391801070871854,0.17084552929042784
1,MTL,9,63,alexnet,conv5,gap,0.038655438627502335,0.054391801070871854,0.16574631656616698
1,MTL,9,63,alexnet,fc6,gap,0.03900176278731544,0.054391801070871854,0.16723128105926302
1,MTL,9,63,alexnet,fc7,gap,0.03156911165257007,0.054391801070871854,0.13536165050671004
1,MTL,9,63,alexnet,logits,gap,0.06684743503903728,0.054391801070871854,0.2866276136816005
1,MTL,9,63,vgg16,conv1_2,gap,0.015742273945118377,0.054391801070871854,0.0674995295208607
1,MTL,9,63,vgg16,conv2_2,gap,0.046090812221163825,0.054391801070871854,0.19762762044473495
1,MTL,9,63,vgg16,conv3_3,gap,0.04521411923511754,0.054391801070871854,0.19386854699075576
1,MTL,9,63,vgg16,conv4_3,gap,0.04131076879481893,0.054391801070871854,0.17713180875371706
1,MTL,9,63,vgg16,conv5_3,gap,0.02020924103979811,0.054391801070871854,0.08665293634932893
1,MTL,9,63,vgg16,fc6,gap,0.031660742531628275,0.054391801070871854,0.13575454426828312
1,MTL,9,63,vgg16,fc7,gap,0.05384007244047559,0.054391801070871854,0.2308548035544831
1,MTL,9,63,vgg16,logits,gap,0.07381358720027532,0.054391801070871854,0.316496995645958
1,MTL,9,63,resnet18,stem,gap,0.012493025672407404,0.054391801070871854,0.05356744255114619
1,MTL,9,63,resnet18,layer1,gap,0.028051530418842154,0.054391801070871854,0.12027900875140815
1,MTL,9,63,resnet18,layer2,gap,0.03774525456402034,0.054391801070871854,0.1618436404803229
1,MTL,9,63,resnet18,layer3,gap,0.03163967810986064,0.054391801070871854,0.13566422449847723
1,MTL,9,63,resnet18,layer4,gap,0.0585234105820902,0.054391801070871854,0.2509359635094029
1,MTL,9,63,resnet18,avgpool,gap,0.0585234105820902,0.054391801070871854,0.2509359635094029
1,MTL,9,63,resnet18,logits,gap,0.06803148074933514,0.054391801070871854,0.2917045503843239
1,MTL,9,63,resnet50,stem,gap,0.0031049643938458435,0.054391801070871854,0.013313428320094123
1,MTL,9,63,resnet50,layer1,gap,0.029771678228321427,0.054391801070871854,0.12765463747258124
1,MTL,9,63,resnet50,layer2,gap,0.03438853843378698,0.054391801070871854,0.14745075414663686
1,MTL,9,63,resnet50,layer3,gap,0.03303296492439349,0.054391801070871854,0.14163834264662123
1,MTL,9,63,resnet50,layer4,gap,0.07010701576825007,0.054391801070871854,0.30060400403182397
1,MTL,9,63,resnet50,avgpool,gap,0.07010701576825007,0.054391801070871854,0.30060400403182397
1,MTL,9,63,resnet50,logits,gap,0.04330624257960799,0.054391801070871854,0.18568797682156093
1,MTL,9,63,convnext_tiny,stage1,gap,0.01714095251704311,0.054391801070871854,0.07349676638034916
1,MTL,9,63,convnext_tiny,stage2,gap,0.03987468460394003,0.054391801070871854,0.17097418453915872
1,MTL,9,63,convnext_tiny,stage3,gap,0.027720336042544026,0.054391801070871854,0.11885891755886409
1,MTL,9,63,convnext_tiny,stage4,gap,0.044852947203215705,0.054391801070871854,0.19231991797347028
1,MTL,9,63,convnext_tiny,avgpool,gap,0.044852947203215705,0.054391801070871854,0.19231991797347028
1,MTL,9,63,convnext_tiny,logits,gap,0.0549694225013182,0.054391801070871854,0.23569721692100123
1,MTL,9,63,vit_b_16,block2,cls,0.020777181409996338,0.054391801070871854,0.0890881441165125
1,MTL,9,63,vit_b_16,block2,gap,0.03473756572144698,0.054391801070871854,0.14894730907822587
1,MTL,9,63,vit_b_16,block5,cls,0.024418011097425574,0.054391801070871854,0.10469924908291181
1,MTL,9,63,vit_b_16,block5,gap,0.024221734696952116,0.054391801070871854,0.10385765753557917
1,MTL,9,63,vit_b_16,block8,cls,0.01601161856542486,0.054391801070871854,0.06865442208676605
1,MTL,9,63,vit_b_16,block8,gap,0.041308247701207244,0.054391801070871854,0.17712099883938956
1,MTL,9,63,vit_b_16,block11,cls,0.02653350343643263,0.054391801070871854,0.1137700312383857
1,MTL,9,63,vit_b_16,block11,gap,0.05310266141913194,0.054391801070871854,0.22769294160380674
1,MTL,9,63,vit_b_16,ln,cls,0.05404757374848017,0.054391801070871854,0.2317445251229237
1,MTL,9,63,vit_b_16,ln,gap,0.061313716718439146,0.054391801070871854,0.2629002040047304
1,MTL,9,63,vit_b_16,logits,gap,0.05593642541002551,0.054391801070871854,0.23984352015588353
1,MTL,9,63,dinov2_small,block2,cls,0.013817429443594867,0.054391801070871854,0.05924620482923048
1,MTL,9,63,dinov2_small,block2,gap,0.028259484396051134,0.054391801070871854,0.12117067126932227
1,MTL,9,63,dinov2_small,block5,cls,0.02201398160821454,0.054391801070871854,0.09439128086677366
1,MTL,9,63,dinov2_small,block5,gap,0.03312332639657246,0.054391801070871854,0.14202579346091632
1,MTL,9,63,dinov2_small,block8,cls,0.035193682299857,0.054391801070871854,0.15090304015981387
1,MTL,9,63,dinov2_small,block8,gap,0.03568396493220324,0.054391801070871854,0.15300526802924327
1,MTL,9,63,dinov2_small,block11,cls,0.05511905625359189,0.054391801070871854,0.23633881469233511
1,MTL,9,63,dinov2_small,block11,gap,0.051966487490852226,0.054391801070871854,0.22282126894202267
1,MTL,9,63,dinov2_small,norm,cls,0.05271576456685634,0.054391801070871854,0.2260340100166199
1,MTL,9,63,dinov2_small,norm,gap,0.06067800645229851,0.054391801070871854,0.26017441330729557
1,MTL,9,63,clip_vitb32,block2,cls,0.025071417346521043,0.054391801070871854,0.107500916399444
1,MTL,9,63,clip_vitb32,block2,gap,0.030221575035207678,0.054391801070871854,0.1295836994939658
1,MTL,9,63,clip_vitb32,block5,cls,0.0031366673473780513,0.054391801070871854,0.013449363856173988
