subject,region,n_units,n_images,reliability
1,MTL,9,63,0.054391801070871854
1,MFC,31,63,0.13049674124901034
1,all,40,63,0.1288192454505038
1,MTL_concept,3,63,0.03307865749497474
1,amygdala,7,63,0.020351568223472144
1,hippocampus,2,63,-0.0012376369198773766
2,MTL,11,63,0.03441184162636447
2,MFC,11,63,0.012689034880067118
2,all,22,63,0.03442925333761663
2,amygdala,2,63,-0.00598576854093436
2,hippocampus,9,63,0.04973037287611989
3,MTL,7,63,-0.001656232696623734
3,MFC,33,63,0.08294837168974387
3,all,40,63,0.061587060294419564
3,amygdala,2,63,-0.014447535148386445
3,hippocampus,5,63,0.022538076380663463
4,MTL,43,63,0.06116782874560587
4,MFC,20,63,-0.006398866760115868
4,all,63,63,0.040268919167151855
4,MTL_concept,12,63,0.15251252288403647
4,MTL_concept_strict,7,63,0.14500920831155406
4,amygdala,42,63,0.05723429579789416
5,MTL,14,63,0.014021824909499239
5,MFC,22,63,0.02436103671776106
5,all,36,63,0.05259796333833424
5,MTL_concept,2,63,0.002305077614419643
5,amygdala,6,63,-0.006169790612291271
5,hippocampus,8,63,0.03817300544819614
6,MFC,28,54,-0.03672550966118881
6,all,28,54,-0.03672550966118881
7,MTL,21,54,0.14132245605319457
7,MFC,13,54,-0.038074891227368686
7,all,34,54,0.11649511168245276
7,MTL_concept,8,54,0.19932557781779414
7,MTL_concept_strict,5,54,0.10401062419811528
7,amygdala,17,54,0.1366639581842542
7,hippocampus,4,54,0.022181615089401387
8,MTL,25,54,0.1372681761691372
8,MFC,52,54,0.04673232610588264
8,all,77,54,0.10334571818936981
8,MTL_concept,5,54,0.0851369346760096
8,amygdala,6,54,-0.030832001976281425
8,hippocampus,19,54,0.18179076127995972
9,MTL,15,54,0.030790638525756173
9,MFC,38,54,0.002617605245795345
9,all,53,54,0.012976850882310624
9,amygdala,11,54,0.06102599431616574
9,hippocampus,4,54,-0.022446241315340176
10,MTL,36,63,0.023387978260569344
10,MFC,38,63,0.015190398292213827
10,all,74,63,0.014975865363241688
10,MTL_concept,4,63,0.05415094992163279
10,MTL_concept_strict,2,63,0.0348922755139775
10,amygdala,24,63,0.004375459987125706
10,hippocampus,12,63,0.01958958468673873
11,MTL,47,63,0.011808953953079404
11,MFC,47,63,0.04499766468791841
11,all,94,63,0.030078045718702196
11,MTL_concept,12,63,0.12017298987099229
11,MTL_concept_strict,7,63,0.1046840057546492
11,amygdala,18,63,0.01246796603755615
11,hippocampus,29,63,0.03231557949308102
12,MTL,4,63,0.025997179674837487
12,MFC,14,63,-0.015072691492591807
12,all,18,63,-0.014399656307259954
12,MTL_concept,2,63,0.0506592494831933
12,amygdala,4,63,0.025997179674837487
13,MTL,59,63,0.3069792561184271
13,MFC,44,63,-0.015338788447709069
13,all,103,63,0.25487542159650733
13,MTL_concept,32,63,0.3739487324582531
13,MTL_concept_strict,11,63,0.2548463547823869
13,amygdala,39,63,0.3459460365508178
13,hippocampus,20,63,0.05755365998361243
14,MTL,41,63,0.15891964740607714
14,MFC,32,63,0.02651487329538794
14,all,73,63,0.12649013363096367
14,MTL_concept,24,63,0.2216880492363211
14,MTL_concept_strict,13,63,0.16345991388216408
14,amygdala,24,63,0.156594397514032
14,hippocampus,17,63,0.0012486732700807933
15,MTL,15,63,-0.008923286537500925
15,MFC,17,63,0.041924032644888184
15,all,32,63,0.04456963544625622
15,MTL_concept,2,63,0.045589490299143685
15,amygdala,10,63,0.029561637748677885
15,hippocampus,5,63,-0.009542849071635268
16,MTL,34,54,0.06023887714150135
16,all,34,54,0.06023887714150135
16,MTL_concept,7,54,0.05443203962147467
16,MTL_concept_strict,6,54,0.05401451383756413
16,amygdala,27,54,0.053566123651650026
16,hippocampus,7,54,0.034761851194911465
17,MTL,2,63,0.0017882394993296426
17,MFC,6,63,-0.013401606099224521
17,all,8,63,0.006671670906033084
17,amygdala,2,63,0.0017882394993296426
18,MTL,27,63,0.1210863783642576
18,MFC,26,63,0.05534754605985796
18,all,53,63,0.08972377593546269
18,MTL_concept,15,63,0.2067974753400995
18,MTL_concept_strict,9,63,0.18390702874388953
18,amygdala,19,63,0.1126826303746734
18,hippocampus,8,63,0.029204840135899413
20,MFC,6,63,0.02462067167565151
20,all,7,63,0.00997076486030635
21,MTL,10,63,-0.01047393553635629
21,MFC,8,63,0.031707650374844513
21,all,18,63,-0.004989380502841748
21,MTL_concept,4,63,0.011177667980336443
21,MTL_concept_strict,3,63,-0.0034073882992487763
21,hippocampus,9,63,0.0018991015090983855
