region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MFC,alexnet,conv1,gap,19.0,0.006107135966600685,0.006440287413892358,0.9477173020423133,0.35582422994494056,0.041316107710249454,0.5789473684210527
MFC,alexnet,conv2,gap,19.0,0.012239694771639647,0.0059227641771199425,2.06529521053739,0.053603038570211946,0.08280420647112566,0.6842105263157895
MFC,alexnet,conv3,gap,19.0,0.014089670388125612,0.007214551031278335,1.9509322060079817,0.06680856575739942,0.09531969527800306,0.631578947368421
MFC,alexnet,conv4,gap,19.0,0.016539414348552675,0.008203733515128842,2.0127813943182415,0.05934313607913127,0.11189274783243548,0.631578947368421
MFC,alexnet,conv5,gap,19.0,0.016958302281924967,0.0072465468222965386,2.3367475494057075,0.03121163112755026,0.11472661612493507,0.631578947368421
MFC,alexnet,fc6,gap,19.0,0.014493880140462292,0.006853068235457671,2.112622264987731,0.04886561195226025,0.09805426247225062,0.631578947368421
MFC,alexnet,fc7,gap,19.0,0.012809617145317169,0.007121255278858545,1.796693471547121,0.08918577984630231,0.08665985571589728,0.5789473684210527
MFC,alexnet,logits,gap,19.0,0.013505674782337355,0.006827853811224741,1.9762114817849818,0.0636612289932916,0.09136883754648768,0.6842105263157895
MFC,baseline,category,-,19.0,0.007044505937579885,0.006676815627027405,1.0539941068701524,0.30582890603794327,0.0476576201470336,0.631578947368421
MFC,baseline,lowlevel,-,19.0,0.00209338583562432,0.0031105629447635355,0.6728504156593142,0.5095892054415465,0.014162212064177568,0.631578947368421
MFC,clip_vitb32,block11,cls,19.0,0.01590668342112262,0.007462523942753527,2.1276325282332946,0.047444614188000334,0.1076121850134195,0.631578947368421
MFC,clip_vitb32,block11,gap,19.0,0.00686898001941691,0.005633431266418388,1.2187706675592471,0.2386638981829013,0.04647014900173364,0.5789473684210527
MFC,clip_vitb32,block2,cls,19.0,0.006010187859549335,0.005522596294159435,1.0878469666284267,0.29101493169872916,0.040660232606904094,0.631578947368421
MFC,clip_vitb32,block2,gap,19.0,0.004275350030465047,0.00465944069271331,0.9171467278198574,0.3711914327288738,0.028923676060880768,0.7368421052631579
MFC,clip_vitb32,block5,cls,19.0,0.0067744750317873465,0.0059294606139200234,1.1417483297830195,0.2685204801283624,0.04583080213449299,0.5263157894736842
MFC,clip_vitb32,block5,gap,19.0,0.014230962545590722,0.006944306736411382,2.047240386836478,0.05551734169836445,0.0962755675605865,0.6842105263157895
MFC,clip_vitb32,block8,cls,19.0,0.012092877512679095,0.007434625721079775,1.6244046658389828,0.12167092191749686,0.0818109556710597,0.5263157894736842
MFC,clip_vitb32,block8,gap,19.0,0.01034022217136188,0.006071623170874955,1.7019462426059642,0.10597339748944104,0.0699538597660684,0.5789473684210527
MFC,clip_vitb32,embed,gap,19.0,0.01382037743586024,0.00822665042976566,1.6763282448570418,0.11095567422076189,0.09349786968213376,0.5789473684210527
MFC,clip_vitb32,ln_post,cls,19.0,0.016172707812081792,0.008102201566988546,1.991859292241919,0.06178020614932977,0.10941189807868149,0.631578947368421
MFC,clip_vitb32,ln_post,gap,19.0,0.00790172314569689,0.005835540303895346,1.3533208862390689,0.19270589924874837,0.053456881649533765,0.5263157894736842
MFC,convnext_tiny,avgpool,gap,19.0,0.005144314002191645,0.00516575028404388,0.9955224026855877,0.33267772582996047,0.03480240698295747,0.5789473684210527
MFC,convnext_tiny,logits,gap,19.0,0.004736922371115069,0.005841738831883377,0.810389742257466,0.4283010377165736,0.03204631368458233,0.631578947368421
MFC,convnext_tiny,stage1,gap,19.0,6.212143826424697e-05,0.00387654677871876,0.016022387687743188,0.9873927923099093,0.00042026508800161084,0.47368421052631576
MFC,convnext_tiny,stage2,gap,19.0,0.007923661001963593,0.0031539868488977374,2.5115922704991727,0.021776546207557042,0.05360529603516461,0.6842105263157895
MFC,convnext_tiny,stage3,gap,19.0,0.012760593890332156,0.005440351791054921,2.344393695408799,0.03072955238538279,0.08632820269648772,0.5263157894736842
MFC,convnext_tiny,stage4,gap,19.0,0.005144314002191645,0.00516575028404388,0.9955224026855877,0.33267772582996047,0.03480240698295747,0.5789473684210527
MFC,dinov2_small,block11,cls,19.0,0.010053501877697312,0.005795376894849451,1.7338619252940344,0.10003658311767126,0.06801413440207697,0.631578947368421
MFC,dinov2_small,block11,gap,19.0,0.010432976859279451,0.007297323704994872,1.428611273048301,0.17023963089996239,0.07058136547375056,0.5263157894736842
MFC,dinov2_small,block2,cls,19.0,0.0019358957968160736,0.004965051181702956,0.3897660135941868,0.7012829350351841,0.013096757579083684,0.5789473684210527
MFC,dinov2_small,block2,gap,19.0,0.0014621370446692673,0.003792219213906121,0.38548998974453597,0.7043921723101745,0.009891676221894595,0.5789473684210527
MFC,dinov2_small,block5,cls,19.0,0.012440849284547605,0.006527876214418752,1.903917727691017,0.07303314895783422,0.08416506065337402,0.631578947368421
MFC,dinov2_small,block5,gap,19.0,0.005641984579452643,0.005454778543911974,1.0339285384402563,0.3148618217709409,0.03816925705585383,0.631578947368421
MFC,dinov2_small,block8,cls,19.0,0.014308276574855271,0.007137698064476937,2.002322557681353,0.060550396531906754,0.0967986138425224,0.5789473684210527
MFC,dinov2_small,block8,gap,19.0,0.01230650478550357,0.006868547007878088,1.7901799407020624,0.09026084305572928,0.08325619079635127,0.5263157894736842
MFC,dinov2_small,norm,cls,19.0,0.008204518651537113,0.006461200467931523,1.2689918794111266,0.2206085951721747,0.05550535933234481,0.631578947368421
MFC,dinov2_small,norm,gap,19.0,0.013964639655582483,0.007666283669568188,1.8199628271389083,0.08543602429636481,0.09447383508410949,0.5263157894736842
MFC,resnet18,avgpool,gap,19.0,0.01428837302147788,0.006793235789034796,2.101629869867163,0.049930698217834656,0.09666396195992895,0.5789473684210527
MFC,resnet18,layer1,gap,19.0,0.004315042638571702,0.0044059294846881866,0.9790468167739049,0.3405332089053229,0.02919220521772351,0.631578947368421
