subject,region,t,ref,rho
1,MTL,-0.2,alexnet conv1,-0.00042552838320323916
1,MTL,-0.2,alexnet conv4,-0.000719317140547209
1,MTL,-0.2,resnet50 avgpool,-0.0018641707189098352
1,MTL,-0.2,clip ln_post,-0.0015898209625960051
1,MTL,-0.2,category,-0.0129198742008069
1,MTL,-0.2,low-level,0.0152526550128156
1,MTL,-0.175,alexnet conv1,-0.010189886644414286
1,MTL,-0.175,alexnet conv4,-0.018419164698312764
1,MTL,-0.175,resnet50 avgpool,-0.028945991879352897
1,MTL,-0.175,clip ln_post,-0.022802843881228163
1,MTL,-0.175,category,-0.016577756314964432
1,MTL,-0.175,low-level,0.006817249767750091
1,MTL,-0.15,alexnet conv1,-0.029586692783198944
1,MTL,-0.15,alexnet conv4,-0.04102384256705053
1,MTL,-0.15,resnet50 avgpool,-0.04816237148350776
1,MTL,-0.15,clip ln_post,-0.039789085018480636
1,MTL,-0.15,category,-0.023708427310048068
1,MTL,-0.15,low-level,0.014382541033996213
1,MTL,-0.125,alexnet conv1,-0.03223459337624264
1,MTL,-0.125,alexnet conv4,-0.0320340802497636
1,MTL,-0.125,resnet50 avgpool,-0.026640534733974982
1,MTL,-0.125,clip ln_post,-0.012920762630269823
1,MTL,-0.125,category,-0.015025538804597985
1,MTL,-0.125,low-level,0.028613059317746777
1,MTL,-0.1,alexnet conv1,-0.02716251065431881
1,MTL,-0.1,alexnet conv4,-0.030150093573973705
1,MTL,-0.1,resnet50 avgpool,-0.029783019122267905
1,MTL,-0.1,clip ln_post,-0.015177597303774633
1,MTL,-0.1,category,-0.010251599472243094
1,MTL,-0.1,low-level,0.022258758050456
1,MTL,-0.075,alexnet conv1,-0.03085110258104055
1,MTL,-0.075,alexnet conv4,-0.015045781964560892
1,MTL,-0.075,resnet50 avgpool,-0.022047809368439277
1,MTL,-0.075,clip ln_post,-0.005105577021204405
1,MTL,-0.075,category,-0.008516121334914846
1,MTL,-0.075,low-level,0.005598197102004666
1,MTL,-0.05,alexnet conv1,-0.020962342445664296
1,MTL,-0.05,alexnet conv4,0.0054004305982782936
1,MTL,-0.05,resnet50 avgpool,-0.015240407169537886
1,MTL,-0.05,clip ln_post,0.013739156333372486
