region,component,n,mean,sem,wilcoxon_p
MTL,unique_clip,19,0.003889044105028275,0.002330584587925146,3.814697265625e-06
MTL,unique_resnet50,19,0.001997057283337778,0.0008232090356306297,3.814697265625e-06
MTL,unique_category,19,0.0012475992082460956,0.0006345091067481509,3.814697265625e-06
MTL,shared_clip_resnet50,19,0.0017955298714526706,0.0013275150925012922,0.8905677795410156
MTL,shared_clip_category,19,0.000671804992920323,0.0002735354382119026,0.007144927978515625
MTL,shared_resnet50_category,19,0.00045259796731470105,0.0004376754592910951,0.1956329345703125
MTL,total,19,0.015719691679748772,0.008564016626499997,3.814697265625e-06
MTL,shared_clip_resnet50_category,19,0.005666058251448929,0.003679837408257978,0.025821685791015625
MTL_concept,unique_clip,14,0.005547550259131633,0.0031853804478834723,0.0001220703125
MTL_concept,unique_resnet50,14,0.0017722478456354631,0.0012953924108578155,0.0001220703125
MTL_concept,unique_category,14,0.0012693777756552782,0.000609140437974408,0.0001220703125
MTL_concept,shared_clip_resnet50,14,0.0027436622992954096,0.0018939892012885436,0.0040283203125
MTL_concept,shared_clip_category,14,0.0011182309110537938,0.000665990333128186,0.090576171875
MTL_concept,shared_resnet50_category,14,0.001508333712160827,0.0006793629312910253,0.118896484375
MTL_concept,total,14,0.023534354542108123,0.012243187956190244,0.0001220703125
MTL_concept,shared_clip_resnet50_category,14,0.009574951739175719,0.005265063611408227,0.008544921875
