analysis,reference,window,count,mean,sem
RSA MTL,alexnet conv1,100-600,18,0.014638267631135158,0.006790712563939046
RSA MTL,alexnet conv1,200-1000,18,0.015239026491452349,0.008222066186017247
RSA MTL,alexnet conv1,300-800,18,0.015300007150944452,0.007464670399587674
RSA MTL,alexnet conv1,200-500,18,0.023682041242654075,0.006904626240629564
RSA MTL,alexnet conv1,500-1000,18,0.006900722250754203,0.007077694365559677
RSA MTL,category,100-600,18,0.04903376779372197,0.01837683069964267
RSA MTL,category,200-1000,18,0.05489089539509463,0.01793935059335816
RSA MTL,category,300-800,18,0.05054050313538552,0.017733289421977758
RSA MTL,category,200-500,18,0.05376271459909057,0.019053494464745965
RSA MTL,category,500-1000,18,0.027750118424354563,0.010148747408285292
RSA MTL,clip ln_post,100-600,18,0.059023516776154444,0.0254815648333165
RSA MTL,clip ln_post,200-1000,18,0.06015657429755634,0.0229017542697345
RSA MTL,clip ln_post,300-800,18,0.05741161959910979,0.022464912152481992
RSA MTL,clip ln_post,200-500,18,0.06882064850254166,0.02574494087576967
RSA MTL,clip ln_post,500-1000,18,0.028183983846909375,0.011682471739813254
RSA MTL,resnet50 avgpool,100-600,18,0.054037022777822435,0.02219767893141019
RSA MTL,resnet50 avgpool,200-1000,18,0.05745391210352446,0.020509011386648852
RSA MTL,resnet50 avgpool,300-800,18,0.057798943129751174,0.020029659857350893
RSA MTL,resnet50 avgpool,200-500,18,0.06290061931109385,0.02195229886886743
RSA MTL,resnet50 avgpool,500-1000,18,0.027182796143167542,0.010916233725667326
similarity tuning,alexnet conv1,100-600,134,0.08079948149526402,0.014432376668775823
similarity tuning,alexnet conv1,200-1000,134,0.08901140418589426,0.014279349070957301
similarity tuning,alexnet conv1,300-800,134,0.08423056410674794,0.013327523030997048
similarity tuning,alexnet conv1,200-500,134,0.09164152709399215,0.014630305404996628
similarity tuning,alexnet conv1,500-1000,134,0.051903864609566,0.01255129008213242
similarity tuning,clip ln_post,100-600,134,0.18451068214693214,0.019299816193989287
similarity tuning,clip ln_post,200-1000,134,0.17035593675491648,0.020338262036582767
similarity tuning,clip ln_post,300-800,134,0.1702719230734941,0.01929657059777733
similarity tuning,clip ln_post,200-500,134,0.18626576687204477,0.020385763262620323
similarity tuning,clip ln_post,500-1000,134,0.10772563629429037,0.0173172524537048
similarity tuning,resnet50 avgpool,100-600,134,0.19371284686157156,0.020171631635451975
similarity tuning,resnet50 avgpool,200-1000,134,0.17295460060701734,0.02030469867493646
similarity tuning,resnet50 avgpool,300-800,134,0.17433279436585086,0.019059084249126185
similarity tuning,resnet50 avgpool,200-500,134,0.18952635368868828,0.02194455086997998
similarity tuning,resnet50 avgpool,500-1000,134,0.10251097816583385,0.016399210499392712
