analysis,window,subject,unit,reference,value
RSA MTL,100-600,1,,clip ln_post,0.04961384159456887
RSA MTL,100-600,1,,resnet50 avgpool,0.06023372854286758
RSA MTL,100-600,1,,alexnet conv1,0.009179477430680268
RSA MTL,100-600,1,,category,0.027223470539676085
similarity tuning,100-600,1,34.0,clip ln_post,0.10044622255756844
similarity tuning,100-600,1,34.0,resnet50 avgpool,0.16189597349610604
similarity tuning,100-600,1,34.0,alexnet conv1,-0.15207108524493826
similarity tuning,100-600,1,36.0,clip ln_post,-0.1645272797893136
similarity tuning,100-600,1,36.0,resnet50 avgpool,-0.07269339624931254
similarity tuning,100-600,1,36.0,alexnet conv1,0.03410900575315569
similarity tuning,100-600,1,38.0,clip ln_post,0.29688223232529015
similarity tuning,100-600,1,38.0,resnet50 avgpool,0.23014402037290124
similarity tuning,100-600,1,38.0,alexnet conv1,0.046277580977255574
RSA MTL,200-1000,1,,clip ln_post,0.03682918257903631
RSA MTL,200-1000,1,,resnet50 avgpool,0.07010701576825007
RSA MTL,200-1000,1,,alexnet conv1,0.020407154137466122
RSA MTL,200-1000,1,,category,0.016819076868424234
similarity tuning,200-1000,1,34.0,clip ln_post,0.26679969478230925
similarity tuning,200-1000,1,34.0,resnet50 avgpool,0.29657858520267666
similarity tuning,200-1000,1,34.0,alexnet conv1,-0.10923128983999279
similarity tuning,200-1000,1,36.0,clip ln_post,-0.02924373363981013
similarity tuning,200-1000,1,36.0,resnet50 avgpool,0.02762889416358248
similarity tuning,200-1000,1,36.0,alexnet conv1,0.16135778828868488
similarity tuning,200-1000,1,38.0,clip ln_post,0.26755925160611116
similarity tuning,200-1000,1,38.0,resnet50 avgpool,0.24087919390814835
similarity tuning,200-1000,1,38.0,alexnet conv1,-0.07037971618334664
RSA MTL,300-800,1,,clip ln_post,0.025452279683352966
RSA MTL,300-800,1,,resnet50 avgpool,0.07065651913117309
RSA MTL,300-800,1,,alexnet conv1,0.009904326478871258
RSA MTL,300-800,1,,category,0.011364742196146445
similarity tuning,300-800,1,34.0,clip ln_post,0.2513594873458259
similarity tuning,300-800,1,34.0,resnet50 avgpool,0.2483575023002465
similarity tuning,300-800,1,34.0,alexnet conv1,-0.06342008743350123
similarity tuning,300-800,1,36.0,clip ln_post,-0.15743416876173225
similarity tuning,300-800,1,36.0,resnet50 avgpool,-0.020715022205491082
similarity tuning,300-800,1,36.0,alexnet conv1,0.08912511992801529
similarity tuning,300-800,1,38.0,clip ln_post,0.29598583664051964
similarity tuning,300-800,1,38.0,resnet50 avgpool,0.1579705380701199
similarity tuning,300-800,1,38.0,alexnet conv1,0.010787984805686289
RSA MTL,200-500,1,,clip ln_post,0.03747116738806352
RSA MTL,200-500,1,,resnet50 avgpool,0.05515971432494348
RSA MTL,200-500,1,,alexnet conv1,0.03566281996431382
RSA MTL,200-500,1,,category,0.010515630952127673
similarity tuning,200-500,1,34.0,clip ln_post,0.17109224930356146
similarity tuning,200-500,1,34.0,resnet50 avgpool,0.15652959583724563
similarity tuning,200-500,1,34.0,alexnet conv1,-0.15610054018919126
similarity tuning,200-500,1,36.0,clip ln_post,0.032176731934246215
similarity tuning,200-500,1,36.0,resnet50 avgpool,0.12673846884218393
similarity tuning,200-500,1,36.0,alexnet conv1,0.2132497136034357
similarity tuning,200-500,1,38.0,clip ln_post,0.17838191906910988
similarity tuning,200-500,1,38.0,resnet50 avgpool,0.17331222442547195
similarity tuning,200-500,1,38.0,alexnet conv1,0.07525566822767076
RSA MTL,500-1000,1,,clip ln_post,0.012021718095429861
RSA MTL,500-1000,1,,resnet50 avgpool,0.03888536397581018
RSA MTL,500-1000,1,,alexnet conv1,0.012889111226255552
RSA MTL,500-1000,1,,category,0.0003411276613525198
similarity tuning,500-1000,1,34.0,clip ln_post,0.18708168226453648
similarity tuning,500-1000,1,34.0,resnet50 avgpool,0.241691355508557
similarity tuning,500-1000,1,34.0,alexnet conv1,-0.05766458330529032
similarity tuning,500-1000,1,36.0,clip ln_post,-0.12922609177362676
similarity tuning,500-1000,1,36.0,resnet50 avgpool,-0.10108183640005484
similarity tuning,500-1000,1,36.0,alexnet conv1,0.041887949200522606
similarity tuning,500-1000,1,38.0,clip ln_post,0.24472251655668062
similarity tuning,500-1000,1,38.0,resnet50 avgpool,0.199067035141616
similarity tuning,500-1000,1,38.0,alexnet conv1,-0.11123289329751442
RSA MTL,100-600,2,,clip ln_post,-0.013759874406816478
RSA MTL,100-600,2,,resnet50 avgpool,-0.001966000347907697
RSA MTL,100-600,2,,alexnet conv1,-0.00893091048794789
RSA MTL,100-600,2,,category,-0.009950152337657761
similarity tuning,100-600,2,0.0,clip ln_post,-0.10804404171721227
similarity tuning,100-600,2,0.0,resnet50 avgpool,0.009463131229893224
similarity tuning,100-600,2,0.0,alexnet conv1,-0.14632068456305491
RSA MTL,200-1000,2,,clip ln_post,0.021462048974258675
RSA MTL,200-1000,2,,resnet50 avgpool,0.027346619757636338
RSA MTL,200-1000,2,,alexnet conv1,0.014580033680908537
RSA MTL,200-1000,2,,category,0.02537288846102729
similarity tuning,200-1000,2,0.0,clip ln_post,-0.012026303515483226
similarity tuning,200-1000,2,0.0,resnet50 avgpool,0.1414242117661187
similarity tuning,200-1000,2,0.0,alexnet conv1,-0.13185434471337248
RSA MTL,300-800,2,,clip ln_post,0.021189535669521406
RSA MTL,300-800,2,,resnet50 avgpool,0.03644693323798735
RSA MTL,300-800,2,,alexnet conv1,0.03486013114403562
RSA MTL,300-800,2,,category,0.03216535252884254
similarity tuning,300-800,2,0.0,clip ln_post,-0.04364872999381621
similarity tuning,300-800,2,0.0,resnet50 avgpool,0.08201779324586543
similarity tuning,300-800,2,0.0,alexnet conv1,-0.12435967503627396
RSA MTL,200-500,2,,clip ln_post,0.007495730024555357
RSA MTL,200-500,2,,resnet50 avgpool,0.0028798267070165367
RSA MTL,200-500,2,,alexnet conv1,-0.01512943233387324
RSA MTL,200-500,2,,category,-0.023462681976801573
similarity tuning,200-500,2,0.0,clip ln_post,-0.034232097653284894
similarity tuning,200-500,2,0.0,resnet50 avgpool,0.09407294011589744
similarity tuning,200-500,2,0.0,alexnet conv1,0.02857030033149478
RSA MTL,500-1000,2,,clip ln_post,0.011477113547633444
RSA MTL,500-1000,2,,resnet50 avgpool,0.02279639696964097
RSA MTL,500-1000,2,,alexnet conv1,0.002601475419372727
RSA MTL,500-1000,2,,category,0.04123372830672652
similarity tuning,500-1000,2,0.0,clip ln_post,0.029218547304332265
similarity tuning,500-1000,2,0.0,resnet50 avgpool,0.10703106157934479
similarity tuning,500-1000,2,0.0,alexnet conv1,-0.06475741867094918
RSA MTL,100-600,3,,clip ln_post,0.03825331694728807
RSA MTL,100-600,3,,resnet50 avgpool,0.02323848563548197
RSA MTL,100-600,3,,alexnet conv1,0.001420997902269692
RSA MTL,100-600,3,,category,0.024917735144703818
similarity tuning,100-600,3,39.0,clip ln_post,-0.018447978970637074
similarity tuning,100-600,3,39.0,resnet50 avgpool,0.06422629715703279
similarity tuning,100-600,3,39.0,alexnet conv1,0.058228806051352416
RSA MTL,200-1000,3,,clip ln_post,0.04743140576282887
RSA MTL,200-1000,3,,resnet50 avgpool,0.038556492549664166
RSA MTL,200-1000,3,,alexnet conv1,0.011901029397478667
RSA MTL,200-1000,3,,category,0.021144786258794533
similarity tuning,200-1000,3,39.0,clip ln_post,-0.10863530925127476
similarity tuning,200-1000,3,39.0,resnet50 avgpool,-0.09788810105020591
similarity tuning,200-1000,3,39.0,alexnet conv1,0.14616203153453636
RSA MTL,300-800,3,,clip ln_post,0.035112929980006265
RSA MTL,300-800,3,,resnet50 avgpool,0.029082842962100258
RSA MTL,300-800,3,,alexnet conv1,0.015144908465711851
RSA MTL,300-800,3,,category,0.03198681089082072
similarity tuning,300-800,3,39.0,clip ln_post,-0.03546474451947507
similarity tuning,300-800,3,39.0,resnet50 avgpool,-0.07597415248382185
similarity tuning,300-800,3,39.0,alexnet conv1,0.16746254631569138
RSA MTL,200-500,3,,clip ln_post,0.047243290295414055
RSA MTL,200-500,3,,resnet50 avgpool,0.030476977121834226
RSA MTL,200-500,3,,alexnet conv1,0.024609309747573093
RSA MTL,200-500,3,,category,0.03770867519924083
similarity tuning,200-500,3,39.0,clip ln_post,-0.026595861137254973
similarity tuning,200-500,3,39.0,resnet50 avgpool,0.04779656187238108
similarity tuning,200-500,3,39.0,alexnet conv1,0.0896913755114475
RSA MTL,500-1000,3,,clip ln_post,0.03004130798189901
RSA MTL,500-1000,3,,resnet50 avgpool,0.024841664366913797
RSA MTL,500-1000,3,,alexnet conv1,0.002269559349823457
RSA MTL,500-1000,3,,category,0.021818391977642935
similarity tuning,500-1000,3,39.0,clip ln_post,-0.08509672956066656
similarity tuning,500-1000,3,39.0,resnet50 avgpool,-0.1346585610630328
similarity tuning,500-1000,3,39.0,alexnet conv1,0.12472597575939692
RSA MTL,100-600,4,,clip ln_post,0.12189867467993613
RSA MTL,100-600,4,,resnet50 avgpool,0.0881845038179764
RSA MTL,100-600,4,,alexnet conv1,0.04109617459533049
RSA MTL,100-600,4,,category,0.1406220258655739
similarity tuning,100-600,4,8.0,clip ln_post,0.09851850643976134
similarity tuning,100-600,4,8.0,resnet50 avgpool,0.123326793553608
similarity tuning,100-600,4,8.0,alexnet conv1,0.08108634584433208
similarity tuning,100-600,4,13.0,clip ln_post,-0.08722195114592772
similarity tuning,100-600,4,13.0,resnet50 avgpool,-0.2512084464241074
similarity tuning,100-600,4,13.0,alexnet conv1,-0.16065447833754773
similarity tuning,100-600,4,15.0,clip ln_post,0.13447411167049647
similarity tuning,100-600,4,15.0,resnet50 avgpool,0.07896918404874158
similarity tuning,100-600,4,15.0,alexnet conv1,0.11449640961498175
similarity tuning,100-600,4,25.0,clip ln_post,0.33707107428825095
similarity tuning,100-600,4,25.0,resnet50 avgpool,0.3326866557395363
similarity tuning,100-600,4,25.0,alexnet conv1,-0.05089957165749173
similarity tuning,100-600,4,33.0,clip ln_post,0.02551296518603768
similarity tuning,100-600,4,33.0,resnet50 avgpool,0.050445516722937005
similarity tuning,100-600,4,33.0,alexnet conv1,0.03843347772337822
similarity tuning,100-600,4,39.0,clip ln_post,0.3276129542401125
similarity tuning,100-600,4,39.0,resnet50 avgpool,0.2788331916720353
similarity tuning,100-600,4,39.0,alexnet conv1,0.22212213312249443
similarity tuning,100-600,4,40.0,clip ln_post,0.4030716864959525
similarity tuning,100-600,4,40.0,resnet50 avgpool,0.4980959636591535
similarity tuning,100-600,4,40.0,alexnet conv1,0.027955791623300613
