region,scope,model,layer,n,mean,sem,p
MFC,all,alexnet,conv1,19.0,0.006102745931305132,0.006440287413892358,0.3558877705875966
MFC,all,alexnet,conv4,19.0,0.016509800325240007,0.008203733515128842,0.05937830848841182
MFC,all,clip_vitb32,ln_post,19.0,0.016139278372440724,0.008102201566988546,0.06176801537088591
MFC,all,dinov2_small,norm,19.0,0.013946725944805304,0.007666283669568188,0.08555212705398861
MFC,all,resnet50,avgpool,19.0,0.01298729061770928,0.007370474890175259,0.09503110440531148
MFC,all,resnet50,layer2,19.0,0.004781510828073075,0.0046266719788002385,0.31507200456812107
MFC,all,vit_b_16,ln,19.0,0.015220367293790303,0.008526649969549986,0.09111802289848546
MFC,between-category pairs,alexnet,conv1,19.0,0.0033105094985922357,0.0073281041642886255,0.6568414470734195
MFC,between-category pairs,alexnet,conv4,19.0,0.013486004786537003,0.008428199692896227,0.1269798203697484
MFC,between-category pairs,clip_vitb32,ln_post,19.0,0.012450025045605731,0.007711226057141605,0.12380464121853982
MFC,between-category pairs,dinov2_small,norm,19.0,0.012341198134531129,0.007084948203289264,0.09858933268267306
MFC,between-category pairs,resnet50,avgpool,19.0,0.010353545909111127,0.006906790576109741,0.15119770711758526
MFC,between-category pairs,resnet50,layer2,19.0,0.002513609141170257,0.004408334848000197,0.5755945425186506
MFC,between-category pairs,vit_b_16,ln,19.0,0.01390730985272162,0.00842403267320105,0.1160962264911521
MFC,within animal,alexnet,conv1,9.0,-0.0101041961838396,0.034327767557900436,0.7759874517347546
MFC,within animal,alexnet,conv4,9.0,-0.009741717076614769,0.044490843751778246,0.8321641120877373
MFC,within animal,clip_vitb32,ln_post,9.0,-0.030133417336986608,0.05545992199422344,0.6017049600485117
MFC,within animal,dinov2_small,norm,9.0,-0.06474484438385386,0.06165657138332381,0.32436124212462125
MFC,within animal,resnet50,avgpool,9.0,-0.01753052882594019,0.040138726716419805,0.6738421056756561
MFC,within animal,resnet50,layer2,9.0,0.0025296719728719053,0.03841558145331395,0.9491129895611576
MFC,within animal,vit_b_16,ln,9.0,-0.0359070574775136,0.036311012018723714,0.35168589909211373
MFC,within face_person,alexnet,conv1,19.0,-0.02094900042397042,0.01996993076020081,0.30804732800343854
MFC,within face_person,alexnet,conv4,19.0,0.014026502729979292,0.01440114734298573,0.34297231971325115
MFC,within face_person,clip_vitb32,ln_post,19.0,0.016292653996919104,0.0165254763270038,0.3372447013978924
MFC,within face_person,dinov2_small,norm,19.0,0.033436196617816584,0.014811668350490772,0.03664442153038892
MFC,within face_person,resnet50,avgpool,19.0,0.0227761464920867,0.014926341288713315,0.14441339353342972
MFC,within face_person,resnet50,layer2,19.0,0.003072338963370018,0.021684904101547737,0.888905669963001
