subject,region,scope,model,layer,n_images,rho
1,MTL,all,alexnet,conv1,63,0.020407154137466122
1,MTL,between-category pairs,alexnet,conv1,63,-0.025049078536901578
1,MTL,within-category pairs (all cats),alexnet,conv1,63,0.071044228328634
1,MTL,within face_person,alexnet,conv1,41,0.07431682821599937
1,MTL,all,alexnet,conv4,63,0.039844679562654924
1,MTL,between-category pairs,alexnet,conv4,63,0.05953945926341184
1,MTL,within-category pairs (all cats),alexnet,conv4,63,0.014163523118488265
1,MTL,within face_person,alexnet,conv4,41,0.02188450172170204
1,MTL,all,resnet50,layer2,63,0.03438853843378698
1,MTL,between-category pairs,resnet50,layer2,63,0.02681779736063012
1,MTL,within-category pairs (all cats),resnet50,layer2,63,0.03606596498279283
1,MTL,within face_person,resnet50,layer2,41,0.03838537505986482
1,MTL,all,resnet50,avgpool,63,0.07010701576825007
1,MTL,between-category pairs,resnet50,avgpool,63,0.10996363650232857
1,MTL,within-category pairs (all cats),resnet50,avgpool,63,0.04964894478050932
1,MTL,within face_person,resnet50,avgpool,41,0.05198102650941248
1,MTL,all,vit_b_16,ln,63,0.061313716718439146
1,MTL,between-category pairs,vit_b_16,ln,63,0.08160683609896331
1,MTL,within-category pairs (all cats),vit_b_16,ln,63,0.042660839944698194
1,MTL,within face_person,vit_b_16,ln,41,0.035624731961739174
1,MTL,all,dinov2_small,norm,63,0.06067800645229851
1,MTL,between-category pairs,dinov2_small,norm,63,0.09301422455446029
1,MTL,within-category pairs (all cats),dinov2_small,norm,63,0.05002588223547312
1,MTL,within face_person,dinov2_small,norm,41,0.05239343408144096
1,MTL,all,clip_vitb32,ln_post,63,0.03682918257903631
1,MTL,between-category pairs,clip_vitb32,ln_post,63,0.030809699454706088
1,MTL,within-category pairs (all cats),clip_vitb32,ln_post,63,0.04960763115574983
1,MTL,within face_person,clip_vitb32,ln_post,41,0.03837138075574247
1,MFC,all,alexnet,conv1,63,-0.018581600451182
1,MFC,between-category pairs,alexnet,conv1,63,-0.00704983127662604
1,MFC,within-category pairs (all cats),alexnet,conv1,63,-0.02885418992039188
1,MFC,within face_person,alexnet,conv1,41,-0.025018289989621797
1,MFC,all,alexnet,conv4,63,-0.018540307676390793
1,MFC,between-category pairs,alexnet,conv4,63,-0.01366674740446602
1,MFC,within-category pairs (all cats),alexnet,conv4,63,-0.02189709005153697
1,MFC,within face_person,alexnet,conv4,41,-0.02179685776726863
1,MFC,all,resnet50,layer2,63,-0.027288813416957994
1,MFC,between-category pairs,resnet50,layer2,63,0.00816109029246708
1,MFC,within-category pairs (all cats),resnet50,layer2,63,-0.04522269939590475
1,MFC,within face_person,resnet50,layer2,41,-0.043504156340970455
1,MFC,all,resnet50,avgpool,63,-0.013613779851133758
1,MFC,between-category pairs,resnet50,avgpool,63,0.005936354798567174
1,MFC,within-category pairs (all cats),resnet50,avgpool,63,-0.015285567199730916
1,MFC,within face_person,resnet50,avgpool,41,-0.015327571728154002
1,MFC,all,vit_b_16,ln,63,-0.012991644828357763
1,MFC,between-category pairs,vit_b_16,ln,63,0.002298909605086167
1,MFC,within-category pairs (all cats),vit_b_16,ln,63,-0.022302504679972655
1,MFC,within face_person,vit_b_16,ln,41,-0.02168453334491182
1,MFC,all,dinov2_small,norm,63,-0.020410280937913586
1,MFC,between-category pairs,dinov2_small,norm,63,-0.024008929099461764
1,MFC,within-category pairs (all cats),dinov2_small,norm,63,-0.006147850482911246
1,MFC,within face_person,dinov2_small,norm,41,-0.007881274326121478
1,MFC,all,clip_vitb32,ln_post,63,-0.01951036650495841
1,MFC,between-category pairs,clip_vitb32,ln_post,63,-0.013953154824520352
1,MFC,within-category pairs (all cats),clip_vitb32,ln_post,63,-0.019544721485344092
1,MFC,within face_person,clip_vitb32,ln_post,41,-0.028862610211946235
1,MTL_concept,all,alexnet,conv1,63,-0.004068579532671144
1,MTL_concept,between-category pairs,alexnet,conv1,63,-0.026585504888539595
1,MTL_concept,within-category pairs (all cats),alexnet,conv1,63,0.019091041800067016
1,MTL_concept,within face_person,alexnet,conv1,41,0.023139549220176654
1,MTL_concept,all,alexnet,conv4,63,0.020957039289006368
1,MTL_concept,between-category pairs,alexnet,conv4,63,0.03201787930916384
1,MTL_concept,within-category pairs (all cats),alexnet,conv4,63,0.010549133906858077
1,MTL_concept,within face_person,alexnet,conv4,41,0.012225667838988893
1,MTL_concept,all,resnet50,layer2,63,0.013676393184359868
1,MTL_concept,between-category pairs,resnet50,layer2,63,0.013060049741668979
1,MTL_concept,within-category pairs (all cats),resnet50,layer2,63,0.01913375756027484
1,MTL_concept,within face_person,resnet50,layer2,41,0.01928915681923614
1,MTL_concept,all,resnet50,avgpool,63,0.03218700511657318
1,MTL_concept,between-category pairs,resnet50,avgpool,63,0.027904291758422486
1,MTL_concept,within-category pairs (all cats),resnet50,avgpool,63,0.044061119044696284
1,MTL_concept,within face_person,resnet50,avgpool,41,0.043706127013218306
1,MTL_concept,all,vit_b_16,ln,63,0.06331031975985554
1,MTL_concept,between-category pairs,vit_b_16,ln,63,0.09382036076912856
1,MTL_concept,within-category pairs (all cats),vit_b_16,ln,63,0.027751973219291928
1,MTL_concept,within face_person,vit_b_16,ln,41,0.024629518209625747
1,MTL_concept,all,dinov2_small,norm,63,0.03801958821110982
1,MTL_concept,between-category pairs,dinov2_small,norm,63,0.048394724772691834
1,MTL_concept,within-category pairs (all cats),dinov2_small,norm,63,0.04618014067486714
1,MTL_concept,within face_person,dinov2_small,norm,41,0.048304224419016016
1,MTL_concept,all,clip_vitb32,ln_post,63,0.06155312878897011
1,MTL_concept,between-category pairs,clip_vitb32,ln_post,63,0.10216251572152997
1,MTL_concept,within-category pairs (all cats),clip_vitb32,ln_post,63,0.04489783843639542
1,MTL_concept,within face_person,clip_vitb32,ln_post,41,0.04324629550855747
2,MTL,all,alexnet,conv1,63,0.014580033680908537
2,MTL,between-category pairs,alexnet,conv1,63,0.0080279525874766
2,MTL,within-category pairs (all cats),alexnet,conv1,63,0.031263446808943884
2,MTL,within face_person,alexnet,conv1,38,0.03914279572174309
2,MTL,all,alexnet,conv4,63,-0.0016334205783149688
2,MTL,between-category pairs,alexnet,conv4,63,-0.006094585156507759
2,MTL,within-category pairs (all cats),alexnet,conv4,63,-0.004070042244556416
2,MTL,within face_person,alexnet,conv4,38,-0.008373861992283045
2,MTL,all,resnet50,layer2,63,0.002325857867102095
2,MTL,between-category pairs,resnet50,layer2,63,-0.0038274643838015765
2,MTL,within-category pairs (all cats),resnet50,layer2,63,0.012620150181802904
2,MTL,within face_person,resnet50,layer2,38,0.01606960981960982
2,MTL,all,resnet50,avgpool,63,0.027346619757636338
2,MTL,between-category pairs,resnet50,avgpool,63,0.04086992626988898
2,MTL,within-category pairs (all cats),resnet50,avgpool,63,0.01631474962151457
2,MTL,within face_person,resnet50,avgpool,38,0.01885667181719813
2,MTL,all,vit_b_16,ln,63,0.014465558310791379
2,MTL,between-category pairs,vit_b_16,ln,63,0.01710348709145177
2,MTL,within-category pairs (all cats),vit_b_16,ln,63,-0.0011400787549283268
2,MTL,within face_person,vit_b_16,ln,38,0.0027423333344385975
2,MTL,all,dinov2_small,norm,63,0.014227214281835186
2,MTL,between-category pairs,dinov2_small,norm,63,0.010241615384598453
2,MTL,within-category pairs (all cats),dinov2_small,norm,63,0.02149587788199821
2,MTL,within face_person,dinov2_small,norm,38,0.024308629571787466
2,MTL,all,clip_vitb32,ln_post,63,0.021462048974258675
2,MTL,between-category pairs,clip_vitb32,ln_post,63,0.031421500033030215
2,MTL,within-category pairs (all cats),clip_vitb32,ln_post,63,0.005826867650223639
2,MTL,within face_person,clip_vitb32,ln_post,38,0.01014373547268284
2,MFC,all,alexnet,conv1,63,-0.020034244924698658
2,MFC,between-category pairs,alexnet,conv1,63,-0.019247685679296214
2,MFC,within-category pairs (all cats),alexnet,conv1,63,-0.06285602410604357
2,MFC,within face_person,alexnet,conv1,38,-0.05638160243423401
2,MFC,all,alexnet,conv4,63,0.010471342179591461
2,MFC,between-category pairs,alexnet,conv4,63,-0.03029634241133911
2,MFC,within-category pairs (all cats),alexnet,conv4,63,-0.03874167182840793
2,MFC,within face_person,alexnet,conv4,38,-0.03433651953388796
2,MFC,all,resnet50,layer2,63,0.012552199686233551
2,MFC,between-category pairs,resnet50,layer2,63,0.0214908885463019
2,MFC,within-category pairs (all cats),resnet50,layer2,63,-0.07796317202448194
2,MFC,within face_person,resnet50,layer2,38,-0.07043369049947996
2,MFC,all,resnet50,avgpool,63,0.04071277344474009
2,MFC,between-category pairs,resnet50,avgpool,63,0.03340207332206383
2,MFC,within-category pairs (all cats),resnet50,avgpool,63,-0.031736546286629884
2,MFC,within face_person,resnet50,avgpool,38,-0.03285746871273187
2,MFC,all,vit_b_16,ln,63,0.009484080310334285
2,MFC,between-category pairs,vit_b_16,ln,63,0.016543743070619142
2,MFC,within-category pairs (all cats),vit_b_16,ln,63,-0.05829325157868536
2,MFC,within face_person,vit_b_16,ln,38,-0.054864419995998934
2,MFC,all,dinov2_small,norm,63,0.028907598764945724
2,MFC,between-category pairs,dinov2_small,norm,63,0.026086987445114684
2,MFC,within-category pairs (all cats),dinov2_small,norm,63,-0.0560774573642903
2,MFC,within face_person,dinov2_small,norm,38,-0.055036426746953054
2,MFC,all,clip_vitb32,ln_post,63,0.03338285727740139
2,MFC,between-category pairs,clip_vitb32,ln_post,63,0.03516000890943681
2,MFC,within-category pairs (all cats),clip_vitb32,ln_post,63,-0.024418351824518042
