area,bin,mean,sem,count
amygdala,1,0.11497123507047351,0.017223236252587926,101
amygdala,2,0.1454065625213705,0.020750290584838734,101
amygdala,3,0.1734193532431683,0.023151531241985192,101
amygdala,4,0.16702764290459385,0.021417313329925598,101
amygdala,5,0.17404914965606724,0.02300259307317125,101
dACC,1,0.021524277396877404,0.0566978339313361,15
dACC,2,0.05560260240160712,0.056441396385976006,15
dACC,3,0.1242802171388245,0.05098186419574831,15
dACC,4,0.1799194587604753,0.03846571334602267,15
dACC,5,0.1717813552637599,0.03820700482693341,15
hippocampus,1,0.048662155288101604,0.020970762241437242,33
hippocampus,2,0.06308119577700791,0.02376332312176625,33
hippocampus,3,0.07265152280693998,0.023027378480347922,33
hippocampus,4,0.07247964740316588,0.02272289405938363,33
hippocampus,5,0.07026675288128754,0.023570106421223664,33
preSMA,1,0.020717682028109266,0.027276707012484976,11
preSMA,2,0.03754311346504462,0.028155539407591707,11
preSMA,3,0.050996006964703085,0.03450292359553076,11
preSMA,4,0.04981794929885637,0.035810009453007254,11
preSMA,5,0.05061830829328265,0.03764938844521406,11
vmPFC,1,-0.022422664869461855,0.16991430974123542,3
vmPFC,2,-0.0226883351065743,0.16860565459068724,3
vmPFC,3,-0.021493721164117085,0.12780934253406495,3
vmPFC,4,-0.03393653989637665,0.1099508555371786,3
vmPFC,5,-0.02778302820583935,0.12547170926527257,3
