subject,unit,area,model,layer,view,r,reliability,rel_depth
1,34,amygdala,dinov2_small,block8,cls,0.3667622932889696,0.4559291335130796,0.5
1,36,amygdala,resnet18,logits,gap,0.1002609684679227,0.4868906820108563,1.0
1,38,amygdala,clip_vitb32,block11,gap,0.2515301392555454,0.3917284437840322,0.6
2,0,amygdala,convnext_tiny,logits,gap,0.2548215066443154,0.4051831348091533,1.0
3,39,hippocampus,dinov2_small,block2,gap,0.2642371636838645,0.3449966607398704,0.0
4,8,amygdala,convnext_tiny,stage1,gap,0.2787340499252734,0.2908997469340159,0.0
4,13,amygdala,alexnet,logits,gap,0.133507030345463,0.3157261752901666,1.0
4,15,amygdala,dinov2_small,block2,gap,0.1712778224507267,0.3107988638620128,0.0
4,25,amygdala,alexnet,logits,gap,0.3890655977579801,0.5267688264463292,1.0
4,33,hippocampus,convnext_tiny,logits,gap,0.0735777476968235,0.4626170251478244,1.0
4,40,amygdala,vit_b_16,ln,gap,0.393492340127883,0.8453589842424749,0.8
4,41,amygdala,dinov2_small,block8,cls,0.6152121389708483,0.570200447431739,0.5
4,43,amygdala,resnet50,layer4,gap,0.3716998354966988,0.3264884313659627,0.6666666666666666
4,44,amygdala,clip_vitb32,ln_post,cls,0.5807121471926162,0.7750531328892187,0.8
4,45,amygdala,alexnet,fc7,gap,0.0876943948849836,0.3898474215527064,0.8571428571428571
4,46,amygdala,dinov2_small,block2,gap,0.1319540978128743,0.4778770505617263,0.0
5,5,amygdala,resnet50,logits,gap,0.4260064501725535,0.4422953559731942,1.0
5,6,amygdala,dinov2_small,block8,cls,-0.054058912316445,0.3250928351724459,0.5
7,17,amygdala,alexnet,conv5,gap,0.1784107629738808,0.5975625394357604,0.5714285714285714
7,20,amygdala,resnet50,logits,gap,0.2365733558065604,0.5684141751102271,1.0
7,21,amygdala,clip_vitb32,embed,gap,0.3851108770954154,0.3577778732889793,1.0
7,23,amygdala,vit_b_16,block11,gap,0.3938662192136536,0.7626922427515406,0.6
7,24,amygdala,clip_vitb32,block11,cls,0.7676124440988816,0.4131092004479024,0.6
7,25,amygdala,vgg16,fc7,gap,0.1035285953537744,0.7092112671215973,0.8571428571428571
7,26,amygdala,clip_vitb32,block11,gap,0.6002177746430575,0.6497227669439226,0.6
7,30,amygdala,clip_vitb32,embed,gap,0.579992048137494,0.7933056515668715,1.0
8,34,hippocampus,vgg16,conv5_3,gap,0.3462452128932669,0.3016084175962304,0.5714285714285714
8,37,hippocampus,dinov2_small,block5,cls,0.4626071988315248,0.3916881092716512,0.25
8,38,hippocampus,resnet50,layer1,gap,0.3520956379326907,0.3880429274715104,0.16666666666666666
8,42,hippocampus,vit_b_16,block2,gap,0.2509973666052822,0.4689173208021537,0.0
8,45,hippocampus,vit_b_16,block8,gap,0.5448211310077486,0.4794730106409458,0.4
10,64,amygdala,vgg16,fc6,gap,0.0902680897189611,0.3355888090711669,0.7142857142857143
10,67,amygdala,convnext_tiny,stage1,gap,0.2237433603765963,0.2531790021819925,0.0
10,70,amygdala,dinov2_small,norm,gap,0.2212852805059724,0.3393077245818294,1.0
10,71,amygdala,resnet50,layer4,gap,0.0663927833728835,0.2945527347451889,0.6666666666666666
11,6,hippocampus,clip_vitb32,block11,cls,0.2651469261347741,0.2935104107533643,0.6
11,11,hippocampus,clip_vitb32,block8,gap,0.4303767637995649,0.7381704421667472,0.4
11,12,hippocampus,clip_vitb32,block5,gap,0.4044272837188359,0.7076401227063964,0.2
11,13,hippocampus,clip_vitb32,block5,gap,0.1637616271235675,0.3951514037902925,0.2
11,17,hippocampus,vgg16,conv4_3,gap,0.0659341836746602,0.7210735626099342,0.42857142857142855
11,25,amygdala,alexnet,fc7,gap,0.06042268115845,0.2806928250899355,0.8571428571428571
11,28,amygdala,clip_vitb32,block2,cls,0.1006074676735601,0.2982636766233918,0.0
11,31,amygdala,dinov2_small,block8,gap,0.0630354857791713,0.3735722120533829,0.5
11,34,amygdala,alexnet,fc7,gap,0.0775267833105353,0.3448368521074519,0.8571428571428571
11,65,hippocampus,dinov2_small,block8,cls,0.2014757448917314,0.4121424495058668,0.5
11,68,hippocampus,clip_vitb32,block11,cls,0.117729220157903,0.5440363084379315,0.6
12,14,amygdala,clip_vitb32,block11,gap,0.1762677227460546,0.7462608842843302,0.6
12,15,amygdala,clip_vitb32,block8,cls,0.363615202914835,0.4813437468836333,0.4
13,17,amygdala,resnet18,logits,gap,0.6543892409536252,0.6833298894127127,1.0
13,18,amygdala,dinov2_small,block8,cls,0.4012301189611116,0.7482780866852123,0.5
13,19,amygdala,clip_vitb32,block11,cls,0.5384512503196289,0.5964781514248643,0.6
13,20,amygdala,alexnet,logits,gap,0.1771348066681424,0.3872439627072169,1.0
13,25,amygdala,vit_b_16,block8,cls,0.1083683240063553,0.5241814855517798,0.4
13,26,amygdala,clip_vitb32,ln_post,cls,0.1237112262759317,0.3407977995253527,0.8
13,28,amygdala,alexnet,conv4,gap,0.1132995192915858,0.3596104960196446,0.42857142857142855
13,30,amygdala,vgg16,conv1_2,gap,-0.0067226978790669,0.350007394702818,0.0
13,31,amygdala,vit_b_16,logits,gap,0.1124673206665081,0.4095699085304137,1.0
13,32,hippocampus,vgg16,conv5_3,gap,0.2839664059411807,0.3522344737126614,0.5714285714285714
13,33,hippocampus,dinov2_small,block2,cls,-0.0491242341604324,0.3044082642536425,0.0
13,35,hippocampus,clip_vitb32,ln_post,cls,0.5605488229161093,0.4779179087092569,0.8
13,37,hippocampus,resnet50,layer4,gap,0.3257490503903997,0.6077708066441667,0.6666666666666666
13,46,hippocampus,vgg16,fc7,gap,0.0043443355455014,0.5492026992348189,0.8571428571428571
13,75,amygdala,vit_b_16,ln,gap,0.7914962080618126,0.7648368219977504,0.8
13,77,amygdala,clip_vitb32,ln_post,cls,0.7868033397974898,0.8426060536869135,0.8
13,78,amygdala,vit_b_16,block8,cls,0.4947752721696312,0.3367957068872159,0.4
13,80,amygdala,clip_vitb32,block11,cls,0.4139097310545396,0.5359529467985453,0.6
13,82,amygdala,vgg16,conv4_3,gap,0.3643054086108648,0.3363009701207267,0.42857142857142855
13,83,amygdala,dinov2_small,norm,gap,0.7057641646872912,0.6843270399026531,1.0
13,84,amygdala,vit_b_16,logits,gap,0.4921121320075612,0.4232362741271436,1.0
13,85,amygdala,dinov2_small,block8,cls,0.7695009230425477,0.8678305877148048,0.5
13,86,amygdala,vgg16,conv4_3,gap,0.670785619984682,0.6800877503093359,0.42857142857142855
13,88,amygdala,dinov2_small,block5,cls,0.2150348667431748,0.5622017569012389,0.25
13,89,amygdala,dinov2_small,block8,gap,0.4997018226918948,0.4701569036622952,0.5
13,90,amygdala,dinov2_small,block8,cls,0.684655038599834,0.6056171427256826,0.5
13,92,amygdala,clip_vitb32,block8,gap,0.8276106965904677,0.7528970274315907,0.4
13,93,amygdala,dinov2_small,block11,gap,0.5711124822838404,0.6047576010878548,0.75
13,94,amygdala,vit_b_16,block11,cls,0.7163227599942752,0.6989528386357158,0.6
13,95,amygdala,clip_vitb32,embed,gap,0.1837299589924685,0.569776531845474,1.0
13,97,amygdala,alexnet,conv4,gap,0.411541978322397,0.4213858643949038,0.42857142857142855
13,98,amygdala,alexnet,logits,gap,0.4726239542034045,0.6609780701580692,1.0
14,14,hippocampus,clip_vitb32,ln_post,cls,0.3916409057408083,0.3188312401017312,0.8
14,15,hippocampus,resnet18,logits,gap,0.0797407635349254,0.3518506753992036,1.0
14,16,hippocampus,vit_b_16,block2,gap,0.1057759362145424,0.7270354465159854,0.0
14,17,hippocampus,resnet50,layer4,gap,0.0482932648270966,0.4801075456246183,0.6666666666666666
14,18,hippocampus,alexnet,conv1,gap,0.2395491095741402,0.4552878730996949,0.0
14,19,hippocampus,clip_vitb32,block2,gap,0.1878940120474427,0.2576105952620932,0.0
14,45,amygdala,clip_vitb32,block11,cls,0.3004333329352732,0.5389748295570347,0.6
14,46,amygdala,clip_vitb32,block11,cls,-0.0238976322537729,0.8748949313930724,0.6
14,47,amygdala,vgg16,conv1_2,gap,0.1055412729184542,0.7074693321181886,0.0
14,48,amygdala,clip_vitb32,block8,cls,0.7395364385177388,0.7540932047930979,0.4
14,49,amygdala,alexnet,conv4,gap,0.1927440714735554,0.7440908214123494,0.42857142857142855
14,50,amygdala,dinov2_small,block8,gap,0.6069390055810975,0.2785511326903598,0.5
14,51,amygdala,clip_vitb32,block11,cls,0.3531621764373214,0.6866152126663538,0.6
14,52,amygdala,dinov2_small,norm,cls,0.0186618614298706,0.3069756423151526,1.0
14,53,amygdala,vit_b_16,ln,gap,0.6830372984587785,0.8205378680239758,0.8
14,55,amygdala,dinov2_small,block8,gap,0.5408724426077507,0.4925728599045696,0.5
14,56,amygdala,clip_vitb32,block8,cls,0.5057535036619332,0.2734523841056998,0.4
14,59,amygdala,dinov2_small,norm,gap,0.38576761663143,0.6625790944786727,1.0
14,60,amygdala,alexnet,fc6,gap,0.6049704300795657,0.5125104904804224,0.7142857142857143
14,61,amygdala,clip_vitb32,embed,gap,0.0656538321717999,0.5515494289497994,1.0
14,62,amygdala,clip_vitb32,ln_post,cls,0.4602355104631082,0.8823407005111326,0.8
14,63,amygdala,alexnet,conv3,gap,0.2877046086273856,0.3519660130177939,0.2857142857142857
14,68,hippocampus,dinov2_small,norm,cls,0.2493482780782198,0.5715078353596156,1.0
14,69,hippocampus,dinov2_small,block8,gap,0.2758937305228823,0.2778835802788801,0.5
