region,model,layer,n,r_obs,null_mean,r_debiased,r_debiased_sem,frac_sig
MFC,alexnet,fc6,29,0.0004375682886664,-0.1096267522497001,0.1100643205383666,0.0420210197220625,0.2413793103448276
MFC,baseline,category,29,-0.106844579031592,-0.2214142241514389,0.1145696451198469,0.0456909036429467,0.2068965517241379
MFC,clip_vitb32,ln_post,29,0.0060280741354264,-0.2064737892598985,0.2125018633953249,0.0531933336527307,0.3793103448275862
MFC,dinov2_small,block8,29,-0.027665263417655,-0.183861590423053,0.156196327005398,0.0512355433712434,0.3103448275862069
MFC,resnet50,avgpool,29,-0.0126261460572311,-0.132598636506169,0.1199724904489378,0.0421507531801752,0.2758620689655172
MFC,vgg16,fc7,29,0.0341704427038688,-0.0935219259723054,0.1276923686761744,0.03490531578064,0.2068965517241379
MTL,alexnet,fc6,134,0.0965338941377142,-0.1085822347063588,0.2051161288440731,0.0228552875562482,0.3880597014925373
MTL,baseline,category,134,-0.0074959675462372,-0.2135536603735566,0.2060576928273194,0.0269947012791091,0.3208955223880597
MTL,clip_vitb32,ln_post,134,0.0846973780741448,-0.2007087951286904,0.2854061732028353,0.02745623577345,0.4701492537313433
MTL,dinov2_small,block8,134,0.0734187517842226,-0.1836557273398817,0.2570744791241043,0.0267425412408231,0.3955223880597014
MTL,resnet50,avgpool,134,0.0687504123228301,-0.1340818618380281,0.2028322741608583,0.0218136601442648,0.3358208955223881
MTL,vgg16,fc7,134,0.1013216642652788,-0.0904456739930981,0.1917673382583769,0.0221761273058524,0.3358208955223881
MFC,alexnet,conv1,29,-0.0814818763843813,-0.2028345176715617,0.1213526412871803,0.0484751651428048,0.2068965517241379
MFC,alexnet,conv3,29,-0.0865250356590625,-0.1981829952908278,0.1116579596317653,0.0480584184062526,0.2413793103448276
MFC,alexnet,conv5,29,-0.0694067820921917,-0.1856178281163302,0.1162110460241385,0.0517893950714252,0.2413793103448276
MFC,baseline,lowlevel,29,-0.1322872632999315,-0.2130828571053226,0.080795593805391,0.0359605689682703,0.1379310344827586
MFC,clip_vitb32,block11,29,0.0084559568016017,-0.1955932540840937,0.2040492108856954,0.051422418544938,0.3103448275862069
MFC,clip_vitb32,block2,29,-0.1221096929471913,-0.1548136590907435,0.0327039661435521,0.0528358583468807,0.2068965517241379
MFC,clip_vitb32,block5,29,-0.090746742834246,-0.1789272505375827,0.0881805077033366,0.0486495936035296,0.2068965517241379
MFC,clip_vitb32,block8,29,-0.0603519383647107,-0.1770337337267851,0.1166817953620743,0.0489548498492985,0.2068965517241379
MFC,resnet50,layer1,29,-0.0687651007110271,-0.190366429232107,0.1216013285210799,0.0495225986194134,0.3448275862068966
MFC,resnet50,layer2,29,-0.0937437819104071,-0.1808557298734197,0.0871119479630126,0.0526915370627255,0.2068965517241379
MFC,resnet50,layer3,29,-0.0389899688195127,-0.1745739282318714,0.1355839594123586,0.0499911824680771,0.3103448275862069
MFC,resnet50,layer4,29,-0.0126261460572311,-0.133040813448857,0.1204146673916258,0.0428311448300772,0.2413793103448276
MTL,alexnet,conv1,134,-0.0474415460115154,-0.1948763125772555,0.1474347665657401,0.0219263606838148,0.2462686567164179
MTL,alexnet,conv3,134,0.0132564445807428,-0.1905134823930923,0.2037699269738352,0.0244345022510496,0.3283582089552239
MTL,alexnet,conv5,134,0.0057393760887137,-0.1934867507878359,0.1992261268765496,0.025426812557954,0.3134328358208955
MTL,baseline,lowlevel,134,-0.1112997253801008,-0.2047266211469736,0.0934268957668728,0.0185894600076918,0.1492537313432835
MTL,clip_vitb32,block11,134,0.0786106377256655,-0.1931369175374814,0.271747555263147,0.0271478526088002,0.4104477611940298
MTL,clip_vitb32,block2,134,-0.0049610010081544,-0.1567025606705305,0.1517415596623761,0.0216159727684781,0.2537313432835821
MTL,clip_vitb32,block5,134,-0.0124807644014595,-0.1767501722471541,0.1642694078456945,0.0256757812802672,0.2611940298507462
MTL,clip_vitb32,block8,134,0.0321667234169277,-0.1837002887244571,0.2158670121413849,0.0260403280519276,0.3208955223880597
MTL,resnet50,layer1,134,-0.0259210973494701,-0.1897716286189908,0.1638505312695207,0.0239289152331595,0.291044776119403
MTL,resnet50,layer2,134,0.0272602952057384,-0.1803552638758946,0.207615559081633,0.0242976635830876,0.3208955223880597
MTL,resnet50,layer3,134,0.0568330106802234,-0.1678679078689269,0.2247009185491504,0.0265704324028285,0.3358208955223881
MTL,resnet50,layer4,134,0.0687504123228301,-0.1363016503062269,0.2050520626290571,0.0218566177508436,0.3582089552238806
MFC,alexnet,conv2,29,-0.1078529828078148,-0.2001962969475793,0.0923433141397645,0.0511205524698215,0.2068965517241379
MFC,alexnet,conv4,29,-0.0730955689661621,-0.2108557838482027,0.1377602148820406,0.0550583523640706,0.3103448275862069
MFC,alexnet,fc7,29,0.0240116196214124,-0.0503141896694175,0.07432580929083,0.0337083125071824,0.2068965517241379
MFC,alexnet,logits,29,-0.0193969576044853,-0.1535696078684838,0.1341726502639984,0.0416652242223542,0.1724137931034483
MFC,clip_rn50,attnpool,29,-0.0486807148252827,-0.188021629733133,0.1393409149078503,0.0410103474897887,0.2068965517241379
MFC,clip_rn50,layer2,29,-0.1040975362947921,-0.1795669190844193,0.0754693827896272,0.0472866327136883,0.1724137931034483
MFC,clip_rn50,layer4,29,0.0015475581686362,-0.1416341985472479,0.1431817567158842,0.0484270038087388,0.2413793103448276
MFC,clip_vitb32,embed,29,-0.0289761605168663,-0.2106658525981544,0.1816896920812881,0.0528168379773118,0.3103448275862069
MFC,convnext_tiny,logits,29,-0.007853267745533,-0.1704608320500401,0.1626075643045071,0.0396310992339213,0.2068965517241379
MFC,convnext_tiny,stage2,29,-0.0931712373335762,-0.1940990971486785,0.1009278598151023,0.0497186436105653,0.2413793103448276
MFC,convnext_tiny,stage4,29,-0.0339129271628021,-0.2011950506565546,0.1672821234937525,0.0465114965572904,0.2758620689655172
MFC,dinov2_small,block2,29,-0.1209184241265245,-0.1859076981147716,0.064989273988247,0.0505964853783846,0.1379310344827586
MFC,dinov2_small,block5,29,-0.0449791469056738,-0.1901372410489493,0.1451580941432754,0.046527902003152,0.2413793103448276
MFC,dinov2_small,norm,29,-0.0330517468867534,-0.2158077230056326,0.1827559761188792,0.0434312185526467,0.3103448275862069
MFC,facenet_vggface2,embed,29,-0.058874855508116,-0.2018143758547058,0.1429395203465898,0.0405405572362374,0.1034482758620689
MFC,resnet18,layer2,29,-0.1230283582033327,-0.2082543263725974,0.0852259681692647,0.0503171555660813,0.2068965517241379
MFC,resnet18,layer4,29,-0.026372315187201,-0.200229450936039,0.1738571357488379,0.0412740379077496,0.2068965517241379
MFC,resnet18,logits,29,0.0001298997993434,-0.1491588570905277,0.1492887568898711,0.0355483345167,0.1379310344827586
MFC,vgg16,conv3_3,29,-0.1124072058924582,-0.1961810439611978,0.0837738380687395,0.0519910429914203,0.2068965517241379
MFC,vgg16,conv5_3,29,-0.011054765040828,-0.1825052262933878,0.1714504612525598,0.0430139316013916,0.1724137931034483
MFC,vgg16,fc6,29,0.0420896816418066,-0.110376357142844,0.1524660387846507,0.0332642865649156,0.2413793103448276
MFC,vit_b_16,block2,29,-0.0563439167599217,-0.1624489288656257,0.106105012105704,0.0495746286621723,0.2068965517241379
MFC,vit_b_16,block8,29,-0.0239613285504851,-0.2141577920956106,0.1901964635451255,0.0492142785078102,0.2413793103448276
MFC,vit_b_16,ln,29,-0.0317841306311154,-0.2099518468647188,0.1781677162336033,0.0448002752993929,0.2068965517241379
MTL,alexnet,conv2,134,-0.0073464309382961,-0.1979876583735504,0.1906412274352543,0.0237987024030124,0.2537313432835821
MTL,alexnet,conv4,134,0.0170525853009563,-0.1968807785678794,0.2139333638688358,0.0263213634622259,0.2761194029850746
MTL,alexnet,fc7,134,0.0248939871425212,-0.0357551903004806,0.0606491774430018,0.0147875512200416,0.1119402985074626
MTL,alexnet,logits,134,0.0662464108026723,-0.1477197224612665,0.2139661332639389,0.0239213782765045,0.2835820895522388
MTL,clip_rn50,attnpool,134,0.0807776506060114,-0.1926829767140985,0.2734606273201099,0.0263132349760695,0.3432835820895522
MTL,clip_rn50,layer2,134,0.0083609428496013,-0.1841399922360835,0.1925009350856849,0.0263236842697587,0.2537313432835821
MTL,clip_rn50,layer4,134,0.1306432225368634,-0.1332173472114684,0.2638605697483319,0.0273589786617,0.3805970149253731
MTL,clip_vitb32,embed,134,0.0745590951018942,-0.2120446780953688,0.2866037731972631,0.0266981954839744,0.3432835820895522
MTL,convnext_tiny,logits,134,0.0213986931237783,-0.1691401497125012,0.1905388428362796,0.024854676399476,0.2388059701492537
MTL,convnext_tiny,stage2,134,-0.0269174220168627,-0.2030834326692255,0.1761660106523627,0.0248169484501497,0.2238805970149253
MTL,convnext_tiny,stage4,134,0.0494912566556321,-0.2035867340338765,0.2530779906895086,0.0261382871352768,0.3358208955223881
MTL,dinov2_small,block2,134,-0.0224008011455496,-0.1714183264292646,0.1490175252837149,0.0224280182637757,0.2238805970149253
MTL,dinov2_small,block5,134,-0.0066910271370606,-0.1834466758726022,0.1767556487355414,0.0264372615936723,0.2537313432835821
MTL,dinov2_small,norm,134,0.0090361033693104,-0.2160025851228379,0.2250386884921483,0.0262122510298339,0.291044776119403
MTL,facenet_vggface2,embed,134,-0.0162653726908308,-0.1891347423139739,0.1728693696231431,0.0231154808597406,0.2164179104477611
MTL,resnet18,layer2,134,-0.0103544832737923,-0.1988345639897468,0.1884800807159544,0.024791788268462,0.2835820895522388
MTL,resnet18,layer4,134,0.0348368853574113,-0.1979379963796665,0.2327748817370779,0.0252523044085821,0.2537313432835821
MTL,resnet18,logits,134,0.068269715092695,-0.1515549339966646,0.2198246490893596,0.0234080130647036,0.291044776119403
MTL,vgg16,conv3_3,134,0.0061881613387985,-0.1907579091645938,0.1969460705033923,0.0247175828305122,0.2537313432835821
MTL,vgg16,conv5_3,134,0.0289457528530449,-0.1819432585778763,0.2108890114309213,0.0264419388703462,0.3059701492537313
MTL,vgg16,fc6,134,0.0857630327667742,-0.0994242211974266,0.1851872539642008,0.0219586161042441,0.2537313432835821
MTL,vit_b_16,block2,134,0.0044955880146446,-0.1525871815406679,0.1570827695553125,0.0222757364502493,0.2238805970149253
MTL,vit_b_16,block8,134,0.0298289841557321,-0.2015528229050618,0.2313818070607939,0.02613886771537,0.3134328358208955
MTL,vit_b_16,ln,134,0.0235403591315437,-0.1998691822272763,0.2234095413588201,0.0254546963739133,0.2985074626865671
