group,model,best_layer,view,n_units,r_mean,r_sem,r_median,frac_r_pos,r_over_ceiling,wilcoxon_p
MTL concept,alexnet,fc6,gap,132,0.09899477934597363,0.022493869334909596,0.0431637548925148,0.5454545454545454,0.12244303644280927,0.000624965891437427
MTL concept,vgg16,fc7,gap,132,0.1022178649177662,0.02202815385496145,0.056587331701175095,0.5681818181818182,0.12798712985257632,0.00025317613257801283
MTL concept,resnet18,logits,gap,132,0.0675569066141834,0.02352218640168254,0.03327893892473835,0.5303030303030303,0.07718074323662356,0.04370667836082158
MTL concept,resnet50,avgpool,gap,132,0.06759001490234118,0.02209160326423561,0.0163887310414764,0.5151515151515151,0.07755654609670042,0.03370000775768363
MTL concept,convnext_tiny,avgpool,gap,132,0.051131230924027285,0.02627709833799366,-0.00970328623758045,0.48484848484848486,0.04783836161754432,0.22258803693719353
MTL concept,vit_b_16,ln,gap,132,0.07280853771554394,0.026314006442426756,0.01858340332800915,0.5075757575757576,0.08261653240128439,0.05078437762960498
MTL concept,dinov2_small,block8,cls,132,0.07410644879925134,0.027445634382256185,-0.016595439771939148,0.4696969696969697,0.08756329346545973,0.039830280867737114
MTL concept,clip_vitb32,ln_post,cls,132,0.08738952784190925,0.02786887159410668,0.03170697302302105,0.5378787878787878,0.09723886273538954,0.01118020965703948
MTL concept,baseline,category,-,132,-0.007959229374025286,0.027320686265105837,-0.13207405733035898,0.36363636363636365,-0.03453138854224969,0.49419364306130253
MTL non-concept,alexnet,fc7,gap,281,-0.0009326312281853246,0.008032436078389762,0.0030318017026249,0.501779359430605,-0.01606935367485917,0.9505811631357264
MTL non-concept,vgg16,fc7,gap,281,-0.04980109511780266,0.01017830057307871,-0.0494885858793208,0.3594306049822064,-0.20160647535069395,8.257250868856666e-07
MTL non-concept,resnet18,logits,gap,281,-0.09295506685985415,0.011720960133768525,-0.1019847257087868,0.29537366548042704,-0.36226211249182955,2.1704487916297216e-13
MTL non-concept,resnet50,avgpool,gap,281,-0.09456713621897891,0.011163695245180837,-0.1012164606780903,0.28113879003558717,-0.36768201388270844,9.619396911114966e-15
MTL non-concept,convnext_tiny,logits,gap,281,-0.12994812488610677,0.010890647817601734,-0.1470816041041764,0.2491103202846975,-0.4931053585909493,4.140015223675108e-23
MTL non-concept,vit_b_16,block11,gap,281,-0.10082621474743408,0.01133970625297164,-0.1217456905447873,0.2704626334519573,-0.3914081172266118,3.1704709907528633e-16
MTL non-concept,dinov2_small,block8,cls,281,-0.12762519427852717,0.011629262916172917,-0.1622581337275505,0.23843416370106763,-0.48638454943786485,1.5489929194506197e-20
MTL non-concept,clip_vitb32,block2,cls,281,-0.12231581392080268,0.011393124154546708,-0.1245555966902325,0.24199288256227758,-0.4556980327243694,5.3811547776073144e-20
MTL non-concept,baseline,category,-,281,-0.15805824749109929,0.011562803905812968,-0.2059087947060704,0.18505338078291814,-0.6096360549166462,3.530522029581378e-26
MFC concept,alexnet,fc7,gap,27,0.026555085970146778,0.035615843812900366,-0.0085703547556404,0.48148148148148145,0.03370857106501283,0.6616804599761963
MFC concept,vgg16,fc6,gap,27,0.04506405733423401,0.03389514746241031,0.0046157752949219,0.5555555555555556,0.06401493529466651,0.4846055656671524
MFC concept,resnet18,logits,gap,27,0.009627318331359313,0.037930320786468616,-0.0014735472798454,0.48148148148148145,0.004149637173056483,0.6445824354887009
MFC concept,resnet50,avgpool,gap,27,0.0037427817146059037,0.043387085205029687,0.0173812886510357,0.5185185185185185,0.007312356164343466,0.8593128323554993
MFC concept,convnext_tiny,logits,gap,27,0.006869015090938872,0.0384434985021045,0.0056998646861002,0.5185185185185185,-0.006342983852686696,0.9717257022857666
MFC concept,vit_b_16,logits,gap,27,0.05552421760280407,0.04020304683134327,0.0266733421605292,0.5555555555555556,0.08256310346876916,0.3011907488107681
MFC concept,dinov2_small,block8,cls,27,-0.018737840064817077,0.0534342897993448,-0.0651609259274567,0.4444444444444444,-0.05355876992471248,0.6445824354887009
MFC concept,clip_vitb32,block11,cls,27,0.030965244833279802,0.0525195068765582,0.0174118625666222,0.5185185185185185,0.02094586013064684,0.6109333634376526
MFC concept,baseline,category,-,27,-0.09356120397466192,0.04905157990770933,-0.1611781237695189,0.3333333333333333,-0.1750709339726081,0.08593340218067169
MFC non-concept,alexnet,fc7,gap,445,-0.03088034292013913,0.006730679525096402,-0.0386288389773131,0.3865168539325843,-0.11863989628157043,3.3650560359810425e-06
MFC non-concept,vgg16,fc6,gap,445,-0.07604621469654159,0.007824873484162038,-0.0578106387144629,0.3146067415730337,-0.2956693218252087,1.946243349598115e-18
MFC non-concept,resnet18,logits,gap,445,-0.13115964941498123,0.008323064501590344,-0.1328446081601293,0.23370786516853934,-0.5113740033755638,2.1114410628653703e-37
MFC non-concept,resnet50,avgpool,gap,445,-0.10714027883707854,0.00789850668547889,-0.1146072441010226,0.2651685393258427,-0.4209073528572882,7.950530272867172e-31
MFC non-concept,convnext_tiny,logits,gap,445,-0.15808669405200781,0.008493130628974983,-0.170878597320197,0.20898876404494382,-0.6169016400787437,3.47768328698038e-45
MFC non-concept,vit_b_16,logits,gap,445,-0.14196521176139093,0.008635635547433454,-0.1445768346298639,0.21348314606741572,-0.5698424041807927,8.484130294230565e-40
MFC non-concept,dinov2_small,block8,cls,445,-0.16131482808938796,0.00863987127894469,-0.1852934491962203,0.19325842696629214,-0.6280022507763482,4.3984223302790717e-45
MFC non-concept,clip_vitb32,block2,cls,445,-0.14999772653182858,0.00851835598818327,-0.1579616694074736,0.19325842696629214,-0.5615155519100615,1.6822842206833695e-43
MFC non-concept,baseline,lowlevel,-,445,-0.18626132054253253,0.007929759562587261,-0.2235111032380073,0.14606741573033707,-0.7127238568579694,1.946662442318195e-54
