subject,unit,area,region,model,layer,r_obs,null_mean,null_sd,r_debiased,p_cell
1,34,amygdala,MTL,alexnet,conv1,-0.22144728099300065,-0.1674971323038552,0.18062905850020264,-0.05395014868914544,0.5609756097560976
1,34,amygdala,MTL,alexnet,conv3,0.09603890597078824,-0.1460199693617976,0.14549361809562822,0.24205887533258583,0.04878048780487805
1,34,amygdala,MTL,alexnet,conv5,-0.1958022297157488,-0.2003091796881115,0.15012697210736525,0.0045069499723627005,0.4146341463414634
1,34,amygdala,MTL,resnet50,layer1,-0.21406708273594144,-0.14553858515988302,0.21189912471009673,-0.06852849757605842,0.5365853658536586
1,34,amygdala,MTL,resnet50,layer2,0.2303081530269651,-0.16413293157931047,0.15264237933160474,0.3944410846062756,0.024390243902439025
1,34,amygdala,MTL,resnet50,layer3,0.08259105156460486,-0.1874248203804187,0.14774897415348345,0.2700158719450235,0.04878048780487805
1,34,amygdala,MTL,resnet50,layer4,0.21330828953777625,-0.15483855707877056,0.12880041137154566,0.36814684661654684,0.024390243902439025
1,34,amygdala,MTL,clip_vitb32,block2,-0.1970390754721336,-0.15163356063021358,0.19751685426034524,-0.045405514841920014,0.5365853658536586
1,34,amygdala,MTL,clip_vitb32,block5,-0.0060897127894621855,-0.23867046444424317,0.15879717525821255,0.23258075165478098,0.0975609756097561
1,34,amygdala,MTL,clip_vitb32,block8,-0.08529402581843801,-0.2123047258709827,0.16144950914423592,0.1270107000525447,0.17073170731707318
1,34,amygdala,MTL,clip_vitb32,block11,0.12864394877609436,-0.14855595645610215,0.16270790254733122,0.2771999052321965,0.07317073170731707
1,34,amygdala,MTL,baseline,lowlevel,-0.3555069055373939,-0.19356119961634718,0.16139056387670292,-0.1619457059210467,0.8780487804878049
1,36,amygdala,MTL,alexnet,conv1,-0.1647553856176609,-0.1607827255347512,0.17752530867344601,-0.003972660082909696,0.36585365853658536
1,36,amygdala,MTL,alexnet,conv3,-0.2856336353303347,-0.22854802927188422,0.1725982263034839,-0.05708560605845048,0.5609756097560976
1,36,amygdala,MTL,alexnet,conv5,-0.24827141571800151,-0.17179286299331334,0.1571808151499371,-0.07647855272468818,0.6341463414634146
1,36,amygdala,MTL,resnet50,layer1,-0.21411361100988566,-0.19384821461772833,0.15720735467023345,-0.020265396392157325,0.5853658536585366
1,36,amygdala,MTL,resnet50,layer2,-0.2695959452105401,-0.2028402204691125,0.15854580261129966,-0.0667557247414276,0.6585365853658537
1,36,amygdala,MTL,resnet50,layer3,-0.15484450837565567,-0.21670932598992643,0.1723816422233975,0.06186481761427076,0.36585365853658536
1,36,amygdala,MTL,resnet50,layer4,0.06296508760979216,-0.15181613570232294,0.18017613712797007,0.2147812233121151,0.1951219512195122
1,36,amygdala,MTL,clip_vitb32,block2,-0.1782285847123349,-0.13723972370521187,0.16982775675925219,-0.04098886100712304,0.6097560975609756
1,36,amygdala,MTL,clip_vitb32,block5,-0.10127448621506427,-0.19984689468082775,0.12601978938998776,0.09857240846576348,0.24390243902439024
1,36,amygdala,MTL,clip_vitb32,block8,-0.082373101930485,-0.19491756404930796,0.1714605432062029,0.11254446211882296,0.2682926829268293
1,36,amygdala,MTL,clip_vitb32,block11,-0.44249688683594623,-0.19118723464817167,0.1476977647350966,-0.25130965218777457,1.0
1,36,amygdala,MTL,baseline,lowlevel,-0.11730313287061661,-0.1985285821235388,0.16376660668706786,0.08122544925292219,0.21951219512195122
1,38,amygdala,MTL,alexnet,conv1,-0.3451708199380185,-0.16861826397157978,0.15832642937431046,-0.17655255596643873,0.8780487804878049
1,38,amygdala,MTL,alexnet,conv3,-0.19382884535000444,-0.20762118898281398,0.1699431680374469,0.01379234363280954,0.4146341463414634
1,38,amygdala,MTL,alexnet,conv5,-0.2509163361382596,-0.23846202789647553,0.14154544262654534,-0.012454308241784062,0.5365853658536586
1,38,amygdala,MTL,resnet50,layer1,-0.3037638798091416,-0.23135030371910786,0.19266580034708944,-0.07241357609003374,0.5365853658536586
1,38,amygdala,MTL,resnet50,layer2,-0.24907569467638863,-0.13634680011092173,0.16917559806159574,-0.11272889456546689,0.7804878048780488
1,38,amygdala,MTL,resnet50,layer3,-0.04537641005592197,-0.1631188344346775,0.1559726455284977,0.11774242437875554,0.2682926829268293
1,38,amygdala,MTL,resnet50,layer4,-0.1491885395206605,-0.13054723163402265,0.15552982789222963,-0.018641307886637842,0.5365853658536586
1,38,amygdala,MTL,clip_vitb32,block2,-0.21040661269102157,-0.17463823609525347,0.1823390520375785,-0.03576837659576809,0.5609756097560976
1,38,amygdala,MTL,clip_vitb32,block5,-0.32535804726981854,-0.16189452862129464,0.18670784063094595,-0.1634635186485239,0.8292682926829268
1,38,amygdala,MTL,clip_vitb32,block8,-0.062046265932360276,-0.13791797078478477,0.20324839318812893,0.07587170485242449,0.3902439024390244
1,38,amygdala,MTL,clip_vitb32,block11,0.09716620063487114,-0.20460075720435356,0.15391039852618368,0.3017669578392247,0.07317073170731707
1,38,amygdala,MTL,baseline,lowlevel,-0.3341740934216586,-0.17669624349275928,0.16856201852183683,-0.15747784992889932,0.8780487804878049
2,0,amygdala,MTL,alexnet,conv1,-0.1212791040773192,-0.20481847935801428,0.17744987747302832,0.08353937528069508,0.2926829268292683
2,0,amygdala,MTL,alexnet,conv3,-0.04682070865986847,-0.13251587822269578,0.1442174668978898,0.08569516956282731,0.3170731707317073
2,0,amygdala,MTL,alexnet,conv5,-0.06598639521476947,-0.16262235433854982,0.1785901735819439,0.09663595912378035,0.3170731707317073
2,0,amygdala,MTL,resnet50,layer1,-0.30069097969521047,-0.16422610326142761,0.1989741117681225,-0.13646487643378286,0.7317073170731707
