region,model,layer,n,r_obs,null_mean,r_debiased,r_debiased_sem,frac_sig
MFC,alexnet,fc6,29,0.00043756828866644827,-0.10962675224970014,0.1100643205383666,0.042021019722062534,0.2413793103448276
MFC,baseline,category,29,-0.106844579031592,-0.22141422415143897,0.11456964511984698,0.04569090364294677,0.20689655172413793
MFC,clip_vitb32,ln_post,29,0.006028074135426412,-0.20647378925989857,0.21250186339532498,0.05319333365273073,0.3793103448275862
MFC,dinov2_small,block8,29,-0.027665263417655003,-0.18386159042305303,0.156196327005398,0.05123554337124345,0.3103448275862069
MFC,resnet50,avgpool,29,-0.012626146057231119,-0.132598636506169,0.11997249044893789,0.04215075318017522,0.27586206896551724
MFC,vgg16,fc7,29,0.03417044270386889,-0.09352192597230549,0.1276923686761744,0.03490531578064006,0.20689655172413793
MTL,alexnet,fc6,134,0.09653389413771427,-0.1085822347063588,0.2051161288440731,0.022855287556248226,0.3880597014925373
MTL,baseline,category,134,-0.0074959675462372465,-0.21355366037355664,0.2060576928273194,0.026994701279109114,0.3208955223880597
MTL,clip_vitb32,ln_post,134,0.08469737807414483,-0.20070879512869047,0.2854061732028353,0.02745623577345,0.4701492537313433
MTL,dinov2_small,block8,134,0.07341875178422261,-0.18365572733988175,0.25707447912410436,0.02674254124082311,0.39552238805970147
MTL,resnet50,avgpool,134,0.06875041232283019,-0.13408186183802814,0.2028322741608583,0.021813660144264845,0.3358208955223881
MTL,vgg16,fc7,134,0.10132166426527886,-0.09044567399309811,0.19176733825837697,0.022176127305852437,0.3358208955223881
