region,model,layer,n,r_obs,null_mean,r_debiased,r_debiased_sem,frac_sig
MFC,alexnet,conv1,29,-0.08148187638438133,-0.20283451767156171,0.12135264128718039,0.04847516514280482,0.20689655172413793
MFC,alexnet,conv3,29,-0.08652503565906254,-0.19818299529082786,0.11165795963176532,0.04805841840625262,0.2413793103448276
MFC,alexnet,conv5,29,-0.06940678209219173,-0.18561782811633024,0.11621104602413852,0.05178939507142527,0.2413793103448276
MFC,baseline,lowlevel,29,-0.13228726329993154,-0.2130828571053226,0.08079559380539106,0.03596056896827032,0.13793103448275862
MFC,clip_vitb32,block11,29,0.008455956801601761,-0.1955932540840937,0.20404921088569544,0.05142241854493801,0.3103448275862069
MFC,clip_vitb32,block2,29,-0.12210969294719135,-0.15481365909074354,0.032703966143552185,0.05283585834688077,0.20689655172413793
MFC,clip_vitb32,block5,29,-0.09074674283424605,-0.1789272505375827,0.08818050770333666,0.04864959360352962,0.20689655172413793
MFC,clip_vitb32,block8,29,-0.06035193836471074,-0.17703373372678513,0.11668179536207438,0.048954849849298536,0.20689655172413793
MFC,resnet50,layer1,29,-0.06876510071102715,-0.19036642923210706,0.12160132852107991,0.04952259861941341,0.3448275862068966
MFC,resnet50,layer2,29,-0.09374378191040716,-0.18085572987341977,0.08711194796301261,0.052691537062725585,0.20689655172413793
MFC,resnet50,layer3,29,-0.03898996881951277,-0.17457392823187143,0.13558395941235865,0.049991182468077135,0.3103448275862069
MFC,resnet50,layer4,29,-0.012626146057231119,-0.133040813448857,0.12041466739162587,0.04283114483007722,0.2413793103448276
MTL,alexnet,conv1,134,-0.04744154601151542,-0.19487631257725557,0.14743476656574014,0.02192636068381485,0.2462686567164179
MTL,alexnet,conv3,134,0.013256444580742897,-0.1905134823930923,0.20376992697383522,0.024434502251049633,0.3283582089552239
MTL,alexnet,conv5,134,0.005739376088713713,-0.19348675078783595,0.19922612687654967,0.02542681255795406,0.31343283582089554
MTL,baseline,lowlevel,134,-0.11129972538010084,-0.20472662114697365,0.0934268957668728,0.018589460007691825,0.14925373134328357
MTL,clip_vitb32,block11,134,0.07861063772566554,-0.19313691753748147,0.271747555263147,0.027147852608800264,0.41044776119402987
MTL,clip_vitb32,block2,134,-0.004961001008154413,-0.15670256067053057,0.15174155966237612,0.02161597276847811,0.2537313432835821
MTL,clip_vitb32,block5,134,-0.012480764401459569,-0.17675017224715414,0.16426940784569455,0.025675781280267294,0.26119402985074625
MTL,clip_vitb32,block8,134,0.03216672341692772,-0.18370028872445718,0.2158670121413849,0.02604032805192767,0.3208955223880597
MTL,resnet50,layer1,134,-0.0259210973494701,-0.18977162861899086,0.16385053126952073,0.0239289152331595,0.291044776119403
MTL,resnet50,layer2,134,0.027260295205738465,-0.1803552638758946,0.20761555908163304,0.024297663583087638,0.3208955223880597
MTL,resnet50,layer3,134,0.056833010680223485,-0.16786790786892694,0.22470091854915042,0.02657043240282858,0.3358208955223881
MTL,resnet50,layer4,134,0.06875041232283019,-0.13630165030622698,0.20505206262905717,0.021856617750843663,0.3582089552238806
