region,model,layer,n,r_obs,null_mean,r_debiased,r_debiased_sem,frac_sig
MFC,alexnet,conv2,29,-0.10785298280781484,-0.20019629694757937,0.09234331413976452,0.05112055246982158,0.20689655172413793
MFC,alexnet,conv4,29,-0.07309556896616211,-0.21085578384820275,0.13776021488204063,0.055058352364070653,0.3103448275862069
MFC,alexnet,fc7,29,0.024011619621412496,-0.05031418966941755,0.07432580929083005,0.033708312507182495,0.20689655172413793
MFC,alexnet,logits,29,-0.019396957604485347,-0.15356960786848384,0.13417265026399847,0.041665224222354205,0.1724137931034483
MFC,clip_rn50,attnpool,29,-0.04868071482528273,-0.18802162973313302,0.1393409149078503,0.04101034748978879,0.20689655172413793
MFC,clip_rn50,layer2,29,-0.10409753629479215,-0.17956691908441938,0.07546938278962725,0.04728663271368835,0.1724137931034483
MFC,clip_rn50,layer4,29,0.0015475581686362646,-0.14163419854724796,0.1431817567158842,0.04842700380873889,0.2413793103448276
MFC,clip_vitb32,embed,29,-0.028976160516866325,-0.21066585259815448,0.18168969208128818,0.05281683797731184,0.3103448275862069
MFC,convnext_tiny,logits,29,-0.00785326774553301,-0.17046083205004015,0.16260756430450718,0.03963109923392134,0.20689655172413793
MFC,convnext_tiny,stage2,29,-0.09317123733357621,-0.1940990971486785,0.1009278598151023,0.0497186436105653,0.2413793103448276
MFC,convnext_tiny,stage4,29,-0.03391292716280219,-0.20119505065655469,0.1672821234937525,0.04651149655729041,0.27586206896551724
MFC,dinov2_small,block2,29,-0.12091842412652455,-0.1859076981147716,0.06498927398824704,0.050596485378384605,0.13793103448275862
MFC,dinov2_small,block5,29,-0.04497914690567386,-0.19013724104894933,0.14515809414327546,0.04652790200315207,0.2413793103448276
MFC,dinov2_small,norm,29,-0.033051746886753414,-0.21580772300563264,0.18275597611887923,0.04343121855264678,0.3103448275862069
MFC,facenet_vggface2,embed,29,-0.05887485550811606,-0.20181437585470588,0.1429395203465898,0.040540557236237444,0.10344827586206896
MFC,resnet18,layer2,29,-0.12302835820333272,-0.2082543263725974,0.0852259681692647,0.050317155566081316,0.20689655172413793
MFC,resnet18,layer4,29,-0.02637231518720104,-0.200229450936039,0.17385713574883796,0.04127403790774969,0.20689655172413793
MFC,resnet18,logits,29,0.00012989979934340218,-0.1491588570905277,0.14928875688987112,0.035548334516700086,0.13793103448275862
MFC,vgg16,conv3_3,29,-0.1124072058924582,-0.1961810439611978,0.08377383806873959,0.05199104299142038,0.20689655172413793
MFC,vgg16,conv5_3,29,-0.011054765040828042,-0.18250522629338786,0.17145046125255983,0.04301393160139169,0.1724137931034483
MFC,vgg16,fc6,29,0.04208968164180665,-0.11037635714284405,0.1524660387846507,0.03326428656491566,0.2413793103448276
MFC,vit_b_16,block2,29,-0.05634391675992173,-0.16244892886562573,0.106105012105704,0.04957462866217238,0.20689655172413793
MFC,vit_b_16,block8,29,-0.023961328550485137,-0.21415779209561067,0.19019646354512554,0.04921427850781021,0.2413793103448276
MFC,vit_b_16,ln,29,-0.03178413063111547,-0.20995184686471882,0.17816771623360336,0.04480027529939292,0.20689655172413793
MTL,alexnet,conv2,134,-0.007346430938296131,-0.19798765837355042,0.19064122743525433,0.02379870240301248,0.2537313432835821
MTL,alexnet,conv4,134,0.017052585300956356,-0.19688077856787944,0.21393336386883582,0.026321363462225966,0.27611940298507465
MTL,alexnet,fc7,134,0.024893987142521258,-0.03575519030048061,0.06064917744300188,0.01478755122004163,0.11194029850746269
MTL,alexnet,logits,134,0.06624641080267239,-0.14771972246126658,0.21396613326393896,0.023921378276504555,0.2835820895522388
MTL,clip_rn50,attnpool,134,0.08077765060601141,-0.19268297671409854,0.27346062732010995,0.026313234976069532,0.34328358208955223
MTL,clip_rn50,layer2,134,0.00836094284960135,-0.18413999223608354,0.1925009350856849,0.02632368426975874,0.2537313432835821
MTL,clip_rn50,layer4,134,0.13064322253686347,-0.13321734721146844,0.26386056974833194,0.027358978661700038,0.3805970149253731
MTL,clip_vitb32,embed,134,0.07455909510189428,-0.21204467809536887,0.28660377319726316,0.026698195483974462,0.34328358208955223
MTL,convnext_tiny,logits,134,0.021398693123778397,-0.16914014971250124,0.19053884283627964,0.024854676399476094,0.23880597014925373
MTL,convnext_tiny,stage2,134,-0.02691742201686276,-0.20308343266922552,0.17616601065236276,0.02481694845014976,0.22388059701492538
MTL,convnext_tiny,stage4,134,0.049491256655632136,-0.20358673403387653,0.25307799068950865,0.026138287135276835,0.3358208955223881
MTL,dinov2_small,block2,134,-0.02240080114554964,-0.17141832642926463,0.14901752528371495,0.02242801826377573,0.22388059701492538
MTL,dinov2_small,block5,134,-0.006691027137060693,-0.1834466758726022,0.17675564873554148,0.02643726159367233,0.2537313432835821
MTL,dinov2_small,norm,134,0.009036103369310409,-0.2160025851228379,0.2250386884921483,0.02621225102983392,0.291044776119403
MTL,facenet_vggface2,embed,134,-0.01626537269083081,-0.1891347423139739,0.1728693696231431,0.023115480859740672,0.21641791044776118
MTL,resnet18,layer2,134,-0.01035448327379233,-0.1988345639897468,0.18848008071595448,0.024791788268462095,0.2835820895522388
MTL,resnet18,layer4,134,0.034836885357411355,-0.19793799637966653,0.2327748817370779,0.025252304408582157,0.2537313432835821
MTL,resnet18,logits,134,0.06826971509269507,-0.1515549339966646,0.21982464908935964,0.023408013064703602,0.291044776119403
MTL,vgg16,conv3_3,134,0.006188161338798566,-0.19075790916459381,0.19694607050339238,0.0247175828305122,0.2537313432835821
MTL,vgg16,conv5_3,134,0.02894575285304499,-0.18194325857787633,0.21088901143092134,0.026441938870346245,0.30597014925373134
MTL,vgg16,fc6,134,0.08576303276677424,-0.09942422119742664,0.18518725396420085,0.021958616104244134,0.2537313432835821
MTL,vit_b_16,block2,134,0.004495588014644654,-0.1525871815406679,0.15708276955531253,0.02227573645024937,0.22388059701492538
MTL,vit_b_16,block8,134,0.029828984155732145,-0.2015528229050618,0.23138180706079392,0.026138867715370072,0.31343283582089554
