subject,unit,area,region,model,layer,r_obs,null_mean,null_sd,r_debiased,p_cell
1,34,amygdala,MTL,alexnet,conv2,-0.06764892214198384,-0.19343168951909337,0.1835843512095138,0.12578276737710953,0.25806451612903225
1,34,amygdala,MTL,alexnet,conv4,0.01621045422945514,-0.1504788683471713,0.14967720439379661,0.16668932257662644,0.1935483870967742
1,34,amygdala,MTL,alexnet,fc7,0.23511119600405936,-0.058301445537003886,0.12675332845555676,0.2934126415410632,0.03225806451612903
1,34,amygdala,MTL,alexnet,logits,0.01412676793756592,-0.16127875269593367,0.1527484958178903,0.1754055206334996,0.22580645161290322
1,34,amygdala,MTL,vgg16,conv3_3,0.09826118242074594,-0.11791399853634556,0.2212018146263681,0.21617518095709148,0.25806451612903225
1,34,amygdala,MTL,vgg16,conv5_3,-0.12092061807556857,-0.17552798305753406,0.13815068584193577,0.05460736498196549,0.2903225806451613
1,34,amygdala,MTL,vgg16,fc6,0.2463076053213549,-0.0868397512974312,0.14647505728282267,0.3331473566187861,0.0967741935483871
1,34,amygdala,MTL,resnet18,layer2,0.021598473984166602,-0.1672640858125356,0.18796879730268148,0.1888625597967022,0.22580645161290322
1,34,amygdala,MTL,resnet18,layer4,0.058725257615554555,-0.21297982245620614,0.13806124736927125,0.2717050800717607,0.0967741935483871
1,34,amygdala,MTL,resnet18,logits,-0.06544999042612701,-0.1431745833200707,0.14710731912266448,0.07772459289394368,0.3548387096774194
1,34,amygdala,MTL,convnext_tiny,stage2,0.062553095982651,-0.21635942544082531,0.20069328229048844,0.27891252142347633,0.0967741935483871
1,34,amygdala,MTL,convnext_tiny,stage4,0.17220466151012542,-0.22018288549511533,0.16870724407178964,0.39238754700524076,0.03225806451612903
1,34,amygdala,MTL,convnext_tiny,logits,0.25338380792258897,-0.15775004209844123,0.19119818139956204,0.4111338500210302,0.06451612903225806
1,34,amygdala,MTL,vit_b_16,block2,-0.2624213225404159,-0.14519962388087249,0.18429368308180635,-0.1172216986595434,0.7419354838709677
1,34,amygdala,MTL,vit_b_16,block8,0.0068293695223793985,-0.18071887370952253,0.12283046770231087,0.18754824323190192,0.0967741935483871
1,34,amygdala,MTL,vit_b_16,ln,0.21413215956051826,-0.20364284195846238,0.1896693743906718,0.4177750015189806,0.06451612903225806
1,34,amygdala,MTL,dinov2_small,block2,-0.11775211658957499,-0.12025624530321893,0.15051648198236825,0.002504128713643944,0.4838709677419355
1,34,amygdala,MTL,dinov2_small,block5,-0.00850556472688776,-0.1694578386581135,0.14756177542266927,0.16095227393122574,0.16129032258064516
1,34,amygdala,MTL,dinov2_small,norm,0.1377484436724269,-0.23467069754919978,0.15601502528270647,0.37241914122162667,0.03225806451612903
1,34,amygdala,MTL,clip_vitb32,embed,0.2516442291615296,-0.21570084394897032,0.1565854369133172,0.46734507311049994,0.03225806451612903
1,34,amygdala,MTL,clip_rn50,layer2,0.03782022482391449,-0.14544998163614434,0.17676251193815867,0.18327020646005882,0.12903225806451613
1,34,amygdala,MTL,clip_rn50,layer4,0.3286330905085404,-0.15680223343287286,0.14076827204361933,0.48543532394141325,0.03225806451612903
1,34,amygdala,MTL,clip_rn50,attnpool,0.16904590693128393,-0.22754102622838435,0.139405011178565,0.3965869331596683,0.06451612903225806
1,34,amygdala,MTL,facenet_vggface2,embed,-0.42245964110132267,-0.16107508200895676,0.15383846557909278,-0.2613845590923659,0.967741935483871
1,36,amygdala,MTL,alexnet,conv2,-0.23313480639364823,-0.2605570438289781,0.16548648525677065,0.02742223743532987,0.2903225806451613
1,36,amygdala,MTL,alexnet,conv4,-0.27927844826637954,-0.18833624938036525,0.16061015570779869,-0.09094219888601429,0.6774193548387096
1,36,amygdala,MTL,alexnet,fc7,-0.24223676512172224,-0.07239597714558223,0.13276332634520538,-0.16984078797614,0.8709677419354839
1,36,amygdala,MTL,alexnet,logits,0.014470450939326099,-0.20186494410372327,0.21004145810745098,0.21633539504304938,0.16129032258064516
1,36,amygdala,MTL,vgg16,conv3_3,-0.24308537466223998,-0.16056424488115612,0.1835698059013854,-0.08252112978108386,0.5483870967741935
1,36,amygdala,MTL,vgg16,conv5_3,-0.32709554608338853,-0.206466036879321,0.16543659471993485,-0.12062950920406754,0.8064516129032258
1,36,amygdala,MTL,vgg16,fc6,-0.19700024366860985,-0.07520602891170855,0.1289322326658431,-0.1217942147569013,0.8709677419354839
1,36,amygdala,MTL,resnet18,layer2,-0.2605950524734518,-0.2046439262508852,0.160049799038288,-0.05595112622256662,0.6451612903225806
1,36,amygdala,MTL,resnet18,layer4,-0.1778503809430464,-0.20626198844150628,0.14165224568309864,0.02841160749845989,0.3225806451612903
1,36,amygdala,MTL,resnet18,logits,0.10026096846792273,-0.13890683334281798,0.2057272090893023,0.2391678018107407,0.12903225806451613
1,36,amygdala,MTL,convnext_tiny,stage2,0.006674219920730792,-0.18607070741203055,0.1589819004481681,0.19274492733276133,0.16129032258064516
1,36,amygdala,MTL,convnext_tiny,stage4,-0.061293549738081335,-0.22151762464359592,0.15478901067643006,0.1602240749055146,0.12903225806451613
