region,concept_cell,model,layer,view,n_units,r_mean,r_median,r_sem,r_norm_mean,frac_pos
MFC,False,alexnet,conv1,gap,445,-0.18206313683085523,-0.2193831818017249,0.008265429779213018,-0.6885708282481129,0.14831460674157304
MFC,False,alexnet,conv2,gap,445,-0.17292510353770213,-0.21202606222452342,0.008795894708179501,-0.6503229784972475,0.16853932584269662
MFC,False,alexnet,conv3,gap,445,-0.17855354241888113,-0.20697547744894415,0.008758861144412433,-0.6758359096257706,0.16404494382022472
MFC,False,alexnet,conv4,gap,445,-0.1788380865533823,-0.20790476324647175,0.008498522511425242,-0.6789802699298663,0.17303370786516853
MFC,False,alexnet,conv5,gap,445,-0.1692681557359182,-0.20793580633561026,0.008532823318742359,-0.6455335864542201,0.17752808988764046
MFC,False,alexnet,fc6,gap,445,-0.08428870300030906,-0.09478227394634786,0.008166824036531036,-0.31749779469846795,0.31910112359550563
MFC,False,alexnet,fc7,gap,445,-0.030880342920139137,-0.03862883897731312,0.006730679525096401,-0.11863989628157047,0.3865168539325843
MFC,False,alexnet,logits,gap,445,-0.1335306754536328,-0.14202072833719342,0.008701859839622676,-0.5155647955805155,0.23820224719101124
MFC,False,baseline,category,-,445,-0.20112444909513222,-0.23044205440041263,0.007703920748239986,-0.7741277128495944,0.12134831460674157
MFC,False,baseline,lowlevel,-,445,-0.18626132054253253,-0.22351110323800732,0.007929759562587263,-0.7127238568579692,0.14606741573033707
MFC,False,clip_vitb32,block11,cls,445,-0.17497333973466736,-0.18890208743630194,0.00826120073558159,-0.6808299890515435,0.15730337078651685
MFC,False,clip_vitb32,block11,gap,445,-0.18346680293265633,-0.2061320239255174,0.007921067749505194,-0.7147104463822279,0.14831460674157304
MFC,False,clip_vitb32,block2,cls,445,-0.14999772653182858,-0.15796166940747364,0.00851835598818327,-0.5615155519100616,0.19325842696629214
MFC,False,clip_vitb32,block2,gap,445,-0.17177700726942036,-0.18566472767144487,0.008430829363773712,-0.6542465016955724,0.1662921348314607
MFC,False,clip_vitb32,block5,cls,445,-0.15352347511318531,-0.17103724034349135,0.008448629872896402,-0.5848511909014175,0.1797752808988764
MFC,False,clip_vitb32,block5,gap,445,-0.1661501150030183,-0.19714311549094304,0.008830663244856768,-0.6376755199288795,0.20898876404494382
MFC,False,clip_vitb32,block8,cls,445,-0.1632312369084753,-0.18319625998611705,0.008419198862538032,-0.6214615086753105,0.1797752808988764
MFC,False,clip_vitb32,block8,gap,445,-0.17316188197172516,-0.1913312646689997,0.008310355375586031,-0.6784228713771774,0.16179775280898875
MFC,False,clip_vitb32,embed,gap,445,-0.18256343823610777,-0.20203569754477133,0.00818036035348612,-0.7052826490096852,0.15056179775280898
MFC,False,clip_vitb32,ln_post,cls,445,-0.17905028420746066,-0.19762229363102538,0.008208578840037251,-0.696166354832748,0.14831460674157304
MFC,False,clip_vitb32,ln_post,gap,445,-0.18413445712098425,-0.20654717113569207,0.007898359109488844,-0.7179610038810453,0.13707865168539327
MFC,False,convnext_tiny,avgpool,gap,445,-0.1868173822343509,-0.21579478642617864,0.007980121766542439,-0.7300860285409212,0.13258426966292136
MFC,False,convnext_tiny,logits,gap,445,-0.15808669405200784,-0.17087859732019708,0.008493130628974985,-0.6169016400787437,0.20898876404494382
