scope,space,count,mean,sem,wilcoxon_p
all other pictures,alexnet conv1,89,0.11749378874053173,0.018016517829756842,1.0803160902433927e-08
all other pictures,clip ln_post,89,0.21936777523146653,0.027144609338158994,1.9134576227044723e-10
all other pictures,dinov2 norm,89,0.15281915716217828,0.02142223740375364,1.2780598694413182e-08
all other pictures,resnet50 avgpool,89,0.2268594904240575,0.02734097509461081,1.0317044950819813e-10
all other pictures,vggface2 identity,89,0.14407533639431877,0.023008952371611074,1.651308031013406e-07
other face pictures,alexnet conv1,89,0.05748795221755693,0.019782963991850443,0.003286262898537043
other face pictures,clip ln_post,89,0.1451732607030029,0.020801447051450848,1.1893448808050656e-08
other face pictures,dinov2 norm,89,0.1102322060812864,0.021257889922583994,5.535287104493105e-06
other face pictures,resnet50 avgpool,89,0.14776665524761515,0.020987077983396073,1.3090357423930246e-08
other face pictures,vggface2 identity,89,0.08562734339026992,0.01952027961004109,2.977423189537574e-05
