subject,unit,area,scope,space,n,rho
1,38,amygdala,all other pictures,vggface2 identity,62,0.2791163950828591
1,38,amygdala,all other pictures,clip ln_post,62,0.26755925160611116
1,38,amygdala,all other pictures,resnet50 avgpool,62,0.24087919390814835
1,38,amygdala,all other pictures,dinov2 norm,62,0.1341589631162968
1,38,amygdala,all other pictures,alexnet conv1,62,-0.07037971618334664
1,38,amygdala,other face pictures,vggface2 identity,44,0.16411035963105017
1,38,amygdala,other face pictures,clip ln_post,44,0.2705240137649281
1,38,amygdala,other face pictures,resnet50 avgpool,44,0.3077157626515857
1,38,amygdala,other face pictures,dinov2 norm,44,0.2034233109256921
1,38,amygdala,other face pictures,alexnet conv1,44,-0.1472821538610416
3,39,hippocampus,all other pictures,vggface2 identity,62,-0.2005049737088821
3,39,hippocampus,all other pictures,clip ln_post,62,-0.10863530925127476
3,39,hippocampus,all other pictures,resnet50 avgpool,62,-0.09788810105020591
3,39,hippocampus,all other pictures,dinov2 norm,62,0.045391149931573144
3,39,hippocampus,all other pictures,alexnet conv1,62,0.14616203153453636
3,39,hippocampus,other face pictures,vggface2 identity,42,0.08265941820830672
3,39,hippocampus,other face pictures,clip ln_post,42,0.1413183163659732
3,39,hippocampus,other face pictures,resnet50 avgpool,42,0.1711765904628714
3,39,hippocampus,other face pictures,dinov2 norm,42,0.09779194949447309
3,39,hippocampus,other face pictures,alexnet conv1,42,0.16767820957413399
4,8,amygdala,all other pictures,vggface2 identity,62,0.13264735223721316
4,8,amygdala,all other pictures,clip ln_post,62,0.16134570721099276
4,8,amygdala,all other pictures,resnet50 avgpool,62,0.11918706185128114
4,8,amygdala,all other pictures,dinov2 norm,62,0.2392122172548939
4,8,amygdala,all other pictures,alexnet conv1,62,0.1676695040149495
4,8,amygdala,other face pictures,vggface2 identity,27,0.2544302258990054
4,8,amygdala,other face pictures,clip ln_post,27,0.299963083738247
4,8,amygdala,other face pictures,resnet50 avgpool,27,0.002461235558877924
4,8,amygdala,other face pictures,dinov2 norm,27,0.22028058251957422
4,8,amygdala,other face pictures,alexnet conv1,27,-0.2568914614578834
4,13,amygdala,all other pictures,vggface2 identity,62,-0.214336414352574
4,13,amygdala,all other pictures,clip ln_post,62,-0.12558417072281652
4,13,amygdala,all other pictures,resnet50 avgpool,62,-0.24888222183296038
4,13,amygdala,all other pictures,dinov2 norm,62,-0.23351441776999443
4,13,amygdala,all other pictures,alexnet conv1,62,0.013157888437382477
4,13,amygdala,other face pictures,vggface2 identity,27,-0.19133328510470143
4,13,amygdala,other face pictures,clip ln_post,27,-0.12268936301356666
4,13,amygdala,other face pictures,resnet50 avgpool,27,-0.04410604948842143
