analysis,group,text_variant,text_centering,image_space,n,rho_text_mean,rho_text_sem,rho_text_frac_pos,rho_text_p_wilcoxon,rho_text_p_t,rho_img_mean,rho_img_sem,rho_img_frac_pos,rho_img_p_wilcoxon,rho_img_p_t,rho_text_given_img_mean,rho_text_given_img_sem,rho_text_given_img_frac_pos,rho_text_given_img_p_wilcoxon,rho_text_given_img_p_t,rho_img_given_text_mean,rho_img_given_text_sem,rho_img_given_text_frac_pos,rho_img_given_text_p_wilcoxon,rho_img_given_text_p_t,text_minus_img_mean,text_minus_img_p_wilcoxon,rho_text_img_mean,rho_text_null_mean,text_vs_null_p_wilcoxon,region,pref_desc_type
cell,MFC concept,fine-only,centred,clip_embed,29,0.054091840614659936,0.03327720770878355,0.6206896551724138,0.1260332576930523,0.11526228571064714,0.0983435648825742,0.0323715922702654,0.6551724137931034,0.005994632840156555,0.005112778909174332,-0.00047092767050168705,0.024618507799897285,0.5862068965517241,0.608884047716856,0.984873853312056,0.068136233141788,0.025678727851328246,0.6896551724137931,0.022908341139554977,0.01298292119308148,-0.044251724267914266,0.12065461277961731,0.5007551344624999,-0.011751679914939838,0.33573371544480324,,
cell,MFC concept,fine-only,centred,clip_ln_post,29,0.054091840614659936,0.03327720770878355,0.6206896551724138,0.1260332576930523,0.11526228571064714,0.09863794515346598,0.03461739792570207,0.6551724137931034,0.011321667581796646,0.008125036453465136,-0.0015103050994294672,0.02404653625511531,0.6206896551724138,0.5647306069731712,0.9503659426993902,0.06735195274521531,0.02828240388911217,0.5862068965517241,0.04802640900015831,0.024284037743532928,-0.044546104538806044,0.1556677184998989,0.48203763343474515,-0.011751679914939838,0.33573371544480324,,
cell,MFC concept,fine-only,centred,resnet50_avgpool,29,0.054091840614659936,0.03327720770878355,0.6206896551724138,0.1260332576930523,0.11526228571064714,0.1156571465370638,0.03165206985811346,0.7586206896551724,0.001666329801082611,0.001053741835892084,-0.009567193111248436,0.029801380027651325,0.5517241379310345,0.966034073382616,0.7505702232759495,0.09435652752376252,0.029345353706975347,0.6896551724137931,0.004106286913156509,0.0032750278600578143,-0.06156530592240388,0.07236024364829063,0.37686157968077777,-0.011751679914939838,0.33573371544480324,,
cell,MFC concept,fine-only,raw,clip_embed,29,0.028911393060618972,0.03198018872721135,0.4827586206896552,0.5361509844660759,0.37368663792068,0.0983435648825742,0.0323715922702654,0.6551724137931034,0.005994632840156555,0.005112778909174332,-0.0048066810047246245,0.024624293533995232,0.4482758620689655,0.8983406014740467,0.8466453577039021,0.0863640149132005,0.026948976376781026,0.6896551724137931,0.0037983879446983337,0.003364659687433609,-0.06943217182195524,0.020265981554985046,0.3530711040756728,-0.018277670352238644,0.08367564529180527,,
cell,MFC concept,fine-only,raw,clip_ln_post,29,0.028911393060618972,0.03198018872721135,0.4827586206896552,0.5361509844660759,0.37368663792068,0.09863794515346598,0.03461739792570207,0.6551724137931034,0.011321667581796646,0.008125036453465136,0.002087631149647497,0.023746466348099352,0.4482758620689655,0.966034073382616,0.9305713081236673,0.08552114095863744,0.02913661304841497,0.6206896551724138,0.010578293353319168,0.006590241754093094,-0.069726552092847,0.02433420717716217,0.3229352656631193,-0.018277670352238644,0.08367564529180527,,
cell,MFC concept,fine-only,raw,resnet50_avgpool,29,0.028911393060618972,0.03198018872721135,0.4827586206896552,0.5361509844660759,0.37368663792068,0.1156571465370638,0.03165206985811346,0.7586206896551724,0.001666329801082611,0.001053741835892084,-0.0037823975212831896,0.025146775309568093,0.41379310344827586,0.7818621210753918,0.8815172529704939,0.1095872936341764,0.02557671398007058,0.7586206896551724,0.00021718069911003113,0.00019504890787272065,-0.08674575347644484,0.005566027015447617,0.2290575126856484,-0.018277670352238644,0.08367564529180527,,
cell,MFC concept,identity+fine,centred,clip_embed,29,0.0763066820170385,0.029995443550375776,0.6551724137931034,0.01574459671974182,0.016764247096938186,0.0983435648825742,0.0323715922702654,0.6551724137931034,0.005994632840156555,0.005112778909174332,0.021990921967715623,0.02290400353330571,0.6206896551724138,0.31448761001229286,0.3452059145512586,0.06302134160183875,0.027066669022923213,0.7241379310344828,0.029064036905765533,0.027338184847448294,-0.02203688286553571,0.33573371544480324,0.6017714337793462,-0.020114479642213863,0.27462591975927353,,
cell,MFC concept,identity+fine,centred,clip_ln_post,29,0.0763066820170385,0.029995443550375776,0.6551724137931034,0.01574459671974182,0.016764247096938186,0.09863794515346598,0.03461739792570207,0.6551724137931034,0.011321667581796646,0.008125036453465136,0.03242541244926052,0.021787768838838286,0.6551724137931034,0.0688701830804348,0.14786484737970865,0.056474497567763765,0.029868622987564746,0.6206896551724138,0.10555979982018471,0.06904553470942014,-0.02233126313642749,0.41691966354846954,0.5916856193609739,-0.020114479642213863,0.27462591975927353,,
cell,MFC concept,identity+fine,centred,resnet50_avgpool,29,0.0763066820170385,0.029995443550375776,0.6551724137931034,0.01574459671974182,0.016764247096938186,0.1156571465370638,0.03165206985811346,0.7586206896551724,0.001666329801082611,0.001053741835892084,0.020705888169416837,0.02101668468579706,0.7241379310344828,0.06551516801118851,0.33295736076402016,0.08046080331429603,0.025321066146079547,0.6896551724137931,0.0032424964010715485,0.0036032706833652064,-0.03935046452002533,0.10555979982018471,0.5120522577303115,-0.020114479642213863,0.27462591975927353,,
cell,MFC concept,identity+fine,raw,clip_embed,29,0.01605479614316873,0.021542315360220353,0.5862068965517241,0.4293668270111084,0.46232033205066947,0.0983435648825742,0.0323715922702654,0.6551724137931034,0.005994632840156555,0.005112778909174332,-0.012687249498950762,0.019984868243243564,0.4827586206896552,0.5503522604703903,0.5306847373462706,0.09133424596117862,0.032090362203676955,0.6551724137931034,0.010578293353319168,0.008188674246233459,-0.08228876873940547,0.022908341139554977,0.30439269957545345,-0.06687340023446182,0.04802640900015831,,
