group,model,layer,view,n,rho_mean,rho_sem,rho_null_mean,p_vs_zero,p_vs_null_anchor,frac_pos
MFC concept,alexnet,conv1,gap,29.0,0.0068286176906423935,0.03883699832658314,0.007462175189669943,0.8480112254619598,0.983013316988945,0.4827586206896552
MFC concept,alexnet,conv2,gap,29.0,0.024471588626397634,0.0433652589230303,0.016783729235613082,0.7493221610784531,0.83135736733675,0.5172413793103449
MFC concept,alexnet,conv3,gap,29.0,0.04476114942687905,0.0433922099374982,0.01492790377503238,0.4946499206125736,0.5647306069731712,0.5517241379310345
MFC concept,alexnet,conv4,gap,29.0,0.05764077107640458,0.04325293303646774,0.006128386941809277,0.27462591975927353,0.33573371544480324,0.5862068965517241
MFC concept,alexnet,conv5,gap,29.0,0.07994869682725052,0.03805845945917331,0.022034668960005527,0.07598886638879776,0.1432539001107216,0.5862068965517241
MFC concept,alexnet,fc6,gap,29.0,0.11231635160372452,0.034453586814928626,0.02120117629638005,0.00516427680850029,0.01904408261179924,0.7586206896551724
MFC concept,alexnet,fc7,gap,29.0,0.10464639858118296,0.03443860263182869,0.028413968951411336,0.009877141565084457,0.04802640900015831,0.6551724137931034
MFC concept,alexnet,logits,gap,29.0,0.09458523956212588,0.0344075587670464,-0.000706584459111293,0.020265981554985046,0.011321667581796646,0.6896551724137931
MFC concept,clip_vitb32,block11,cls,29.0,0.07850808682283775,0.03393932655925691,0.009440108862869124,0.0688701830804348,0.1008644811809063,0.6206896551724138
MFC concept,clip_vitb32,block2,cls,29.0,0.018997937102954766,0.0405107224370165,0.008963391653974377,0.7013288475573063,0.8983406014740467,0.5517241379310345
MFC concept,clip_vitb32,block5,cls,29.0,0.01904731239296514,0.031047999051427425,0.003620821438133007,0.5647306069731712,0.7013288475573063,0.5862068965517241
MFC concept,clip_vitb32,block8,cls,29.0,0.05471264463420853,0.03915406180578092,0.006605212591286085,0.35785307362675667,0.35785307362675667,0.5172413793103449
MFC concept,clip_vitb32,embed,gap,29.0,0.0983435648825742,0.0323715922702654,0.005284339635197964,0.005994632840156555,0.03653542697429657,0.6551724137931034
MFC concept,clip_vitb32,ln_post,cls,29.0,0.09863794515346598,0.03461739792570207,0.003640596914925637,0.011321667581796646,0.02433420717716217,0.6551724137931034
MFC concept,convnext_tiny,avgpool,gap,29.0,0.12393894085798224,0.027286593747165876,0.013941114618859725,7.73109495639801e-05,0.0001742914319038391,0.8275862068965517
MFC concept,convnext_tiny,logits,gap,29.0,0.1135029427363968,0.030566127411027183,0.0077892573806710354,0.0008089840412139893,0.001068316400051117,0.7931034482758621
MFC concept,convnext_tiny,stage1,gap,29.0,0.007205076601155166,0.038305508070514895,0.0035506220891211786,0.8480112254619598,0.8480112254619598,0.4482758620689655
MFC concept,convnext_tiny,stage2,gap,29.0,0.007650060863536969,0.0322216646411445,0.020786399344064913,0.7332091443240643,0.48119615763425827,0.41379310344827586
MFC concept,convnext_tiny,stage3,gap,29.0,0.058065166987503795,0.030853724662632132,0.005615700027837332,0.07598886638879776,0.08774079009890556,0.6551724137931034
MFC concept,convnext_tiny,stage4,gap,29.0,0.12393894085798224,0.027286593747165876,0.014774814037699919,7.73109495639801e-05,0.00019468367099761963,0.8275862068965517
MFC concept,dinov2_small,block11,cls,29.0,0.09407271748463,0.03864107728208235,0.0035685535771999306,0.03262323513627052,0.022908341139554977,0.6551724137931034
MFC concept,dinov2_small,block2,cls,29.0,-0.010065222593594762,0.03805094047663905,-0.00134712137444717,0.7982758991420269,0.7332091443240643,0.4482758620689655
MFC concept,dinov2_small,block5,cls,29.0,0.030213753414146102,0.03353042703434872,0.005362357939786298,0.41691966354846954,0.6391207613050938,0.5517241379310345
MFC concept,dinov2_small,block8,cls,29.0,0.09205326768048681,0.03380569770206624,-0.007381064940234159,0.01904408261179924,0.01678590476512909,0.6896551724137931
MFC concept,dinov2_small,norm,cls,29.0,0.09721997988583712,0.039975698681507243,0.006656146843797758,0.022908341139554977,0.02433420717716217,0.6896551724137931
MFC concept,resnet18,avgpool,gap,29.0,0.11938010948204884,0.032584758301797766,0.017918465160106915,0.0011698119342327118,0.005994632840156555,0.7241379310344828
MFC concept,resnet18,layer1,gap,29.0,0.023450943333809215,0.03405945866854806,0.012644788374940171,0.6544641703367233,0.983013316988945,0.5172413793103449
MFC concept,resnet18,layer2,gap,29.0,0.020365965209797273,0.0402700608810933,0.010244985131724896,0.8647311441600323,0.8815100230276585,0.5172413793103449
MFC concept,resnet18,layer3,gap,29.0,0.06745440016009209,0.038270855886425266,0.01807037373510398,0.27462591975927353,0.4293668270111084,0.6206896551724138
MFC concept,resnet18,layer4,gap,29.0,0.11938010948204884,0.032584758301797766,0.0031084569912002416,0.0011698119342327118,0.0013987235724925995,0.7241379310344828
MFC concept,resnet18,logits,gap,29.0,0.10723700330177784,0.03013004040760873,0.004560406251989055,0.00234014168381691,0.0019781142473220825,0.6896551724137931
MFC concept,resnet18,stem,gap,29.0,0.050714375602389276,0.032718650503693,0.016092764744759888,0.2053302302956581,0.33573371544480324,0.6206896551724138
MFC concept,resnet50,avgpool,gap,29.0,0.1156571465370638,0.03165206985811346,0.009785577592288429,0.001666329801082611,0.004435725510120392,0.7586206896551724
MFC concept,resnet50,layer1,gap,29.0,0.001693218805146576,0.03943103590387622,0.004726286650446565,0.983013316988945,0.8983406014740467,0.4482758620689655
