group,subject,unit,area,model,layer,view,rho,rho_null
MTL concept,1,34,amygdala,alexnet,conv1,gap,-0.10923128983999279,-0.1250189883323401
MTL concept,1,36,amygdala,alexnet,conv1,gap,0.16135778828868488,-0.11056184764823969
MTL concept,1,38,amygdala,alexnet,conv1,gap,-0.07037971618334664,-0.07876971410966856
MTL concept,2,0,amygdala,alexnet,conv1,gap,-0.13185434471337248,-0.06969866639712212
MTL concept,3,39,hippocampus,alexnet,conv1,gap,0.14616203153453636,-0.23121173216516466
MTL concept,4,8,amygdala,alexnet,conv1,gap,0.1676695040149495,0.16962505563705663
MTL concept,4,13,amygdala,alexnet,conv1,gap,0.013157888437382477,0.2466063803119078
MTL concept,4,15,amygdala,alexnet,conv1,gap,0.12151803732863917,-0.3235359555653797
MTL concept,4,25,amygdala,alexnet,conv1,gap,-0.013780421478448665,-0.17811033293772977
MTL concept,4,33,hippocampus,alexnet,conv1,gap,0.08863968883008377,0.007006492321513587
MTL concept,4,39,amygdala,alexnet,conv1,gap,0.20422265426718872,0.21694165509329785
MTL concept,4,40,amygdala,alexnet,conv1,gap,-0.08374909612212038,0.3577621593585333
MTL concept,4,41,amygdala,alexnet,conv1,gap,0.4010823558827676,-0.4060921396895911
MTL concept,4,43,amygdala,alexnet,conv1,gap,0.3259160756455237,0.1937988521129509
MTL concept,4,44,amygdala,alexnet,conv1,gap,-0.0018640738568142755,0.08189329876355689
MTL concept,4,45,amygdala,alexnet,conv1,gap,0.1283638265798597,0.11590400759154197
MTL concept,4,46,amygdala,alexnet,conv1,gap,0.08775260202886778,0.15698694016873407
MTL concept,5,5,amygdala,alexnet,conv1,gap,0.026524392624562514,-0.15233826046364524
MTL concept,5,6,amygdala,alexnet,conv1,gap,-0.08744176905200954,0.07569387183501751
MTL concept,7,17,amygdala,alexnet,conv1,gap,0.06565748249256506,-0.04156748755264985
MTL concept,7,20,amygdala,alexnet,conv1,gap,-0.11233032266367964,0.007434662182689629
MTL concept,7,21,amygdala,alexnet,conv1,gap,-0.20176427185726112,0.04627289195516079
MTL concept,7,23,amygdala,alexnet,conv1,gap,-0.0505742769881816,-0.3702019847010692
MTL concept,7,24,amygdala,alexnet,conv1,gap,-0.02599459788716367,0.03302310085094408
MTL concept,7,25,amygdala,alexnet,conv1,gap,-0.31177079027538607,0.06202201280350387
MTL concept,7,26,amygdala,alexnet,conv1,gap,0.08906262042295046,0.0712339251862182
MTL concept,7,30,amygdala,alexnet,conv1,gap,0.12517660046296417,0.1950167181984485
MTL concept,8,34,hippocampus,alexnet,conv1,gap,0.1940314414654922,0.10063227020449492
MTL concept,8,37,hippocampus,alexnet,conv1,gap,0.21802910678855925,0.204673575494764
MTL concept,8,38,hippocampus,alexnet,conv1,gap,-0.032703853383667415,0.08544138802248705
MTL concept,8,42,hippocampus,alexnet,conv1,gap,0.12397572666242557,0.13019267941593046
MTL concept,8,45,hippocampus,alexnet,conv1,gap,0.08657591428934773,-0.040539728888730656
MTL concept,10,64,amygdala,alexnet,conv1,gap,-0.11958845668457625,0.18132299716015224
MTL concept,10,67,amygdala,alexnet,conv1,gap,0.035822944338498995,0.11828979767899761
MTL concept,10,70,amygdala,alexnet,conv1,gap,-0.052173405800108326,-0.027098411063581053
MTL concept,10,71,amygdala,alexnet,conv1,gap,0.09903527429189345,0.06475137892219933
MTL concept,11,6,hippocampus,alexnet,conv1,gap,0.1225557190373845,0.09692940899151124
MTL concept,11,11,hippocampus,alexnet,conv1,gap,0.09926457879201614,0.3134403537086692
MTL concept,11,12,hippocampus,alexnet,conv1,gap,0.1454820252698852,-0.01769513588969158
MTL concept,11,13,hippocampus,alexnet,conv1,gap,-0.2312688817465388,0.03504429811063274
MTL concept,11,17,hippocampus,alexnet,conv1,gap,-0.26894238861538633,0.1111324070728097
MTL concept,11,18,hippocampus,alexnet,conv1,gap,0.15060287935246025,-0.26421544053506846
MTL concept,11,25,amygdala,alexnet,conv1,gap,0.0554836311257418,0.12812891034744422
MTL concept,11,28,amygdala,alexnet,conv1,gap,0.0859444495336117,-0.07176742845645531
MTL concept,11,31,amygdala,alexnet,conv1,gap,0.03809431986530435,0.11476246685425055
MTL concept,11,34,amygdala,alexnet,conv1,gap,-0.08751524062413459,-0.030500392581077375
MTL concept,11,65,hippocampus,alexnet,conv1,gap,-0.06166561815816585,-0.10577756501397526
MTL concept,11,68,hippocampus,alexnet,conv1,gap,-0.03890590070471315,-0.08255042495297575
MTL concept,12,14,amygdala,alexnet,conv1,gap,0.05084728410646236,0.14641312856690228
MTL concept,12,15,amygdala,alexnet,conv1,gap,0.1950459089618705,0.2054920334169826
MTL concept,13,17,amygdala,alexnet,conv1,gap,0.1643043120316641,-0.2901821687508694
MTL concept,13,18,amygdala,alexnet,conv1,gap,-0.28442473261427775,0.06647591691359202
MTL concept,13,19,amygdala,alexnet,conv1,gap,0.2009839313073465,-0.31062783761848467
MTL concept,13,20,amygdala,alexnet,conv1,gap,0.11058695152828503,0.3427028930656385
MTL concept,13,25,amygdala,alexnet,conv1,gap,0.036775401082910004,0.026854317143568333
MTL concept,13,26,amygdala,alexnet,conv1,gap,0.00012684262409535827,0.06530344056068724
MTL concept,13,28,amygdala,alexnet,conv1,gap,0.03900873043637571,0.18519829169060123
MTL concept,13,30,amygdala,alexnet,conv1,gap,0.13853577868533012,0.26887465485432016
MTL concept,13,31,amygdala,alexnet,conv1,gap,0.05802320718799546,-0.16355211373987413
MTL concept,13,32,hippocampus,alexnet,conv1,gap,-0.0235263832999475,0.124892208980474
MTL concept,13,33,hippocampus,alexnet,conv1,gap,0.07012237256838569,0.06933229674390258
MTL concept,13,35,hippocampus,alexnet,conv1,gap,0.1973529626641684,-0.19975054379988885
MTL concept,13,37,hippocampus,alexnet,conv1,gap,0.04322226485847431,0.13304801154850257
MTL concept,13,46,hippocampus,alexnet,conv1,gap,0.1278292974655524,0.1135039573459671
MTL concept,13,75,amygdala,alexnet,conv1,gap,0.4660234029966676,-0.4826970057799539
MTL concept,13,77,amygdala,alexnet,conv1,gap,-0.05440737712486788,0.5027581328727413
MTL concept,13,78,amygdala,alexnet,conv1,gap,0.29198354227020684,-0.33320528989586756
MTL concept,13,80,amygdala,alexnet,conv1,gap,0.1892503221164028,0.12087202086452192
MTL concept,13,82,amygdala,alexnet,conv1,gap,0.3953217749420822,-0.21156834063658386
MTL concept,13,83,amygdala,alexnet,conv1,gap,0.2840727936495887,0.22849948207500909
MTL concept,13,84,amygdala,alexnet,conv1,gap,0.23076977655958325,0.08238931064956621
MTL concept,13,85,amygdala,alexnet,conv1,gap,0.5307343140794476,0.4737174768451995
MTL concept,13,86,amygdala,alexnet,conv1,gap,0.4525335313459834,0.4237584898942574
MTL concept,13,88,amygdala,alexnet,conv1,gap,0.286273594380779,0.3521772558668302
MTL concept,13,89,amygdala,alexnet,conv1,gap,0.32792172875727277,0.27364406286441817
MTL concept,13,90,amygdala,alexnet,conv1,gap,0.4817120459816547,-0.424206348509998
MTL concept,13,92,amygdala,alexnet,conv1,gap,0.2568279959948101,0.3887357091536773
MTL concept,13,93,amygdala,alexnet,conv1,gap,0.40692143520997315,-0.12708517740630795
MTL concept,13,94,amygdala,alexnet,conv1,gap,0.4133423250068287,0.4353515672919485
MTL concept,13,95,amygdala,alexnet,conv1,gap,-0.07051882461889648,0.025629598915196384
MTL concept,13,97,amygdala,alexnet,conv1,gap,0.12012795547205152,0.02202698314994407
MTL concept,13,98,amygdala,alexnet,conv1,gap,0.09066957658865564,0.16114450304858977
MTL concept,14,14,hippocampus,alexnet,conv1,gap,0.27159238124496143,0.05878207657763825
MTL concept,14,15,hippocampus,alexnet,conv1,gap,0.014799876538695965,0.09414018974125221
MTL concept,14,16,hippocampus,alexnet,conv1,gap,0.07969357365098188,-0.09706914751451964
MTL concept,14,17,hippocampus,alexnet,conv1,gap,0.01791038974442691,-0.03437723986715388
MTL concept,14,18,hippocampus,alexnet,conv1,gap,0.09982618317010292,-0.02563823185544564
MTL concept,14,19,hippocampus,alexnet,conv1,gap,-0.028619014979306384,0.23397434728697025
MTL concept,14,45,amygdala,alexnet,conv1,gap,-0.13681911770525962,-0.13479343737303426
MTL concept,14,46,amygdala,alexnet,conv1,gap,0.143044834333647,0.12591469797276253
MTL concept,14,47,amygdala,alexnet,conv1,gap,0.11286300591307465,0.03684396856690448
MTL concept,14,48,amygdala,alexnet,conv1,gap,-0.002822261209568577,-0.12452913583575581
MTL concept,14,49,amygdala,alexnet,conv1,gap,0.03915540273780811,0.2691461199137808
MTL concept,14,50,amygdala,alexnet,conv1,gap,0.12920598522842047,0.16692044308125048
MTL concept,14,51,amygdala,alexnet,conv1,gap,-0.022026862856664886,-0.01846575871626636
MTL concept,14,52,amygdala,alexnet,conv1,gap,0.030601168329954756,0.09322894470145546
MTL concept,14,53,amygdala,alexnet,conv1,gap,0.3491919837128532,0.3732712231677985
MTL concept,14,55,amygdala,alexnet,conv1,gap,0.3761545712642779,0.27332667756174794
MTL concept,14,56,amygdala,alexnet,conv1,gap,0.2831921691440352,-0.26651158947248443
MTL concept,14,59,amygdala,alexnet,conv1,gap,0.1831733957619993,0.11033642928134534
MTL concept,14,60,amygdala,alexnet,conv1,gap,0.37793418081764213,0.2898313642505753
MTL concept,14,61,amygdala,alexnet,conv1,gap,-0.2708790527313985,0.2047218389615602
MTL concept,14,62,amygdala,alexnet,conv1,gap,0.1095665736903247,0.21031975688891363
MTL concept,14,63,amygdala,alexnet,conv1,gap,0.11546116329644107,0.019575582427387814
MTL concept,14,68,hippocampus,alexnet,conv1,gap,-0.07966496958826559,0.05291811147455714
MTL concept,14,69,hippocampus,alexnet,conv1,gap,0.11870462959624228,-0.1379928712362434
MTL concept,15,2,amygdala,alexnet,conv1,gap,0.08743348870837159,-0.14015324756406
MTL concept,15,8,amygdala,alexnet,conv1,gap,0.047216349312459806,0.0662248610625402
MTL concept,16,7,amygdala,alexnet,conv1,gap,0.11689338621629076,0.07582044202708016
MTL concept,16,9,amygdala,alexnet,conv1,gap,0.2081493173508821,0.033581584649201836
MTL concept,16,13,amygdala,alexnet,conv1,gap,0.2713327204794163,-0.00672968726300122
MTL concept,16,20,amygdala,alexnet,conv1,gap,-0.09099169565959585,-0.09257401728530394
MTL concept,16,21,amygdala,alexnet,conv1,gap,-0.055220158085782456,0.05957921630441403
MTL concept,16,24,amygdala,alexnet,conv1,gap,0.22005590558022853,0.0968048791501404
MTL concept,16,30,amygdala,alexnet,conv1,gap,0.1673135563787658,-0.25692759974906937
MTL concept,18,5,hippocampus,alexnet,conv1,gap,0.001739833563933403,0.11779992151857885
MTL concept,18,13,amygdala,alexnet,conv1,gap,0.07814852931141271,0.08755960985664041
MTL concept,18,14,amygdala,alexnet,conv1,gap,0.1701469315334929,0.2596097566759717
MTL concept,18,16,amygdala,alexnet,conv1,gap,0.08430586758072502,-0.09723375755519001
MTL concept,18,17,amygdala,alexnet,conv1,gap,0.21629971461906294,0.3089514145475013
MTL concept,18,18,amygdala,alexnet,conv1,gap,0.13412423052057115,0.25536894137953337
MTL concept,18,19,amygdala,alexnet,conv1,gap,-0.3443871219143305,0.10797124504608145
MTL concept,18,20,amygdala,alexnet,conv1,gap,0.03005565984405313,0.059107278738829094
MTL concept,18,22,amygdala,alexnet,conv1,gap,-0.1419948543569492,-0.006944571206110243
MTL concept,18,23,amygdala,alexnet,conv1,gap,-0.006444292725256402,-0.028593002334374878
MTL concept,18,24,amygdala,alexnet,conv1,gap,0.0003590012135527778,0.20125570090078165
MTL concept,18,28,amygdala,alexnet,conv1,gap,0.06432843419757743,-0.08288732814656233
MTL concept,18,29,amygdala,alexnet,conv1,gap,0.21538508837209847,0.1948800163793365
MTL concept,18,30,amygdala,alexnet,conv1,gap,0.10326950004787702,0.03684094007433684
MTL concept,18,37,hippocampus,alexnet,conv1,gap,0.0657458119517957,0.012915550160089384
MTL concept,21,0,amygdala,alexnet,conv1,gap,0.04033660052377379,0.16001547273429212
MTL concept,21,2,hippocampus,alexnet,conv1,gap,0.24093638930876557,-0.03637375477430763
MTL concept,21,4,hippocampus,alexnet,conv1,gap,-0.10727098861673551,-0.2500863216491377
MTL concept,21,14,hippocampus,alexnet,conv1,gap,0.060983880325955364,-0.028889391957378923
MTL non-concept,1,0,hippocampus,alexnet,conv1,gap,0.31345329809506295,0.04104887578059884
MTL non-concept,1,32,amygdala,alexnet,conv1,gap,-0.2732213898146955,0.03866077067397002
MTL non-concept,1,33,amygdala,alexnet,conv1,gap,-0.04235856483333603,-0.1231207567970419
MTL non-concept,1,35,amygdala,alexnet,conv1,gap,0.2896138832521779,0.10058652167784093
MTL non-concept,1,37,amygdala,alexnet,conv1,gap,0.20048771606236296,0.21680975078829617
MTL non-concept,1,39,hippocampus,alexnet,conv1,gap,0.13587247959999915,0.1957624794617409
MTL non-concept,2,2,hippocampus,alexnet,conv1,gap,0.06820479668481562,-0.28059979243342825
MTL non-concept,2,3,hippocampus,alexnet,conv1,gap,-0.09069373206723336,-0.09144762594800367
MTL non-concept,2,4,hippocampus,alexnet,conv1,gap,-0.2956907088182132,0.3574918203103574
MTL non-concept,2,5,hippocampus,alexnet,conv1,gap,0.10092033649930215,0.25199095012134004
MTL non-concept,2,6,hippocampus,alexnet,conv1,gap,-0.036811084004017364,0.1194068848551051
MTL non-concept,2,7,hippocampus,alexnet,conv1,gap,0.07286631474923033,0.0006305496257288884
MTL non-concept,2,8,hippocampus,alexnet,conv1,gap,-0.03346450221759213,0.037723513803755104
MTL non-concept,2,9,hippocampus,alexnet,conv1,gap,-0.21416953265057911,0.019573749031453976
MTL non-concept,2,10,hippocampus,alexnet,conv1,gap,-0.023053767912886096,-0.022015456244128054
MTL non-concept,3,33,amygdala,alexnet,conv1,gap,-0.033645621482315036,0.02392226098815337
MTL non-concept,3,35,hippocampus,alexnet,conv1,gap,-0.056345678544642556,-0.13084988666302283
MTL non-concept,3,36,hippocampus,alexnet,conv1,gap,-0.2216282542945423,0.040740716414638466
MTL non-concept,3,37,hippocampus,alexnet,conv1,gap,0.04898372306593032,0.020061362978295055
MTL non-concept,3,38,hippocampus,alexnet,conv1,gap,0.06683809783011828,0.050179208295187294
MTL non-concept,4,1,amygdala,alexnet,conv1,gap,0.12549425501807426,-0.06644471927839858
MTL non-concept,4,3,amygdala,alexnet,conv1,gap,-0.018103597714033096,-0.20013947289905706
MTL non-concept,4,4,amygdala,alexnet,conv1,gap,0.12166344496704531,-0.11140880865910623
MTL non-concept,4,5,amygdala,alexnet,conv1,gap,0.09755090878338957,0.1923140979200096
MTL non-concept,4,6,amygdala,alexnet,conv1,gap,0.07667971007244186,0.1390998386533828
MTL non-concept,4,7,amygdala,alexnet,conv1,gap,0.17468483518548927,-0.28091179001993
MTL non-concept,4,9,amygdala,alexnet,conv1,gap,-0.30930850314219693,-0.1407640981018267
MTL non-concept,4,10,amygdala,alexnet,conv1,gap,0.00578702912350453,-0.023170449523639197
MTL non-concept,4,16,amygdala,alexnet,conv1,gap,-0.04801180274991396,0.013762101814592238
MTL non-concept,4,17,amygdala,alexnet,conv1,gap,0.21978093675049853,-0.10340001925163685
MTL non-concept,4,18,amygdala,alexnet,conv1,gap,-0.08538569453719141,0.0715371314620603
MTL non-concept,4,19,amygdala,alexnet,conv1,gap,-0.1794709812570194,0.1522234123935232
MTL non-concept,4,20,amygdala,alexnet,conv1,gap,-0.042467569353485043,0.033223649855857094
MTL non-concept,4,21,amygdala,alexnet,conv1,gap,0.12918417901888943,-0.20809800909084478
MTL non-concept,4,22,amygdala,alexnet,conv1,gap,0.09500789949522219,0.04845950803920974
MTL non-concept,4,24,amygdala,alexnet,conv1,gap,0.08750533641917617,0.07613172980757646
MTL non-concept,4,27,amygdala,alexnet,conv1,gap,0.010521023504830267,-0.1642113890316942
MTL non-concept,4,28,amygdala,alexnet,conv1,gap,0.1431303101230884,0.0626312669652112
MTL non-concept,4,29,amygdala,alexnet,conv1,gap,0.028680362848494918,0.0133498159438331
MTL non-concept,4,31,amygdala,alexnet,conv1,gap,0.11729560124273883,-0.05445723117347083
MTL non-concept,4,32,amygdala,alexnet,conv1,gap,0.03742758422057869,0.08812594498759706
MTL non-concept,4,42,amygdala,alexnet,conv1,gap,0.22795528744341076,0.11009809322350274
MTL non-concept,4,47,amygdala,alexnet,conv1,gap,0.26483946550373993,0.012975906424428902
MTL non-concept,4,48,amygdala,alexnet,conv1,gap,0.10441206502177579,0.12610494729131924
MTL non-concept,5,21,amygdala,alexnet,conv1,gap,0.005726193443447646,0.0072703689707917995
MTL non-concept,5,22,amygdala,alexnet,conv1,gap,-0.12227333232121222,0.0023935583167198943
