x,y,spearman,p,n,mean_sparse,mean_broad
dos,rho_clip,-0.18300500380942145,0.03430251718614007,134,,
dos,rho_resnet,-0.2219157619370569,0.009965920247930493,134,,
dos,rho_conv1,-0.056157877477166156,0.5192557916893661,134,,
sparseness,rho_clip,0.1476502200775571,0.08866043362569871,134,,
sparseness,rho_resnet,0.1931819598748114,0.025325416235130627,134,,
sparseness,rho_conv1,0.012102395291711868,0.889617733364682,134,,
ratio,rho_clip,-0.1674360029426801,0.053146649658349046,134,,
ratio,rho_resnet,-0.20476315166024517,0.017629829117908787,134,,
ratio,rho_conv1,-0.05505056172770234,0.527540159061745,134,,
pref_rate,rho_clip,0.27269419016810514,0.001433950331708255,134,,
pref_rate,rho_resnet,0.30293144613267137,0.0003739644395635087,134,,
pref_rate,rho_conv1,0.04703379092235647,0.5894360218777417,134,,
mean_rate,rho_clip,0.28820383527110277,0.0007331001918955157,134,,
mean_rate,rho_resnet,0.3270800680022563,0.00011459670253848909,134,,
mean_rate,rho_conv1,0.06937570840643789,0.42573077368976875,134,,
sparse (DoS≥0.71) vs broad,rho_clip,,0.31671830006028934,134,0.1387576787134804,0.2019541947963526
pref has face vs not,rho_clip,,0.0013798265856029127,134,0.21936777523146656,0.07342141176796194
sparse (DoS≥0.71) vs broad,rho_resnet,,0.08667459098707894,134,0.1282688380335898,0.2176403631804448
pref has face vs not,rho_resnet,,0.0004103657011448728,134,0.22685949042405748,0.06634270741331563
