region,t,predictor,n_cells,r_mean,r_sem,r_debiased_mean,r_debiased_sem,p_debiased_vs0
MFC,-0.3,alexnet conv1,29,-0.21151795256115122,0.03594621358208668,-0.023402149228137818,0.031004954527008365,0.4566785775102892
MFC,-0.25,alexnet conv1,29,-0.17833740207366938,0.036368976224838846,0.009778401259344052,0.02680873199858481,0.7180408635709876
MFC,-0.2,alexnet conv1,29,-0.1493086788504516,0.03442506119966619,0.038807124482561836,0.026284892620241074,0.15099450116101104
MFC,-0.15,alexnet conv1,29,-0.20394303211743595,0.031325499414505645,-0.015827228784422543,0.028520344109686596,0.5833386219043999
MFC,-0.1,alexnet conv1,29,-0.19747195106235893,0.03715160375226475,-0.009356147729345543,0.027903473535668,0.7398950319291873
MFC,-0.05,alexnet conv1,29,-0.20373616232729347,0.029435666938064906,-0.015620358994280091,0.03252247737927038,0.6347493759806997
MFC,-0.0,alexnet conv1,29,-0.21159742334172862,0.025166375046993074,-0.023481620008715204,0.030808444407912423,0.4523248537879715
MFC,0.05,alexnet conv1,29,-0.19226489471416885,0.03187455830031877,-0.0041490913811554645,0.037170275068851025,0.9119179688917887
MFC,0.1,alexnet conv1,29,-0.15186264095247093,0.029854956453524057,0.03625316238054249,0.039256460510239746,0.36363942441784525
MFC,0.15,alexnet conv1,28,-0.19439468206894508,0.03465459544766876,-0.009134581920006579,0.042181181230725256,0.8301824057086162
MFC,0.2,alexnet conv1,28,-0.17739951338733734,0.04174027499637896,0.007860586761601193,0.04195953961015212,0.8527968766057401
MFC,0.25,alexnet conv1,29,-0.15736184961620808,0.031364619990301976,0.03075395371680533,0.03113007307665173,0.33165361339811117
MFC,0.3,alexnet conv1,29,-0.12995588663469174,0.031122258885148572,0.05815991669832167,0.0368395049722154,0.12562846542245557
MFC,0.35,alexnet conv1,29,-0.1307553948817589,0.03847611893752475,0.05736040845125451,0.03898649436347383,0.15236345720193945
MFC,0.4,alexnet conv1,29,-0.18448326984516947,0.03664817458826009,0.003632533487843954,0.034837752554498,0.9176983781438974
MFC,0.45,alexnet conv1,29,-0.11499755355959061,0.03856040410148963,0.07311824977342277,0.04579061612095519,0.12153732079204474
MFC,0.5,alexnet conv1,29,-0.12218549078354929,0.044896890267420775,0.0659303125494641,0.05036475003405437,0.20115711335408046
MFC,0.55,alexnet conv1,29,-0.1282624983840944,0.04089736571230399,0.059853304948918995,0.046402721918767376,0.20764933685978487
MFC,0.6,alexnet conv1,29,-0.1463704109688086,0.03875272198058616,0.041745392364204784,0.03737649803374666,0.2735346486963589
MFC,0.65,alexnet conv1,29,-0.2021058338811983,0.03319417335163814,-0.013990030548184935,0.03278262119553516,0.6728238304553598
MFC,0.7,alexnet conv1,29,-0.174454373061704,0.032182009351427864,0.013661430271309442,0.026090379872347396,0.6046633109025592
MFC,0.75,alexnet conv1,29,-0.14537281560852172,0.03855382101596138,0.04274298772449168,0.03963146864247738,0.29000947367795765
