subset,space,scope,n,rho_mean,rho_sem,rho_median,frac_pos,rho_null_mean,p_vs_zero,p_vs_null_anchor,contrast,diff_mean,p
all cells,clip ln_post,all,134,0.1703559367549165,0.020338262036582764,0.14841030283772047,0.7089552238805971,0.01253886623244037,2.3461949489710077e-12,7.150423729986183e-13,,,
all cells,clip ln_post,same,110,0.11244166194786334,0.02237822754191299,0.13408537651451313,0.6818181818181818,0.016915164062047135,5.101391032740917e-06,8.010200580251788e-05,,,
all cells,clip ln_post,diff,134,0.059667709411521413,0.016145399745967865,0.05229741536439729,0.6417910447761194,-0.02296474273577961,0.0006134658663219505,1.2968115086839775e-06,,,
all cells,clip ln_post,partial,132,0.09288974406883964,0.01505202883562223,0.0923470653542978,0.75,-0.019160229302187987,1.0710691187975272e-08,4.361600855421227e-11,,,
all cells,clip ln_post,category,132,0.15660339997372708,0.02174374408877403,0.12208493828945198,0.6893939393939394,0.03847909091028508,1.3252403543775996e-09,4.038598189575314e-09,,,
all cells,resnet50 avgpool,all,134,0.17295460060701734,0.020304698674936457,0.13984992091017334,0.7686567164179104,-0.009428263588804608,6.810335928901611e-13,1.1068744764423e-13,,,
all cells,resnet50 avgpool,same,110,0.11739167743087071,0.02284469235715614,0.1535221237379527,0.7,0.020600107649338995,2.1021086445913147e-06,4.775129087160971e-05,,,
all cells,resnet50 avgpool,diff,134,0.07467061948417307,0.01715807080999829,0.05462014753415302,0.6716417910447762,-0.048242867821610275,2.207031744642374e-05,6.190504828850493e-08,,,
all cells,resnet50 avgpool,partial,132,0.09903916507066811,0.0158039240632117,0.09449370770510221,0.7348484848484849,-0.039306028068598724,9.368342155806004e-09,2.970525933327674e-11,,,
all cells,resnet50 avgpool,category,132,0.15660339997372708,0.02174374408877403,0.12208493828945198,0.6893939393939394,0.03847909091028508,1.3252403543775996e-09,4.038598189575314e-09,,,
all cells,alexnet conv1,all,134,0.08901140418589429,0.0142793490709573,0.08759304536861968,0.7313432835820896,0.01749241808435041,5.977155919773095e-09,3.2393827657338733e-07,,,
all cells,alexnet conv1,same,110,0.013256898125685241,0.026807241642082237,0.06301873686563947,0.6,-0.004119073008909406,0.1810388379716137,0.14433489423775325,,,
all cells,alexnet conv1,diff,134,0.0393805224822542,0.015464402871762324,0.02604268546230748,0.5970149253731343,0.005081055911884875,0.02024099220747771,0.04340194956221139,,,
all cells,alexnet conv1,partial,132,0.0315626377204265,0.011994961866159766,0.05073686746463138,0.6590909090909091,-7.125782037195017e-05,0.003415071771437247,0.005628296082824153,,,
all cells,alexnet conv1,category,132,0.15660339997372708,0.02174374408877403,0.12208493828945198,0.6893939393939394,0.03847909091028508,1.3252403543775996e-09,4.038598189575314e-09,,,
pref face_person,clip ln_post,all,75,0.22611065070333874,0.02885684437512647,0.20515615716519292,0.7466666666666667,0.03211246270965505,2.6620386034941706e-09,1.988880809888067e-09,,,
