subject,unit,area,hemisphere,pref_image,pref_category,pref_is_face,n_same,n_diff,space,scope,rho,rho_null,n_null
1,34,amygdala,R,img_0040,animal,False,5,57,clip ln_post,all,0.26679969478230925,-0.14066293740669836,20
1,34,amygdala,R,img_0040,animal,False,5,57,clip ln_post,same,,-0.06876132688504583,20
1,34,amygdala,R,img_0040,animal,False,5,57,clip ln_post,diff,0.2930450043797562,0.18439291864939927,20
1,34,amygdala,R,img_0040,animal,False,5,57,clip ln_post,partial,0.26937304798826367,-0.020016153867185076,20
1,34,amygdala,R,img_0040,animal,False,5,57,clip ln_post,category,0.06131604959128865,-0.19852593157315668,20
1,34,amygdala,R,img_0040,animal,False,5,57,resnet50 avgpool,all,0.29657858520267666,-0.1875227252274346,20
1,34,amygdala,R,img_0040,animal,False,5,57,resnet50 avgpool,same,,-0.07138789180538971,20
1,34,amygdala,R,img_0040,animal,False,5,57,resnet50 avgpool,diff,0.31157736649082507,-0.15179333893378447,20
1,34,amygdala,R,img_0040,animal,False,5,57,resnet50 avgpool,partial,0.3016241687387169,-0.10715819797129673,20
1,34,amygdala,R,img_0040,animal,False,5,57,resnet50 avgpool,category,0.06131604959128865,-0.19852593157315668,20
1,34,amygdala,R,img_0040,animal,False,5,57,alexnet conv1,all,-0.10923128983999279,-0.09165041600117638,20
1,34,amygdala,R,img_0040,animal,False,5,57,alexnet conv1,same,,-0.06464122025015163,20
1,34,amygdala,R,img_0040,animal,False,5,57,alexnet conv1,diff,-0.063840904154943,-0.008038591356278305,20
1,34,amygdala,R,img_0040,animal,False,5,57,alexnet conv1,partial,-0.10028767467580658,-0.028274493107898657,20
1,34,amygdala,R,img_0040,animal,False,5,57,alexnet conv1,category,0.06131604959128865,-0.19852593157315668,20
1,36,amygdala,R,img_0044,animal,False,5,57,clip ln_post,all,-0.02924373363981013,-0.06866286459828821,20
1,36,amygdala,R,img_0044,animal,False,5,57,clip ln_post,same,,0.02894222629672665,20
1,36,amygdala,R,img_0044,animal,False,5,57,clip ln_post,diff,0.004643469002697438,-0.06495696662124155,20
1,36,amygdala,R,img_0044,animal,False,5,57,clip ln_post,partial,0.04099923342416926,-0.005465246198732949,20
1,36,amygdala,R,img_0044,animal,False,5,57,clip ln_post,category,-0.17246324430778232,-0.10294088362438303,20
1,36,amygdala,R,img_0044,animal,False,5,57,resnet50 avgpool,all,0.02762889416358248,-0.08279435056778789,20
1,36,amygdala,R,img_0044,animal,False,5,57,resnet50 avgpool,same,,0.03545252247532364,20
1,36,amygdala,R,img_0044,animal,False,5,57,resnet50 avgpool,diff,0.11193033323285362,-0.1965809459136543,20
1,36,amygdala,R,img_0044,animal,False,5,57,resnet50 avgpool,partial,0.1192437116214173,-0.03501720777666027,20
1,36,amygdala,R,img_0044,animal,False,5,57,resnet50 avgpool,category,-0.17246324430778232,-0.10294088362438303,20
1,36,amygdala,R,img_0044,animal,False,5,57,alexnet conv1,all,0.16135778828868488,-0.055985163568918084,20
1,36,amygdala,R,img_0044,animal,False,5,57,alexnet conv1,same,,-0.008277123681832897,20
1,36,amygdala,R,img_0044,animal,False,5,57,alexnet conv1,diff,0.2531502401750295,-0.08250352609008513,20
1,36,amygdala,R,img_0044,animal,False,5,57,alexnet conv1,partial,0.2232910815948747,-0.02518867979394538,20
1,36,amygdala,R,img_0044,animal,False,5,57,alexnet conv1,category,-0.17246324430778232,-0.10294088362438303,20
1,38,amygdala,R,img_0039,face_person,True,38,24,clip ln_post,all,0.26755925160611116,0.15506271788046994,20
1,38,amygdala,R,img_0039,face_person,True,38,24,clip ln_post,same,0.3452415147276409,0.09366782263982727,20
1,38,amygdala,R,img_0039,face_person,True,38,24,clip ln_post,diff,0.08423240391554783,0.1429318603941952,20
1,38,amygdala,R,img_0039,face_person,True,38,24,clip ln_post,partial,0.24863394754801038,0.11612884498322873,20
1,38,amygdala,R,img_0039,face_person,True,38,24,clip ln_post,category,0.11706948004452201,0.11766817194333568,20
1,38,amygdala,R,img_0039,face_person,True,38,24,resnet50 avgpool,all,0.24087919390814835,0.09342842203017271,20
