area,category,n_cells,n_images_shown,cells_per_image
amygdala,animal,15,111,0.13513513513513514
amygdala,cartoon_art,1,9,0.1111111111111111
amygdala,face_person,61,415,0.14698795180722893
amygdala,food,0,17,0.0
amygdala,landmark_place,6,119,0.05042016806722689
amygdala,landscape_nature,1,41,0.024390243902439025
amygdala,object,2,34,0.058823529411764705
amygdala,scene_with_people,6,50,0.12
amygdala,vehicle,9,68,0.1323529411764706
hippocampus,animal,2,78,0.02564102564102564
hippocampus,cartoon_art,0,6,0.0
hippocampus,face_person,14,226,0.061946902654867256
hippocampus,food,1,13,0.07692307692307693
hippocampus,landmark_place,3,60,0.05
hippocampus,landscape_nature,2,21,0.09523809523809523
hippocampus,object,0,19,0.0
hippocampus,scene_with_people,6,24,0.25
hippocampus,vehicle,5,48,0.10416666666666667
dACC,animal,8,32,0.25
dACC,cartoon_art,0,6,0.0
dACC,face_person,7,92,0.07608695652173914
dACC,food,0,9,0.0
dACC,landmark_place,0,22,0.0
dACC,landscape_nature,0,17,0.0
dACC,object,0,18,0.0
dACC,scene_with_people,0,13,0.0
dACC,vehicle,0,25,0.0
preSMA,animal,0,52,0.0
preSMA,cartoon_art,0,2,0.0
preSMA,face_person,4,226,0.017699115044247787
preSMA,food,1,10,0.1
preSMA,landmark_place,2,91,0.02197802197802198
preSMA,landscape_nature,1,37,0.02702702702702703
preSMA,object,0,16,0.0
preSMA,scene_with_people,2,23,0.08695652173913043
preSMA,vehicle,1,29,0.034482758620689655
vmPFC,animal,0,20,0.0
vmPFC,cartoon_art,0,0,0.0
vmPFC,face_person,1,29,0.034482758620689655
vmPFC,food,0,0,0.0
vmPFC,landmark_place,2,12,0.16666666666666666
vmPFC,landscape_nature,0,0,0.0
vmPFC,object,0,0,0.0
vmPFC,scene_with_people,0,0,0.0
vmPFC,vehicle,0,2,0.0
