area,category,n_cells,n_images_shown,cells_per_image
amygdala,animal,6,91,0.06593406593406594
amygdala,cartoon_art,0,8,0.0
amygdala,face_person,34,302,0.11258278145695365
amygdala,food,0,12,0.0
amygdala,landmark_place,3,110,0.02727272727272727
amygdala,landscape_nature,1,37,0.02702702702702703
amygdala,object,1,27,0.037037037037037035
amygdala,scene_with_people,3,32,0.09375
amygdala,vehicle,2,56,0.03571428571428571
hippocampus,animal,2,78,0.02564102564102564
hippocampus,cartoon_art,0,6,0.0
hippocampus,face_person,6,226,0.02654867256637168
hippocampus,food,1,13,0.07692307692307693
hippocampus,landmark_place,3,60,0.05
hippocampus,landscape_nature,1,21,0.047619047619047616
hippocampus,object,0,19,0.0
hippocampus,scene_with_people,2,24,0.08333333333333333
hippocampus,vehicle,2,48,0.041666666666666664
dACC,animal,1,11,0.09090909090909091
dACC,cartoon_art,0,2,0.0
dACC,face_person,3,68,0.04411764705882353
dACC,food,0,9,0.0
dACC,landmark_place,0,20,0.0
dACC,landscape_nature,0,16,0.0
dACC,object,0,13,0.0
dACC,scene_with_people,0,11,0.0
dACC,vehicle,0,21,0.0
preSMA,animal,0,11,0.0
preSMA,cartoon_art,0,0,0.0
preSMA,face_person,0,74,0.0
preSMA,food,1,9,0.1111111111111111
preSMA,landmark_place,2,31,0.06451612903225806
preSMA,landscape_nature,0,22,0.0
preSMA,object,0,12,0.0
preSMA,scene_with_people,0,8,0.0
preSMA,vehicle,0,13,0.0
vmPFC,animal,0,20,0.0
vmPFC,cartoon_art,0,0,0.0
vmPFC,face_person,1,29,0.034482758620689655
vmPFC,food,0,0,0.0
vmPFC,landmark_place,2,12,0.16666666666666666
vmPFC,landscape_nature,0,0,0.0
vmPFC,object,0,0,0.0
vmPFC,scene_with_people,0,0,0.0
vmPFC,vehicle,0,2,0.0
