subject,region,n_units,n_categories,n_trials,balanced_acc,chance,acc_minus_chance
1,MTL,9,3,306,0.3319088319088319,0.3333333333333333,-0.001424501424501401
1,MFC,31,3,306,0.3283475783475784,0.3333333333333333,-0.004985754985754931
1,amygdala,7,3,306,0.3333333333333333,0.3333333333333333,0.0
1,MTL_concept,3,3,306,0.3333333333333333,0.3333333333333333,0.0
2,MTL,11,3,300,0.3333333333333333,0.3333333333333333,0.0
2,MFC,11,3,300,0.3333333333333333,0.3333333333333333,0.0
2,hippocampus,9,3,300,0.3333333333333333,0.3333333333333333,0.0
3,MTL,7,3,312,0.3317901234567901,0.3333333333333333,-0.0015432098765432167
3,MFC,33,3,312,0.3237934904601571,0.3333333333333333,-0.009539842873176219
3,hippocampus,5,3,312,0.3333333333333333,0.3333333333333333,0.0
4,MTL,43,3,366,0.47902298850574715,0.3333333333333333,0.14568965517241383
4,MFC,20,3,366,0.348786717752235,0.3333333333333333,0.015453384418901706
4,amygdala,42,3,366,0.4751277139208174,0.3333333333333333,0.14179438058748406
4,MTL_concept,12,3,366,0.4850893997445722,0.3333333333333333,0.1517560664112389
5,MTL,14,5,348,0.2216269841269841,0.2,0.021626984126984078
5,MFC,22,5,348,0.1751984126984127,0.2,-0.024801587301587324
5,amygdala,6,5,348,0.2007936507936508,0.2,0.0007936507936507908
5,hippocampus,8,5,348,0.21944444444444447,0.2,0.01944444444444446
6,MFC,28,6,324,0.13888888888888887,0.16666666666666666,-0.02777777777777779
7,MTL,21,6,324,0.24382716049382716,0.16666666666666666,0.0771604938271605
7,MFC,13,6,324,0.08333333333333333,0.16666666666666666,-0.08333333333333333
7,amygdala,17,6,324,0.23456790123456792,0.16666666666666666,0.06790123456790126
7,hippocampus,4,6,324,0.07716049382716049,0.16666666666666666,-0.08950617283950617
7,MTL_concept,8,6,324,0.24691358024691357,0.16666666666666666,0.08024691358024691
8,MTL,25,6,324,0.18209876543209877,0.16666666666666666,0.015432098765432112
8,MFC,52,6,324,0.11728395061728396,0.16666666666666666,-0.0493827160493827
8,amygdala,6,6,324,0.09876543209876543,0.16666666666666666,-0.06790123456790123
8,hippocampus,19,6,324,0.19444444444444445,0.16666666666666666,0.02777777777777779
8,MTL_concept,5,6,324,0.1419753086419753,0.16666666666666666,-0.024691358024691357
9,MTL,15,3,282,0.30746187363834426,0.3333333333333333,-0.025871459694989052
9,MFC,38,3,282,0.3282952069716775,0.3333333333333333,-0.0050381263616557925
9,amygdala,11,3,282,0.28635620915032683,0.3333333333333333,-0.04697712418300648
9,hippocampus,4,3,282,0.30337690631808284,0.3333333333333333,-0.029956427015250475
10,MTL,36,4,354,0.2591911764705882,0.25,0.009191176470588203
10,MFC,38,4,354,0.2753778594771242,0.25,0.025377859477124176
10,amygdala,24,4,354,0.24440870098039214,0.25,-0.005591299019607865
10,hippocampus,12,4,354,0.23537071078431374,0.25,-0.014629289215686264
10,MTL_concept,4,4,354,0.24869791666666666,0.25,-0.0013020833333333426
11,MTL,47,4,354,0.28592218137254904,0.25,0.035922181372549045
11,MFC,47,4,354,0.2576337826797385,0.25,0.007633782679738521
11,amygdala,18,4,354,0.24517463235294118,0.25,-0.00482536764705882
11,hippocampus,29,4,354,0.29296875,0.25,0.04296875
11,MTL_concept,12,4,354,0.3031301062091503,0.25,0.05313010620915032
12,MTL,4,4,354,0.2863817401960784,0.25,0.03638174019607843
12,MFC,14,4,354,0.2348090277777778,0.25,-0.01519097222222221
12,amygdala,4,4,354,0.2863817401960784,0.25,0.03638174019607843
13,MTL,59,4,348,0.46085349462365593,0.25,0.21085349462365593
13,MFC,44,4,348,0.24262280058651026,0.25,-0.007377199413489743
13,amygdala,39,4,348,0.483366935483871,0.25,0.233366935483871
13,hippocampus,20,4,348,0.23179374389051807,0.25,-0.018206256109481928
13,MTL_concept,32,4,348,0.5462640518084066,0.25,0.29626405180840665
14,MTL,41,4,348,0.4361559139784946,0.25,0.18615591397849462
14,MFC,32,4,348,0.2406983137829912,0.25,-0.009301686217008803
14,amygdala,24,4,348,0.3958333333333333,0.25,0.14583333333333331
14,hippocampus,17,4,348,0.24656341642228738,0.25,-0.003436583577712621
14,MTL_concept,24,4,348,0.4235398338220919,0.25,0.17353983382209193
15,MTL,15,5,372,0.20017316017316017,0.2,0.00017316017316015841
15,MFC,17,5,372,0.1980952380952381,0.2,-0.001904761904761909
15,amygdala,10,5,372,0.1980952380952381,0.2,-0.001904761904761909
15,hippocampus,5,5,372,0.2,0.2,0.0
16,MTL,34,3,282,0.40386710239651413,0.3333333333333333,0.07053376906318082
16,amygdala,27,3,282,0.4158496732026144,0.3333333333333333,0.08251633986928109
16,hippocampus,7,3,282,0.32625272331154687,0.3333333333333333,-0.007080610021786449
16,MTL_concept,7,3,282,0.4479847494553377,0.3333333333333333,0.11465141612200441
17,MFC,6,4,348,0.24494949494949494,0.25,-0.005050505050505055
18,MTL,27,3,318,0.34067460317460313,0.3333333333333333,0.007341269841269815
18,MFC,26,3,318,0.33769841269841266,0.3333333333333333,0.00436507936507935
18,amygdala,19,3,318,0.33055555555555555,0.3333333333333333,-0.002777777777777768
18,hippocampus,8,3,318,0.3333333333333333,0.3333333333333333,0.0
18,MTL_concept,15,3,318,0.32996031746031745,0.3333333333333333,-0.003373015873015861
20,MFC,6,5,348,0.17322654462242565,0.2,-0.026773455377574362
21,MTL,10,4,318,0.2311594202898551,0.25,-0.01884057971014491
21,MFC,8,4,318,0.17246376811594202,0.25,-0.07753623188405798
21,hippocampus,9,4,318,0.22880434782608694,0.25,-0.02119565217391306
21,MTL_concept,4,4,318,0.22382246376811596,0.25,-0.02617753623188404
