subject,session,task,unit,n_events,n_images,mean_rate,F,p_anova,pref_image,t_post,p_post,concept_cell,dos,sparseness,pref_rate,nonpref_rate,baseline_rate,area,region,hemisphere,category,attr_famous,attr_face_visible,attr_child,attr_smiling,attr_emotional,attr_single_object,attr_natural,attr_indoor,attr_text_present,attr_colorful
1,1,screening,34,378,63,7.5,1.7097070139094406,0.0019980019980019,img_0040,2.4375096038661654,0.0159840159840159,True,0.3854282536151279,0.9368674698795184,12.083333333333334,7.426075268817205,7.063492063492063,amygdala,MTL,R,animal,0.525873,0.7757751,0.06241558,0.2825962,0.3716812,0.8881424,0.6536401,0.28075153,0.14584354,0.547861
1,1,screening,36,378,63,6.104497354497354,1.76262580240164,0.0019980019980019,img_0044,2.3383558647754943,0.0199800199800199,True,0.4323213156230234,0.9244382376047672,10.625,6.031586021505377,6.560846560846561,amygdala,MTL,R,animal,0.53461725,0.6607391,0.030733587,0.6145802,0.15525624,0.9939063,0.6052437,0.1907614,0.33757448,0.29702088
1,1,screening,38,378,63,2.2883597883597884,1.547278062071014,0.0129870129870129,img_0039,2.197794519178647,0.0199800199800199,True,0.5696774193548387,0.871076767478326,5.208333333333333,2.241263440860215,2.248677248677249,amygdala,MTL,R,face_person,0.33747044,0.9625709,0.034429125,0.01466448,0.33063957,0.92115647,0.18111944,0.4294027,0.8266552,0.5918421
1,2,sternberg,15,270,5,0.3333333333333333,2.368403378185722,0.0469530469530469,img_0039,1.8839891055786475,0.0049950049950049,True,0.5980235042735043,0.8031311986344498,0.6363636363636364,0.2558032245532246,0.4629629629629629,preSMA,MFC,R,face_person,0.33747044,0.9625709,0.034429125,0.01466448,0.33063957,0.92115647,0.18111944,0.4294027,0.8266552,0.5918421
1,2,sternberg,17,270,5,0.976851851851852,3.621345270877672,0.0049950049950049,img_0039,2.553543738649348,0.0019980019980019,True,0.5349002849002849,0.8702953235837501,1.7045454545454546,0.7927836052836053,0.925925925925926,preSMA,MFC,R,face_person,0.33747044,0.9625709,0.034429125,0.01466448,0.33063957,0.92115647,0.18111944,0.4294027,0.8266552,0.5918421
1,2,sternberg,34,270,5,1.7916666666666667,4.107144866082435,0.0049950049950049,img_0019,2.2676060334107455,0.0049950049950049,True,0.2656468531468532,0.9599742789525888,2.2685185185185186,1.665893712768713,1.7222222222222223,amygdala,MTL,R,face_person,0.53181016,0.62805593,0.48268625,0.45278782,0.80564594,0.9931931,0.20784897,0.7622285,0.5467755,0.04369712
1,2,sternberg,35,270,5,5.944444444444445,3.2044327146283336,0.0169830169830169,img_0055,2.367996468271995,0.0089910089910089,True,0.1677992041628404,0.9889085708800712,6.875,5.7213804713804715,6.518518518518518,amygdala,MTL,R,face_person,0.73813856,0.993005,0.044046346,0.26813477,0.092180066,0.96814895,0.30847618,0.5742185,0.5983649,0.2331541
2,1,screening,0,378,63,0.5423280423280423,1.7615341335333934,0.0019980019980019,img_0071,1.604966564299816,0.0139860139860139,True,0.8271889400921658,0.4722573395139769,2.9166666666666665,0.5040322580645161,0.3042328042328042,amygdala,MTL,L,object,0.21761113,0.73948056,0.19632283,0.42290956,0.15350702,0.9569659,0.50883347,0.718761,0.7606059,0.5764712
2,2,sternberg,0,270,5,1.3611111111111112,7.805788153298546,0.0009990009990009,img_0030,3.79431715027626,0.0009990009990009,True,0.5394688644688644,0.8588931334747425,2.386363636363636,1.0989947552447552,1.2222222222222223,amygdala,MTL,L,landmark_place,0.42451215,0.79348654,0.08627098,0.18082656,0.12156491,0.92325944,0.040217318,0.114910185,0.9737761,0.23408572
2,2,sternberg,1,270,5,0.3935185185185185,7.578944140451423,0.0009990009990009,img_0071,3.514656368603299,0.0009990009990009,True,0.7303939962476549,0.6517731371454734,0.949074074074074,0.2558760683760683,0.2407407407407407,amygdala,MTL,L,object,0.21761113,0.73948056,0.19632283,0.42290956,0.15350702,0.9569659,0.50883347,0.718761,0.7606059,0.5764712
2,2,sternberg,16,270,5,3.648148148148149,2.638911445122384,0.0289710289710289,img_0023,2.5966774778953665,0.0069930069930069,True,0.1942480359147025,0.987483793957572,4.326923076923077,3.4864267676767677,3.7222222222222223,hippocampus,MTL,R,face_person,0.8336177,0.99621636,0.06072361,0.9193889,0.0756896,0.9490557,0.82760406,0.37502757,0.7744968,0.22364683
2,2,sternberg,20,270,5,1.0462962962962965,3.898806864667044,0.0069930069930069,img_0071,1.7647634858811798,0.0239760239760239,True,0.3556693306693308,0.8893664638915947,1.4583333333333333,0.9396488927738926,1.2037037037037035,vmPFC,MFC,R,object,0.21761113,0.73948056,0.19632283,0.42290956,0.15350702,0.9569659,0.50883347,0.718761,0.7606059,0.5764712
