cell_a,cell_b,n_common,same_pref,same_category,pref_a,pref_b,rho,both_pref_shared
1-34,2-0,41,False,False,img_0040,img_0071,-0.03525596416389489,False
1-34,3-39,42,False,False,img_0040,img_0020,0.2208281118398986,True
1-34,5-5,12,False,False,img_0040,img_0168,0.5915492957746479,False
1-34,5-6,12,False,False,img_0040,img_0065,-0.0017858965293526348,False
1-34,10-64,40,False,False,img_0040,img_0236,-0.14788229796710808,False
1-34,10-67,39,False,False,img_0040,img_0049,0.07328620272642243,False
1-34,10-70,40,False,False,img_0040,img_0243,0.021443631091625375,False
1-34,10-71,39,False,False,img_0040,img_0004,0.10469130787977257,False
1-34,11-6,39,False,False,img_0040,img_0056,0.11404625507073544,False
1-34,11-11,39,False,False,img_0040,img_0056,-0.0665109814296236,False
1-34,11-12,40,False,False,img_0040,img_0237,-0.11552161928647339,False
1-34,11-13,40,False,False,img_0040,img_0241,-0.015815201629618105,False
1-34,11-17,39,False,False,img_0040,img_0022,0.24032062122414916,False
1-34,11-18,40,False,False,img_0040,img_0113,0.00885763172162607,False
1-34,11-25,39,False,False,img_0040,img_0062,-0.06857074389814347,False
1-34,11-28,39,False,False,img_0040,img_0007,-0.43129840801116054,False
1-34,11-31,40,False,False,img_0040,img_0235,-0.08126512387404831,False
1-34,11-34,40,False,False,img_0040,img_0235,-0.09763716469418063,False
1-34,11-65,39,False,False,img_0040,img_0048,-0.06033522050887198,False
1-34,11-68,39,False,True,img_0040,img_0051,-0.08112232759865001,False
1-34,12-14,39,False,False,img_0040,img_0003,-0.165201676764207,False
1-34,12-15,39,False,False,img_0040,img_0018,-0.18338342711010905,False
1-34,13-17,33,False,False,img_0040,img_0020,0.23759586923426432,False
1-34,13-18,33,False,False,img_0040,img_0056,0.14734724718590017,False
1-34,13-19,34,False,False,img_0040,img_0255,-0.06282701753211256,False
1-34,13-20,34,False,False,img_0040,img_0269,0.11893202931190391,False
1-34,13-25,34,False,False,img_0040,img_0269,0.08029112639440886,False
1-34,13-26,34,False,False,img_0040,img_0269,0.1003026264604518,False
1-34,13-28,34,False,False,img_0040,img_0269,0.014870762623994716,False
1-34,13-30,34,False,True,img_0040,img_0258,0.27620961341425004,False
1-34,13-31,34,False,False,img_0040,img_0269,0.25482147252835685,False
1-34,13-32,33,False,False,img_0040,img_0010,-0.10672593081617701,False
1-34,13-33,33,False,False,img_0040,img_0008,-0.3912470655880845,False
1-34,13-35,33,False,False,img_0040,img_0010,0.09298820397527943,False
1-34,13-37,33,False,False,img_0040,img_0056,-0.06101191287689455,False
1-34,13-46,33,False,False,img_0040,img_0054,0.17525357485814363,False
1-34,13-75,33,False,False,img_0040,img_0015,-0.34009217664257585,False
1-34,13-77,33,False,False,img_0040,img_0017,-0.03935690544160013,False
1-34,13-78,33,False,False,img_0040,img_0007,0.10737624255465882,False
