region,measure,n_cells,mean_pref,mean_shown,auc,p
MTL,face_found,134,0.664179104477612,0.528032619775739,0.5680732423509365,0.0030093540875547452
MTL,n_faces,134,0.7686567164179104,0.6044852191641182,0.5701652289013648,0.0030547364102959276
MTL,largest_face_area,134,0.10563577142933546,0.08490089234049197,0.5713975991601625,0.004788552620770719
amygdala,face_found,101,0.693069306930693,0.5393518518518519,0.5768587275394206,0.0032829463319774734
amygdala,n_faces,101,0.801980198019802,0.6134259259259259,0.5784573248991566,0.0036709341908781824
amygdala,largest_face_area,101,0.11840402364362625,0.08583741281046227,0.5931541070773744,0.0013214743640641742
hippocampus,face_found,33,0.5757575757575758,0.509090909090909,0.5333333333333333,0.45899835356151963
hippocampus,n_faces,33,0.6666666666666666,0.5797979797979798,0.5401285583103765,0.38501496615676833
hippocampus,largest_face_area,33,0.06655718131893038,0.08002686857310208,0.501591674318947,0.9745126451561478
MFC,face_found,29,0.5517241379310345,0.5147058823529411,0.5185091277890467,0.697359178110765
MFC,n_faces,29,0.6551724137931034,0.5866013071895425,0.5286792878070768,0.5574431414374736
MFC,largest_face_area,29,0.07706739847963501,0.08455590701537194,0.5065922920892495,0.8989757975980898
