contrast,area,n_cells,n_subjects,hit,n_pref_hit,frac_pref_hit,frac_shown_hit_pooled,frac_expected_per_cell,excess_per_cell,odds_ratio,p_fisher,auc,p_mannwhitney,null_mean_hit,null_sd_hit,p_perm,q_fisher
famous vs non-famous person,MTL,90,14,famous,85,0.9444444444444444,0.8930817610062893,0.9208814053833212,0.023563039061123357,2.035211267605634,0.17646769411319693,0.5256813417190775,0.13465068895473703,82.8762,2.3459909547992717,0.40785921407859216,0.46500192747755004
famous vs non-famous person,amygdala,70,13,famous,65,0.9285714285714286,0.903448275862069,0.91827434834824,0.010297080223188601,1.3893129770992367,0.6585596655409975,0.5125615763546798,0.5028985948563545,64.2799,2.082776029725712,0.8207179282071793,0.6585596655409975
famous vs non-famous person,hippocampus,20,7,famous,20,1.0,0.9,0.930006105006105,0.06999389499389501,inf,0.23250096373877502,0.55,0.13916719992846505,18.6071,1.1197899758436847,0.38076192380761925,0.46500192747755004
famous vs non-famous person,MFC,14,6,famous,14,1.0,0.9120370370370371,0.912641723356009,0.08735827664399094,inf,0.6128805371839767,0.5439814814814815,0.24942766463659738,12.7881,1.0046882053652268,0.36696330366963303,0.6585596655409975
famous vs all other pictures,MTL,134,16,famous,85,0.6343283582089553,0.4740061162079511,0.48156045170970546,0.15276790649924982,1.924950625411455,0.0006145293936370472,0.5801611210005021,0.0005011460681702715,64.5557,5.49242182557021,0.00019998000199980003,0.0024581175745481887
famous vs all other pictures,amygdala,101,14,famous,65,0.6435643564356436,0.5,0.49431609827649436,0.1492482581591493,1.8055555555555556,0.00629328541241248,0.5717821782178217,0.00633291710911257,49.8695,4.758347375927907,0.0013998600139986002,0.01258657082482496
famous vs all other pictures,hippocampus,33,8,famous,20,0.6060606060606061,0.45454545454545453,0.44252044252044254,0.1635401635401635,1.8461538461538463,0.10562904143830877,0.5757575757575758,0.09148829539113304,14.5764,2.620565404640762,0.0537946205379462,0.14083872191774502
famous vs all other pictures,MFC,29,10,famous,14,0.4827586206896552,0.477124183006536,0.38004013866082825,0.10271848202882689,1.0228310502283104,1.0,0.5028172188415596,0.9531771421178511,10.9462,2.280637095199497,0.19968003199680032,1.0
person vs non-person picture,MTL,134,16,person,90,0.6716417910447762,0.5433231396534148,0.5343520492774223,0.13728974176735376,1.7192563534026948,0.005315494486910043,0.5641593256956806,0.00503830609946757,71.575,5.475470299435474,0.0012998700129987,0.021069624437634944
person vs non-person picture,amygdala,101,14,person,70,0.693069306930693,0.5578703703703703,0.5454188275970454,0.1476504793336477,1.789586400749565,0.010534812218817472,0.5675994682801614,0.009408118361677304,54.9895,4.818401161173694,0.0023997600239976003,0.021069624437634944
person vs non-person picture,hippocampus,33,8,person,20,0.6060606060606061,0.5232323232323233,0.5004810004810004,0.10557960557960559,1.4018414018414018,0.37453226240596016,0.5414141414141415,0.3568721373677053,16.4841,2.7313636136552746,0.20257974202579743,0.49937634987461355
person vs non-person picture,MFC,29,10,person,14,0.4827586206896552,0.5343137254901961,0.4597701149425286,0.022988505747126454,0.8134556574923547,0.7040016216778062,0.47422244759972954,0.5873674946334642,13.3158,2.4809414261525804,0.8414158584141586,0.7040016216778062
