level,identity,uid_a,uid_b,subject,unit,area,concept_cell,pref_image,hemisphere,rate_a,rate_b,z_a,z_b,pct_pair_distance,pct_b_given_a,pct_a_given_b,n_other_pictures,n_units,dist_ab,pct_all_pairs_closer,rank_b_given_a,rank_a_given_b,n_pairs,model,sim_ab,n_reference
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,0.0,hippocampus,False,img_0053,L,1.875,1.0416666666666667,1.6581964478143165,-0.0335667297128406,0.3319672131147541,0.5819672131147541,0.9508196721311475,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,32.0,amygdala,False,img_0006,R,0.2083333333333333,0.2083333333333333,-0.767774105311401,-0.767774105311401,0.9016393442622951,0.22950819672131148,0.22950819672131148,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,33.0,amygdala,False,img_0008,R,1.0416666666666667,1.0416666666666667,-0.6317718761278442,-0.6317718761278442,0.9180327868852459,0.2459016393442623,0.2459016393442623,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,34.0,amygdala,True,img_0040,R,2.9166666666666665,7.5,-2.335383634693087,-4.525608755029616e-16,0.25,0.5327868852459017,0.0,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,35.0,amygdala,False,img_0033,R,2.2916666666666665,2.7083333333333335,-1.1505701376376478,-0.6401059216434798,0.7131147540983607,0.2540983606557377,0.13934426229508196,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,36.0,amygdala,True,img_0044,R,6.041666666666667,3.5416666666666665,-0.03571374433856314,-1.4567448348624528,0.29098360655737704,0.02459016393442623,0.5245901639344263,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,37.0,amygdala,False,img_0027,R,0.625,1.0416666666666667,-0.14921660586844557,0.84032509620651,0.4672131147540984,0.8114754098360656,0.4672131147540984,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,38.0,amygdala,True,img_0039,R,2.0833333333333335,1.25,-0.23103287757586066,-1.1700697348196822,0.4385245901639344,0.12295081967213115,0.4426229508196721,61.0,,,,,,,,,
unit_exploratory,Jack Nicholson,img_0007,img_0047,1.0,39.0,hippocampus,False,img_0029,R,2.5,2.9166666666666665,0.16562806903140131,0.7618891175444472,0.639344262295082,0.8032786885245902,0.6065573770491803,61.0,,,,,,,,,
unit_exploratory,Pink Floyd,img_0088,img_0090,3.0,33.0,amygdala,False,img_0060,L,2.2916666666666665,2.2916666666666665,0.9079423723091677,0.9079423723091677,0.9836065573770492,0.8524590163934426,0.8524590163934426,61.0,,,,,,,,,
unit_exploratory,Pink Floyd,img_0088,img_0090,3.0,34.0,amygdala,False,img_0058,L,0.8333333333333334,0.0,2.4066866157182014,-0.9814978935610544,0.10245901639344263,0.1721311475409836,0.9672131147540983,61.0,,,,,,,,,
unit_exploratory,Pink Floyd,img_0088,img_0090,3.0,35.0,hippocampus,False,img_0089,R,2.0833333333333335,1.25,0.4058914141298082,-1.0764946200834056,0.22131147540983606,0.11475409836065574,0.7049180327868853,61.0,,,,,,,,,
unit_exploratory,Pink Floyd,img_0088,img_0090,3.0,36.0,hippocampus,False,img_0094,R,0.8333333333333334,2.2916666666666665,-0.8546943625658421,0.31951191123956685,0.29098360655737704,0.680327868852459,0.18032786885245902,61.0,,,,,,,,,
unit_exploratory,Pink Floyd,img_0088,img_0090,3.0,37.0,hippocampus,False,img_0040,R,3.3333333333333335,4.166666666666667,0.5288165859390539,1.2859857885336086,0.7131147540983607,0.8852459016393442,0.7377049180327869,61.0,,,,,,,,,
unit_exploratory,Pink Floyd,img_0088,img_0090,3.0,38.0,hippocampus,False,img_0039,R,2.5,2.2916666666666665,0.6113543594544164,0.32605565837568834,0.7991803278688525,0.639344262295082,0.6967213114754098,61.0,,,,,,,,,
unit_exploratory,Pink Floyd,img_0088,img_0090,3.0,39.0,hippocampus,True,img_0020,R,4.583333333333333,4.583333333333333,1.4045965059247567,1.4045965059247567,0.9672131147540983,0.9344262295081968,0.9344262295081968,61.0,,,,,,,,,
population_MTL,Jack Nicholson,img_0007,img_0047,1.0,,,,,,,,,,,0.6229508196721312,0.639344262295082,61.0,9.0,0.8844591282698184,0.6342213114754098,24.0,23.0,1952.0,,,
population_MTL,Pink Floyd,img_0088,img_0090,3.0,,,,,,,,,,,0.4098360655737705,0.2786885245901639,61.0,7.0,1.1800688339285381,0.36270491803278687,37.0,45.0,1952.0,,,
population_all_units,Jack Nicholson,img_0007,img_0047,1.0,,,,,,,,,,,0.6885245901639344,0.6557377049180327,61.0,40.0,0.9656072223577038,0.6244877049180327,20.0,22.0,1952.0,,,
population_all_units,Pink Floyd,img_0088,img_0090,3.0,,,,,,,,,,,0.04918032786885246,0.09836065573770492,61.0,40.0,1.228782509441309,0.09938524590163934,59.0,56.0,1952.0,,,
dnn_within_session,Jack Nicholson,img_0007,img_0047,1.0,,,,,,,,,,,0.9836065573770492,0.9344262295081968,,,,,2.0,5.0,,clip_vitb32/ln_post/cls,0.30915227579489263,61.0
dnn_within_session,Pink Floyd,img_0088,img_0090,3.0,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,clip_vitb32/ln_post/cls,0.6992533807549693,61.0
dnn,Tom Cruise,img_0084,img_0119,,,,,,,,,,,,0.9852941176470589,0.8852941176470588,,,,,6.0,40.0,,clip_vitb32/ln_post/cls,0.24610909264465633,340.0
dnn,Tom Cruise,img_0084,img_0166,,,,,,,,,,,,0.9882352941176471,0.8794117647058823,,,,,5.0,42.0,,clip_vitb32/ln_post/cls,0.2526961690162817,340.0
dnn,Tom Cruise,img_0119,img_0166,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,clip_vitb32/ln_post/cls,0.9109302805763488,340.0
dnn,Buzz Aldrin,img_0048,img_0146,,,,,,,,,,,,0.9941176470588236,1.0,,,,,3.0,1.0,,clip_vitb32/ln_post/cls,0.3977582595465305,340.0
dnn,Jack Nicholson,img_0007,img_0047,,,,,,,,,,,,0.9970588235294118,0.9852941176470589,,,,,2.0,6.0,,clip_vitb32/ln_post/cls,0.30915227579489263,340.0
dnn,Anne Hathaway,img_0116,img_0163,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,clip_vitb32/ln_post/cls,0.8011395475334856,340.0
dnn,Pink Floyd,img_0088,img_0090,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,clip_vitb32/ln_post/cls,0.6992533807549683,340.0
dnn,Beyonce,img_0057,img_0254,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,clip_vitb32/ln_post/cls,0.5765592729658469,340.0
dnn,Meryl Streep,img_0118,img_0165,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,clip_vitb32/ln_post/cls,0.8928869190102753,340.0
dnn,Johnny Depp,img_0004,img_0171,,,,,,,,,,,,0.961764705882353,1.0,,,,,14.0,1.0,,clip_vitb32/ln_post/cls,0.3627258471837778,340.0
