feature,rho,p,rho_cat_adjusted,p_cat_adjusted,q,q_cat_adjusted
dinov2_centroid_dist,-0.281365848673369,3.370315968520218e-05,-0.07309053282405693,0.29059895345537307,0.00032098436667313653,0.6396498931738455
dinov2_mean_dist,-0.281365848673369,3.370315968520218e-05,-0.07309053282405693,0.29059895345537307,0.00032098436667313653,0.6396498931738455
resnet50_mean_dist,-0.2764974898123428,4.657684561537624e-05,-0.08309423742670635,0.22939331502614715,0.00032098436667313653,0.6396498931738455
resnet50_centroid_dist,-0.2764974898123428,4.657684561537624e-05,-0.08309423742670635,0.22939331502614715,0.00032098436667313653,0.6396498931738455
dinov2_nn5_dist,-0.27480359218712075,5.2052431135469226e-05,-0.10843882934556279,0.11631223281679903,0.00032098436667313653,0.6396498931738455
alexnet_fc7_mean_dist,-0.2743845888529784,5.349739444552275e-05,-0.0746669051238487,0.28029166290778806,0.00032098436667313653,0.6396498931738455
alexnet_fc7_centroid_dist,-0.2743845888529784,5.349739444552275e-05,-0.0746669051238487,0.28029166290778806,0.00032098436667313653,0.6396498931738455
dinov2_cat_typicality,0.26248898200074094,0.00011427516204683183,0.1163194133953322,0.09192576634412461,0.0005999446007458672,0.6396498931738455
attr_emotional,0.22426514735376402,0.0010374445327939832,0.11393697065699213,0.09882478679301449,0.004841407819705255,0.6396498931738455
michelson_contrast,0.21747167256422378,0.001481316883067026,0.1061802991786002,0.12415979010106443,0.006221530908881509,0.6396498931738455
resnet50_nn5_dist,-0.210863427907155,0.002073674627945377,-0.04647104661412093,0.5019760367538344,0.007917666761245985,0.6588435482394076
clip_cat_typicality,-0.20308248489416336,0.003042984755005947,-0.0653300289980966,0.34499312723570985,0.010349740501829586,0.658623242904537
luminance,-0.20201836971934445,0.003203491107709158,-0.08104393147762547,0.24112997784397416,0.010349740501829586,0.6396498931738455
alexnet_fc7_nn5_dist,-0.18939333937992617,0.0057840874582875575,-0.003409511886664708,0.9607344417867292,0.017352262374862672,0.9607344417867291
alexnet_fc7_nn1_dist,-0.18125029143194593,0.008313449837073477,-0.014646752721700105,0.8324941170101705,0.022406886204630015,0.8888335781390097
resnet50_nn1_dist,-0.1806446585565501,0.008535956649382863,-0.050352451835915524,0.46690232303467427,0.022406886204630015,0.6588435482394076
attr_text_present,-0.17500415170986575,0.010875779936605772,-0.04258632362897766,0.5384183322439159,0.026869573961026027,0.6852596955831657
resnet50_cat_typicality,0.16886984070208608,0.014046603468780072,0.03705624608781186,0.5924704903654199,0.032775408093820166,0.7318753116278716
dinov2_nn1_dist,-0.16176583776266432,0.01870625033639478,-0.0609528919415762,0.37834392139225614,0.03932480392617462,0.6588435482394076
attr_face_visible,0.16093560378635943,0.019329965756972226,-0.019739144875512576,0.7756041909142857,0.03932480392617462,0.8804155680648649
attr_single_object,-0.16050254851113296,0.01966240196308731,-0.14843320856912917,0.03114133035449754,0.03932480392617462,0.6396498931738455
attr_famous,0.15039792542251637,0.02895367261851102,0.0688136329377499,0.31982494658692273,0.05527519318079377,0.6396498931738455
attr_smiling,-0.14045426093177146,0.04152884127818055,-0.06278790511107421,0.3641292816685041,0.0758352753775471,0.6588435482394076
clip_centroid_dist,0.12008150125828745,0.08181947331130415,0.0469488126109784,0.4975853770733666,0.13391871656089832,0.6588435482394076
clip_mean_dist,0.12008150125828745,0.08181947331130415,0.0469488126109784,0.4975853770733666,0.13391871656089832,0.6588435482394076
clip_nn5_dist,0.11966122047495562,0.08290206263293705,0.06944597028653186,0.315387662710618,0.13391871656089832,0.6396498931738455
edge_com_x,-0.11804396980110117,0.08717581495772728,-0.10364711743590399,0.13344291970581598,0.13560682326757575,0.6396498931738455
attr_colorful,-0.11465106475389943,0.09671517283557057,-0.0720328048951853,0.297655220236638,0.14080332836693316,0.6396498931738455
alexnet_fc7_cat_typicality,0.11447860911332253,0.09722134577716814,-0.012283951405832832,0.8592087982259017,0.14080332836693316,0.8888335781390097
colorfulness,-0.10110978752810064,0.14326676821476195,-0.11692338154714507,0.09023930152369532,0.20057347550066673,0.6396498931738455
clip_nn1_dist,0.09788968951422865,0.15651560525243088,0.0492935930637044,0.47633448768615516,0.21205340066458375,0.6588435482394076
attr_child,0.05887635569295232,0.3948324059880234,0.05218763173694766,0.4508012059729575,0.5052426258161264,0.6588435482394076
rms_contrast,0.05808050484791968,0.40126441021441517,0.014732821502024757,0.8315244142096822,0.5052426258161264,0.8888335781390097
gray_entropy,0.05713263754934148,0.40900593518448336,0.03436721554400174,0.6196165956258236,0.5052426258161264,0.7435399147509884
saturation,0.041591962264242534,0.5479536937613125,-0.011538596653770005,0.8676708738976047,0.6575444325135751,0.8888335781390097
spectral_slope,-0.03649033609688175,0.5981382969293854,0.11374790817695227,0.09938938776379923,0.6978280130842829,0.6396498931738455
attr_natural,0.02870939308389009,0.6784082394846377,-0.07337668144249564,0.2887093732667166,0.7356395220267898,0.6396498931738455
edge_density,-0.02610596831030304,0.7061567308435512,0.049505020059168806,0.4744428838609106,0.7356395220267898,0.6588435482394076
high_freq_energy,-0.02601780764170105,0.7071034638473411,0.07496071843742416,0.27839813591139556,0.7356395220267898,0.6396498931738455
attr_indoor,0.025570700425390582,0.711911723907048,-0.047061228139650746,0.4965552388399853,0.7356395220267898,0.6588435482394076
edge_com_y,0.024994570840944804,0.7181242953118663,0.07467712471736437,0.28022565564373364,0.7356395220267898,0.6396498931738455
hue_entropy,-0.019819048744524188,0.7747201481864886,0.030692730971691673,0.6575533196765013,0.7747201481864886,0.7671455396225849
